Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
Jl. Pilangkenceng-Pulerejo,123,1.680,1+500,1+600,5724,,,,,
Jl. Kenongorejo-Dawuhan,114,3.480,3+400,3+500,5462,,,,,
Jl. Bajulan-Kenongorejo,002,5.350,5+200,5+300,83,,,,,
Jl. Purworejo-Ngampel,054,2.020,1+900,2+000,3092,,,,,
Jl. Krapyak-Sumbergandu,056,5.010,4+900,5+000,3145,,,,,
Jl. Muneng-Kenongorejo,015,7.570,7+400,7+500,954,,,,,
Jl. Krebet-Batas Ngawi,121,2.260,2+000,2+100,5678,,,,,
Jl. Gandul-Kenongorejo,117,1.090,0+900,1+000,5600,,,,,
Jl. Kenongorejo-Bulu,116,2.440,2+300,2+400,5575,,,,,
Jl. Bulu-Batas Bojonegoro,115,7.520,7+500,7+600,5498,,,,,
Jl. Gandul-Batas Bojonegoro,118,2.450,1+400,1+500,5611,,,,,
Jl. Luworo-Batas Ngawi,119,3.030,2+900,3+000,5627,,,,,
Jl. Bandungan-Batas Nganjuk,103,2.820,0+100,0+200,5046,,,,,
Jl. Klangon-Batas Nganjuk,104,2.320,2+500,2+600,5074,,,,,
Jl. Tulung-Klangon,105,14.020,13+900,14+000,5101,,,,,
Jl. Ngepeh-Tulung,011,5.650,5+600,5+700,788,,,,,
Jl. Sumbergandu-Tulung,030,4.220,0+100,0+200,1910,,,,,
Jl. Duren-Dawuhan,113,2.270,2+100,2+200,5439,,,,,
Jl. Kedungmaron-Bener,111,1.450,1+300,1+400,5406,,,,,
Jl. Bajulan-Duren,109,3.750,3+600,3+700,5329,,,,,
Jl. Kaligunting-Bajulan,010,4.960,4+800,4+900,738,,,,,
Jl. Bongsopotro-Sukorejo,108,1.230,1+100,1+200,5316,,,,,
Jl. Sidorejo-Klumutan,058,3.150,3+000,3+100,3227,,,,,
Jl. Kopen-Bongsopotro,059,3.460,3+300,3+400,3259,,,,,
Jl. Purworejo-Kedungrejo,055,3.120,3+000,3+100,3113,,,,,
Jl. Pilangkenceng-Luworo,122,2.310,2+200,2+300,5700,,,,,
Jl. Krapyak-Krebet,057,3.070,2+900,3+000,3196,,,,,
Jl. Sumberbening-Krapyak,052,3.930,3+800,3+900,3012,,,,,
Jl. Krapyak-Babadanlor,053,3.990,3+800,3+900,3052,,,,,
Jl. Karangmalang-Kuwu,036,5.340,"5+200
",5+300,2175,,,,,
Jl. Balerejo-Babadanlor,137,4.500,4+400,4+500,6208,,,,,
Jl. Balerejo-Muneng,004,7.800,7+700,7+800,282,,,,,
Jl. Kedungrejo-Kuwu,135,4.280,4+100,"4+200
",6135,,,,,
Jl. Bagi-Batas Ngawi,028,2.710,2+500,2+600,1840,,,,,
Jl. Tiron-Bagi,029,4.220,4+100,4+200,1867,,,,,
Jl. Krokeh-Kajang,096,4.570,4+400,4+500,4873,,,,,
Jl. Krokeh-Batas kota,020,2.660,2+500,2+600,1305,,,,,
Jl. Krokeh-Batas Magetan,019,5.370,5+200,5+300,1251,,,,,
Jl. Pucangrejo-Cabean,098,2.350,2+200,2+300,4948,,,,,
Jl. Bakur-Batas Magetan,099,2.510,2+600,2+700,4972,,,,,
Jl. Pule-Batas Magetan,100,1.500,0+900,1+000,5000,,,,,
Jl. Pule-Batas Ngawi,101,2.340,1+600,1+700,5011,,,,,
Jl. Rejosari-Batas Kota,085,3.840,4+000,4+100,4161,,,,,
Jl. Jiwan-Wayut,051,5.200,5+000,5+100,2960,,,,,
Jl. Jiwan-Grobogan,094,1.630,1+600,1+700,4841,,,,,
Jl. Jiwan-Batas Magetan,018,3.520,2+900,3+000,1220,,,,,
Jl. Kincang-Teguhan,066,1.730,1+600,1+700,3444,,,,,
Jl. Teguhan-Bibrik,093,4.520,4+400,4+500,4795,,,,,
Jl. Tiron-Banjarsari,037,3.480,3+300,3+400,2229,,,,,
Jl. Sumberejo-Batas Kota,084,2.460,2+300,"2+400
",4136,,,,,
Jl. Banjarsari-Tulungrejo,133,3.850,3+700,3+600,6078,,,,,
Jl. Garon-Sogo,064,2.900,3+500,3+600,3386,,,,,
Jl. Kedungrejo-Sogo,136,2.770,2+800,2+900,6178,,,,,
Jl. Jerukgulung-Warurejo,061,1.400,1+500,"1+600
",3318,,,,,
Jl. Sumbersari-Bruwok,106,4.710,4+700,4+800,5242,,,,,
Jl. Sumbersari-Klumutan,107,2.150,2+300,2+400,5291,,,,,
Jl. Kedungrejo-Sumbersari,110,3.820,3+700,3+800,5367,,,,,
Jl. Kedungbanteng-Batas Ngawi,120,1.450,1+800,1+900,5658,,,,,
Jl. Saradan-Mundu,008,12.110,12+000,12+100,528,,,,,
Jl. Sebayi-Batas Nganjuk,155,7.150,7+000,7+100,7211,,,,,
Jl. Gosong-Ketupu,154,5.760,11+500,11+600,7094,,,,,
Jl. Mundu-Batas Nganjuk,153,11.180,11+000,11+100,6982,,,,,
Jl. Batok-Gosong,152,3.920,3+700,3+800,6943,,,,,
Jl. Kare-Mundu,024,14.240,14+100,14+200,1531,,,,,
Jl. Cungkling-Morang,151,3.670,3+500,3+600,6906,,,,,
Jl. Batok-Morang,027,4.860,4+700,4+800,1791,,,,,
Jl. Caruban-Morang,003,14.510,14+300,14+400,137,,,,,
Jl. Blabakan-Randualas,127,14.520,14+400,14+500,5825,,,,,
Jl. Sidodadi-Kebonagung,126,4.970,4+800,4+900,5775,,,,,
Jl. Kaligunting-Darmorejo,049,6.010,6+000,6+100,2875,,,,,
Jl. Bungkus-Sidodadi,034,2.750,2+600,2+700,2109,,,,,
Jl. Pandean-Kaliabu,124,2.900,2+700,2+800,5741,,,,,
Jl. Kaliabu-TPA,125,0.500,0+300,0+400,5770,,,,,
Jl. Sidomulyo-Kaliabu,128,3.570,0+100,0+200,5971,,,,,
Jl. Klitik-Dimong,001,8.100,8+000,8+100,1,,,,,
Jl. Wonoasri-Bancong,130,2.100,2+100,2+200,6023,,,,,
Jl. Klitik-Bancong,129,1.500,1+400,1+500,6007,,,,,
Jl. Purwosari-Bancong,035,3.840,3+600,3+700,2137,,,,,
Jl. Wonoasri-Banyukambang,131,2.010,1+900,2+000,6046,,,,,
Jl. Karangmalang-Banyukambang,050,2.260,2+100,2+200,2937,,,,,
Jl. Kebonagung-Banyukambang,134,1.760,1+600,1+700,6117,,,,,
Jl. Jerukgulung-Gading,060,2.350,2+200,2+300,3294,,,,,
Jl. Segulung-Suluk,090,14.960,14+800,14+900,4499,,,,,
Jl. Purworejo-Segulung,071,7.890,7+400,7+500,3660,,,,,
Jl. Pagotan-Dagangan,005,1.840,1+700,1+800,361,,,,,
Jl. Dagangan-Pesanggrahan,087,11.500,11+400,11+500,4272,,,,,
Jl. Dagangan-Sukosari,031,3.930,3+200,"3+300
",1953,,,,,
Jl. Dungus-Sukosari,032,6.650,6+500,6+600,1987,,,,,
Jl. Karangrejo-Mawatsari,140,2.000,1+800,1+900,6317,,,,,
Jl. Sangen-Sewulan,040,2.160,2+000,2+100,2314,,,,,
Jl. Sangen-Sukosari,070,1.370,1+200,1+300,3646,,,,,
Jl. Sukosari-Batas Kota,046,3.640,3+500,3+600,2689,,,,,
Jl. Pilangrejo-Mawatsari,141,4.600,4+400,4+500,6337,,,,,
