Name;STA_AWAL;STA_AKHIR;NO;Panjang;Kondisi;Tipe_Perke;Lebar_STA
Jalan Kantil;0+100;0+200;19;428,00000000000;sedang;aspal;6
Jalan Kantil;0+200;0+300;20;428,00000000000;RR;aspal;6
Jalan Kantil;0+400;0+428;21;428,00000000000;RB;aspal;6
Jalan Kantil  III;0+000;0+100;24;206,00000000000;BAIK;aspal;6
Jalan Kantil  III;0+200;0+206;25;206,00000000000;sedang;aspal;6
Jalan Kantil  IV;0+000;0+100;27;303,67359400400;RR;aspal;6
Jalan Kantil  IV;0+100;0+200;28;303,67359400400;RB;aspal;6
Jalan Kantil  IV;0+300;0+303;29;303,67359400400;BAIK;aspal;6
Jalan Kantil  VI;0+100;0+153;31;153,49717392500;sedang;aspal;6
Jalan Kantil I;0+100;0+143;33;143,90603246200;RR;aspal;6
JALAN KASATRIAN;0+000;0+100;36;509,88596253200;RB;aspal;6
JALAN KASATRIAN;0+100;0+200;37;509,88596253200;BAIK;aspal;6
JALAN KASATRIAN;0+200;0+300;38;509,88596253200;sedang;aspal;6
JALAN KASATRIAN;0+300;0+400;39;509,88596253200;RR;aspal;6
JALAN KASATRIAN;0+500;0+509;40;509,88596253200;RB;aspal;6
Jalan Kenongo;0+000;0+100;42;1158,61756835000;BAIK;aspal;6
Jalan Kenongo;0+100;0+200;43;1158,61756835000;sedang;aspal;6
Jalan Kenongo;0+200;0+300;44;1158,61756835000;RR;aspal;6
Jalan Kenongo;0+300;0+400;45;1158,61756835000;RB;aspal;6
Jalan Kenongo;0+400;0+500;46;1158,61756835000;BAIK;aspal;6
Jalan Kenongo;0+500;0+600;47;1158,61756835000;sedang;aspal;6
Jalan Kenongo;0+600;0+700;48;1158,61756835000;RR;aspal;6
Jalan Kenongo;0+700;0+800;49;1158,61756835000;RB;aspal;6
Jalan Kenongo;0+800;0+900;50;1158,61756835000;BAIK;aspal;6
Jalan Kenongo;0+900;1+000;51;1158,61756835000;sedang;aspal;6
Jalan Kenongo;1+100;1+156;52;1158,61756835000;RR;aspal;6
Jalan Kenongo 2;0+000;0+100;54;350,85962043300;RB;aspal;6
Jalan Kenongo 2;0+100;0+200;55;350,85962043300;BAIK;aspal;6
Jalan Kenongo 2;0+300;0+350;56;350,85962043300;sedang;aspal;6
Jalan Kenongo 3;0+100;0+118;58;118,11785882400;RR;aspal;6
Jalan M Sholeh;0+000;0+100;60;215,08135450300;RB;aspal;6
Jalan M Sholeh;0+200;0+215;61;215,08135450300;BAIK;aspal;6
Jalan Mawar;0+000;0+100;63;368,41040178600;sedang;aspal;6
Jalan Mawar;0+100;0+200;64;368,41040178600;RR;aspal;6
Jalan Mawar;0+300;0+368;65;368,41040178600;RB;aspal;6
Jalan Mayang Kembar;0+100;0+140;67;140,51946476500;BAIK;aspal;6
Jalan Mayang Kembar I;0+000;0+100;69;205,28154719200;sedang;aspal;6
Jalan Mayang Kembar I;0+200;0+205;70;205,28154719200;RR;aspal;6
Jalan Mayang Kembar II;0+000;0+100;72;208,39409233900;RB;aspal;6
Jalan Mayang Kembar II;0+200;0+208;73;208,39409233900;BAIK;aspal;6
Jalan Mayang Kembar III;0+000;0+100;75;210,84968965700;sedang;aspal;6
Jalan Mayang Kembar III;0+200;0+210;76;210,84968965700;RR;aspal;6
Jalan Mayang Kembar IV;0+000;0+100;78;202,25105169600;RB;aspal;6
Jalan Mayang Kembar IV;0+200;0+202;79;202,25105169600;BAIK;aspal;6
Jalan Melati;0+000;0+100;81;343,93457693900;sedang;aspal;6
Jalan Melati;0+100;0+200;82;343,93457693900;RR;aspal;6
Jalan Melati;0+300;0+343;83;343,93457693900;RB;aspal;6
Jalan Menur;0+000;0+100;85;453,97758610300;BAIK;aspal;6
Jalan Menur;0+100;0+200;86;453,97758610300;sedang;aspal;6
Jalan Menur;0+200;0+300;87;453,97758610300;RR;aspal;6
Jalan Menur;0+400;0+453;88;453,97758610300;RB;aspal;6
Jalan Menur Gg. 1;0+000;0+100;90;262,48882759800;BAIK;aspal;6
Jalan Menur Gg. 1;0+200;0+262;91;262,48882759800;sedang;aspal;6
Jalan Menur Gg. 2;0+100;0+136;93;136,06885037100;RR;aspal;6
Jalan Mojopurno - Pilangrejo;0+000;0+100;97;706,55355581300;RB;aspal;6
Jalan Mojopurno - Pilangrejo;0+100;0+200;98;706,55355581300;BAIK;aspal;6
Jalan Mojopurno - Pilangrejo;0+200;0+300;99;706,55355581300;sedang;aspal;6
Jalan Mojopurno - Pilangrejo;0+300;0+400;100;706,55355581300;RR;aspal;6
Jalan Mojopurno - Pilangrejo;0+400;0+500;101;706,55355581300;RB;aspal;6
Jalan Mojopurno - Pilangrejo;0+500;0+600;102;706,55355581300;BAIK;aspal;6
Jalan Mojopurno - Pilangrejo;0+700;0+706;103;706,55355581300;sedang;aspal;6
Jalan Munggut Asri;0+000;0+100;105;249,70623891300;RR;aspal;6
Jalan Munggut Asri;0+200;0+249;106;249,70623891300;RB;aspal;6
Jalan Nusa Indah;0+000;0+100;108;587,05764979500;BAIK;aspal;6
Jalan Nusa Indah;0+100;0+200;109;587,05764979500;sedang;aspal;6
Jalan Nusa Indah;0+200;0+300;110;587,05764979500;RR;aspal;6
Jalan Nusa Indah;0+300;0+400;111;587,05764979500;RB;aspal;6
Jalan Nusa Indah;0+500;0+587;112;587,05764979500;BAIK;aspal;6
Jalan Pacing;0+000;0+100;114;2755,36335330000;sedang;aspal;6
Jalan Pacing;0+100;0+200;115;2755,36335330000;RR;aspal;6
Jalan Pacing;0+200;0+300;116;2755,36335330000;RB;aspal;6
Jalan Pacing;0+300;0+400;117;2755,36335330000;BAIK;aspal;6
Jalan Pacing;0+400;0+500;118;2755,36335330000;sedang;aspal;6
Jalan Pacing;0+500;0+600;119;2755,36335330000;RR;aspal;6
Jalan Pacing;0+600;0+700;120;2755,36335330000;RB;aspal;6
Jalan Pacing;0+700;0+800;121;2755,36335330000;BAIK;aspal;6
Jalan Pacing;0+800;0+900;122;2755,36335330000;sedang;aspal;6
Jalan Pacing;0+900;1+000;123;2755,36335330000;RR;aspal;6
Jalan Pacing;1+000;1+100;124;2755,36335330000;RB;aspal;6
Jalan Pacing;1+100;1+200;125;2755,36335330000;BAIK;aspal;6
Jalan Pacing;1+200;1+300;126;2755,36335330000;sedang;aspal;6
Jalan Pacing;1+300;1+400;127;2755,36335330000;RR;aspal;6
Jalan Pacing;1+400;1+500;128;2755,36335330000;RB;aspal;6
Jalan Pacing;1+500;1+600;129;2755,36335330000;BAIK;aspal;6
Jalan Pacing;1+600;1+700;130;2755,36335330000;sedang;aspal;6
Jalan Pacing;1+700;1+800;131;2755,36335330000;RR;aspal;6
Jalan Pacing;1+800;1+900;132;2755,36335330000;RB;aspal;6
Jalan Pacing;1+900;2+000;133;2755,36335330000;BAIK;aspal;6
Jalan Pacing;2+000;2+100;134;2755,36335330000;sedang;aspal;6
Jalan Pacing;2+100;2+200;135;2755,36335330000;RR;aspal;6
Jalan Pacing;2+200;2+300;136;2755,36335330000;RB;aspal;6
Jalan Pacing;2+300;2+400;137;2755,36335330000;BAIK;aspal;6
Jalan Pacing;2+400;2+500;138;2755,36335330000;sedang;aspal;6
Jalan Pacing;2+500;2+600;139;2755,36335330000;RR;aspal;6
Jalan Pacing;2+700;2+755;140;2755,36335330000;RB;aspal;6
Jalan Sedap Malam;0+100;0+104;142;104,65387142400;BAIK;aspal;6
Jalan Seroja;0+000;0+100;144;744,54767511700;sedang;aspal;6
Jalan Seroja;0+100;0+200;145;744,54767511700;RR;aspal;6
Jalan Seroja;0+200;0+300;146;744,54767511700;RB;aspal;6
Jalan Seroja;0+300;0+400;147;744,54767511700;BAIK;aspal;6
Jalan Seroja;0+400;0+500;148;744,54767511700;sedang;aspal;6
Jalan Seroja;0+500;0+600;149;744,54767511700;RR;aspal;6
Jalan Seroja;0+700;0+744;150;744,54767511700;RB;aspal;6
Jalan Sri Rejeki;0+000;0+100;152;364,51156824900;BAIK;aspal;6
Jalan Sri Rejeki;0+100;0+200;153;364,51156824900;sedang;aspal;6
Jalan Sri Rejeki;0+300;0+364;154;364,51156824900;RR;aspal;6
Jalan Sruni;0+100;0+190;157;190,67689615600;RB;aspal;6
Jalan Sruni 1;0+100;0+117;159;117,52556401100;BAIK;aspal;6
Jalan Telasih;0+100;0+102;161;102,49287957200;sedang;aspal;6
Jalan Teratai;0+000;0+100;163;417,67073239800;RR;aspal;6
Jalan Teratai;0+100;0+200;164;417,67073239800;RB;aspal;6
Jalan Teratai;0+200;0+300;165;417,67073239800;BAIK;aspal;6
Jalan Teratai;0+400;0+417;166;417,67073239800;sedang;aspal;6
Jalan Wijaya Kusuma;0+000;0+100;168;261,75094781100;RR;aspal;6
Jalan Wijaya Kusuma;0+200;0+261;169;261,75094781100;RB;aspal;6
Jalan Wijaya Kusuma I;0+000;0+100;171;267,32192815600;BAIK;aspal;6
Jalan Wijaya Kusuma I;0+200;0+267;172;267,32192815600;sedang;aspal;6
Jalan Wijaya Kusuma II;0+100;0+180;174;180,06427326300;RR;beton;6
Jl. Abimanyu;0+000;0+100;176;806,84988536900;RB;beton;6
Jl. Abimanyu;0+100;0+200;177;806,84988536900;BAIK;beton;6
Jl. Abimanyu;0+200;0+300;178;806,84988536900;sedang;beton;6
Jl. Abimanyu;0+300;0+400;179;806,84988536900;RR;beton;6
Jl. Abimanyu;0+400;0+500;180;806,84988536900;RB;beton;6
Jl. Abimanyu;0+500;0+600;181;806,84988536900;BAIK;beton;6
Jl. Abimanyu;0+600;0+700;182;806,84988536900;sedang;beton;6
Jl. Abimanyu;0+800;0+806;183;806,84988536900;RR;beton;6
Jl. Abiyoso;0+000;0+100;185;238,54428715500;RB;beton;6
Jl. Abiyoso;0+200;0+238;186;238,54428715500;BAIK;beton;6
Jl. Arimbi 1;0+100;0+165;188;165,91978938100;sedang;beton;6
Jl. Arjuno;0+100;0+118;191;118,93223057700;RR;beton;6
Jl. Bali;0+000;0+100;194;343,94479559300;RB;beton;6
Jl. Bali;0+100;0+200;195;343,94479559300;BAIK;beton;6
Jl. Bali;0+300;0+343;196;343,94479559300;sedang;beton;6
Jl. Baru;0+100;0+188;198;188,60183790000;RR;beton;6
Jl. Baru Mberan;0+000;0+100;200;286,45102056000;RB;beton;6
Jl. Baru Mberan;0+200;0+286;201;286,45102056000;BAIK;beton;6
Jl. Baudayang;0+000;0+100;203;801,09230616000;sedang;beton;6
Jl. Baudayang;0+100;0+200;204;801,09230616000;RR;beton;6
Jl. Baudayang;0+200;0+300;205;801,09230616000;RB;beton;6
Jl. Baudayang;0+300;0+400;206;801,09230616000;BAIK;beton;6
Jl. Baudayang;0+400;0+500;207;801,09230616000;sedang;beton;6
Jl. Baudayang;0+500;0+600;208;801,09230616000;RR;beton;6
Jl. Baudayang;0+600;0+700;209;801,09230616000;RB;beton;6
Jl. Baudayang;0+800;0+801;210;801,09230616000;BAIK;beton;6
Jl. Bekas Rel;0+000;0+100;212;439,15696261400;sedang;beton;6
Jl. Bekas Rel;0+100;0+200;213;439,15696261400;RR;beton;6
Jl. Bekas Rel;0+200;0+300;214;439,15696261400;RB;beton;6
Jl. Bekas Rel;0+400;0+439;215;439,15696261400;BAIK;beton;6
Jl. Bendungan Segaran;0+000;0+100;217;328,17731869900;sedang;beton;6
Jl. Bendungan Segaran;0+100;0+200;218;328,17731869900;RR;beton;6
Jl. Bendungan Segaran;0+300;0+328;219;328,17731869900;RB;beton;6
Jl. Bendungan Segaran Barat;0+100;0+123;221;123,46328740300;BAIK;beton;6
Jl. Cempaka Gg 4;0+100;0+154;223;154,12005938600;sedang;beton;6
Jl. Diponegoro 2;0+000;0+100;225;560,27146413100;RR;beton;6
Jl. Diponegoro 2;0+100;0+200;226;560,27146413100;RB;beton;6
Jl. Diponegoro 2;0+200;0+300;227;560,27146413100;BAIK;beton;6
Jl. Diponegoro 2;0+300;0+400;228;560,27146413100;sedang;beton;6
Jl. Diponegoro 2;0+500;0+560;229;560,27146413100;RR;beton;6
Jl. Dungus Termulus;0+000;0+100;231;1350,30544222000;RB;beton;6
Jl. Dungus Termulus;0+100;0+200;232;1350,30544222000;BAIK;beton;6
Jl. Dungus Termulus;0+200;0+300;233;1350,30544222000;sedang;beton;6
Jl. Dungus Termulus;0+300;0+400;234;1350,30544222000;RR;beton;6
Jl. Dungus Termulus;0+400;0+500;235;1350,30544222000;RB;beton;6
Jl. Dungus Termulus;0+500;0+600;236;1350,30544222000;BAIK;beton;6
