No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
7211,"Jl. Sebayi-Batas Nganjuk",155,7,7+000,7+100,,sedang,makadam,6,,2022,,,,
7094,"Jl. Gosong-Ketupu",154,6,11+500,11+600,,sedang,lapen,6,,2022,,,,
6982,"Jl. Mundu-Batas Nganjuk",153,11,11+000,11+100,,sedang,lapen,6,,2022,,,,
6943,"Jl. Batok-Gosong",152,4,3+700,3+800,,sedang,lapen,6,,2022,,,,
1531,"Jl. Kare-Mundu",024,14,14+100,14+200,,sedang,lapen,6,,2022,,,,
6906,"Jl. Cungkling-Morang",151,4,3+500,3+600,,sedang,lapen,6,,2022,,,,
1791,"Jl. Batok-Morang",027,5,4+700,4+800,,sedang,lapen,6,,2022,,,,
137,"Jl. Caruban-Morang",003,15,14+300,14+400,,sedang,lapen,6,,2022,,,,
5825,"Jl. Blabakan-Randualas",127,15,14+400,14+500,,sedang,lapen,6,,2022,,,,
5775,"Jl. Sidodadi-Kebonagung",126,5,4+800,4+900,,sedang,lapen,6,,2022,,,,
2875,"Jl. Kaligunting-Darmorejo",049,6,6+000,6+100,,sedang,lapen,6,,2022,,,,
2109,"Jl. Bungkus-Sidodadi",034,3,2+600,2+700,,sedang,lapen,6,,2022,,,,
5741,"Jl. Pandean-Kaliabu",124,3,2+700,2+800,,sedang,lapen,6,,2022,,,,
5770,"Jl. Kaliabu-TPA",125,1,0+300,0+400,,sedang,lapen,6,,2022,,,,
5971,"Jl. Sidomulyo-Kaliabu",128,4,0+100,0+200,,sedang,lapen,6,,2022,,,,
1,"Jl. Klitik-Dimong",001,8,8+000,8+100,,sedang,lapen,6,,2022,,,,
6023,"Jl. Wonoasri-Bancong",130,2,2+100,2+200,,sedang,lapen,6,,2022,,,,
6007,"Jl. Klitik-Bancong",129,2,1+400,1+500,,sedang,lapen,6,,2022,,,,
2137,"Jl. Purwosari-Bancong",035,4,3+600,3+700,,sedang,lapen,6,,2022,,,,
6046,"Jl. Wonoasri-Banyukambang",131,2,1+900,2+000,,sedang,lapen,6,,2022,,,,
2937,"Jl. Karangmalang-Banyukambang",050,2,2+100,2+200,,sedang,lapen,6,,2022,,,,
6117,"Jl. Kebonagung-Banyukambang",134,2,1+600,1+700,,sedang,lapen,6,,2022,,,,
3294,"Jl. Jerukgulung-Gading",060,2,2+200,2+300,,sedang,lapen,6,,2022,,,,
4499,"Jl. Segulung-Suluk",090,15,14+800,14+900,,sedang,lapen,6,,2022,,,,
3660,"Jl. Purworejo-Segulung",071,8,7+400,7+500,,sedang,lapen,6,,2022,,,,
361,"Jl. Pagotan-Dagangan",005,2,1+700,1+800,,sedang,lapen,6,,2022,,,,
4272,"Jl. Dagangan-Pesanggrahan",087,12,11+400,11+500,,sedang,lapen,6,,2022,,,,
1953,"Jl. Dagangan-Sukosari",031,4,3+200,3+300,,sedang,lapen,6,,2022,,,,
1987,"Jl. Dungus-Sukosari",032,7,6+500,6+600,,sedang,lapen,6,,2022,,,,
6317,"Jl. Karangrejo-Mawatsari",140,2,1+800,1+900,,sedang,lapen,6,,2022,,,,
2314,"Jl. Sangen-Sewulan",040,2,2+000,2+100,,sedang,lapen,6,,2022,,,,
3646,"Jl. Sangen-Sukosari",070,1,1+200,1+300,,sedang,lapen,6,,2022,,,,
2689,"Jl. Sukosari-Batas Kota",046,4,3+500,3+600,,sedang,lapen,6,,2022,,,,
6337,"Jl. Pilangrejo-Mawatsari",141,5,4+400,4+500,,sedang,lapen,6,,2022,,,,
2615,"Jl. Munggut-Batas Kota",044,2,1+400,1+500,,sedang,lapen,6,,2022,,,,
6254,"Jl. Bantengan-Karangrejo",138,5,5+100,5+200,,sedang,lapen,6,,2022,,,,
1128,"Jl. Mojopurno-Dimong",017,9,9+000,9+100,,sedang,lapen,6,,2022,,,,
4075,"Jl. Bantengan-Batas Kota",081,1,0+600,0+700,,sedang,lapen,6,,2022,,,,
6307,"Jl. Bantengan-Tempursari",139,1,0+800,0+900,,sedang,lapen,6,,2022,,,,
4051,"Jl. Mojorayung-Batas Kota",080,2,2+200,2+300,,sedang,lapen,6,,2022,,,,
4110,"Jl. Nglanduk-Batas Kota",083,2,2+400,2+500,,sedang,lapen,6,,2022,,,,
4083,"Jl. Dempelan-Batas Kota",082,3,2+500,2+600,,sedang,lapen,6,,2022,,,,
6067,"Jl. Dimong-Sirapan",132,1,0+900,1+000,,sedang,lapen,6,,2022,,,,
915,"Jl. Dimong-Batas Kota",014,4,3+700,3+800,,sedang,lapen,6,,2022,,,,
2264,"Jl. Balerejo-Dimong",038,5,4+300,4+400,,sedang,lapen,6,,2022,,,,
4388,"Jl. Dagangan-Sareng",088,4,3+800,3+900,,sedang,lapen,6,,2022,,,,
2336,"Jl. Slambur-Segulung",041,10,9+300,9+400,,sedang,lapen,6,,2022,,,,
4428,"Jl. Ketandan-Mendak",089,7,6+900,7+000,,sedang,lapen,6,,2022,,,,
4768,"Jl. Sareng-Ketandan",092,3,2+500,2+600,,sedang,lapen,6,,2022,,,,
3780,"Jl. Batil-Candimulyo",074,5,4+600,4+700,,sedang,lapen,6,,2022,,,,
2521,"Jl. Dolopo-Tileng",043,9,9+200,9+300,,sedang,lapen,6,,2022,,,,
7556,"Jl. Candimulyo-Blimbing",165,4,3+700,3+800,,sedang,lapen,6,,2022,,,,
2631,"Jl. Dolopo-Suluk",045,6,5+600,5+700,,sedang,lapen,6,,2022,,,,
1425,"Jl. Dolopo-Batas Ponorogo",022,9,8+800,8+900,,sedang,lapen,6,,2022,,,,
3915,"Jl. Mlilir-Suluk",078,9,9+200,9+300,,sedang,lapen,6,,2022,,,,
4009,"Jl. Mlilir-Batas Ponorogo",079,4,4+000,4+100,,sedang,lapen,6,,2022,,,,
1704,"Jl. Mlilir-Tambakmas",026,9,8+500,8+600,,sedang,lapen,6,,2022,,,,
3893,"Jl. Ngeprih-Lembah",077,2,2+000,2+100,,sedang,lapen,6,,2022,,,,
3868,"Jl. Ngrawan-Sukorejo",076,2,2+300,2+400,,sedang,lapen,6,,2022,,,,
