No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
415,Jl. Pemuda,,399,0+200,0+300,,RR,beton,5,,2022,,,,
371,Jl. Lapangan,,231,0+100,0+200,,RR,beton,5,,2022,,,,
323,Jl. H.Seto,,173,0+000,0+100,,RR,beton,5,,2022,,,,
430,Jl. Pemuda Gang VII,,147,0+000,0+100,,RR,beton,5,,2022,,,,
428,Jl. Pemuda Gang VI,,103,0+000,0+100,,RR,beton,5,,2022,,,,
427,Jl. Pemuda Gang V,,101,0+000,0+100,,RR,beton,5,,2022,,,,
425,Jl. Pemuda Gang IV,,103,0+000,0+100,,RR,beton,5,,2022,,,,
423,Jl. Pemuda Gang III,,103,0+000,0+100,,RR,beton,5,,2022,,,,
421,Jl. Pemuda Gang II,,102,0+000,0+100,,RR,beton,5,,2022,,,,
419,Jl. Pemuda Gang I,,102,0+000,0+100,,RR,aspal,5,,2022,,,,
432,Jl. Pemuda Gang VIII,,52,0+000,0+052,,RR,aspal,5,,2022,,,,
197,Jl. Baru,,189,0+000,0+100,,RR,aspal,5,,2022,,,,
35,JALAN KASATRIAN,,510,0+400,0+500,,RR,aspal,5,,2022,,,,
347,Jl. Ki. Ageng Basyariyah,,607,0+500,0+600,,RR,aspal,5,,2022,,,,
376,Jl. Masjid,,688,0+500,0+600,,RR,aspal,5,,2022,,,,
354,Jl. Ki. Ageng Basyariyah Gang 1,,38,0+000,0+037,,RR,aspal,5,,2022,,,,
355,Jl. Ki. Ageng Basyariyah Gang 2,,44,0+000,0+044,,RR,aspal,5,,2022,,,,
356,Jl. Ki. Ageng Basyariyah Gang 3,,40,0+000,0+040,,RR,aspal,5,,2022,,,,
357,Jl. Ki. Ageng Basyariyah Gang 4,,53,0+000,0+053,,RR,makadam,5,,2022,,,,
358,Jl. Ki. Ageng Basyariyah Gang 5,,24,0+000,0+024,,RR,makadam,5,,2022,,,,
341,Jl. Kebon Pisang,,192,0+000,0+100,,RR,makadam,5,,2022,,,,
519,Jl. Wiroto II,,96,0+000,0+095,,RR,makadam,5,,2022,,,,
518,Jl. Wiroto,,55,0+000,0+054,,RR,makadam,5,,2022,,,,
261,Jl. Gang Buntu,,52,0+000,0+051,,RR,makadam,5,,2022,,,,
446,Jl. Puntuk I,,74,0+000,0+074,,RR,makadam,5,,2022,,,,
447,Jl. Puntuk II,,78,0+000,0+077,,RR,lapen,5,,2022,,,,
328,Jl. K.A.Moch Basari,,109,0+000,0+100,,RR,lapen,5,,2022,,,,
448,Jl. Rajawali,,312,0+200,0+300,,RR,lapen,5,,2022,,,,
285,Jl. Gang Tangah,,260,0+100,0+200,,RR,lapen,5,,2022,,,,
325,Jl. Iromito,,197,0+000,0+100,,RR,lapen,5,,2022,,,,
273,Jl. Gang Rukun,,112,0+000,0+100,,RR,lapen,5,,2022,,,,
406,Jl. Panji 1,,125,0+000,0+100,,RR,lapen,5,,2022,,,,
408,Jl. Panji 2,,116,0+000,0+100,,RR,lapen,5,,2022,,,,
410,Jl. Panji 3,,171,0+000,0+100,,RR,tanah,5,,2022,,,,
461,Jl. Rukun,,142,0+000,0+100,,RR,tanah,5,,2022,,,,
190,Jl. Arjuno,,119,0+000,0+100,,RR,tanah,5,,2022,,,,
452,Jl. Rajawali Gg.1,,136,0+000,0+100,,RR,tanah,5,,2022,,,,
458,Jl. Remaja Gang 1,,52,0+000,0+051,,RR,tanah,5,,2022,,,,
192,Jl. Arjuno Gg.1,,73,0+000,0+073,,RR,tanah,5,,2022,,,,
459,Jl. Remaja Gang 2,,52,0+000,0+052,,RR,tanah,5,,2022,,,,
460,Jl. Remaja Gang 3,,62,0+000,0+062,,RR,beton,5,,2022,,,,
318,Jl. Gg. Kelurahan,,132,0+000,0+100,,RR,beton,5,,2022,,,,
321,Jl. Gg. Nanas,,80,0+000,0+079,,RR,beton,5,,2022,,,,
320,Jl. Gg. Mlinjo,,76,0+000,0+075,,RR,beton,5,,2022,,,,
316,Jl. Gg. Kelapa,,129,0+000,0+100,,RR,beton,5,,2022,,,,
305,Jl. Gg Borobudur,,32,0+000,0+031,,RR,beton,5,,2022,,,,
314,Jl. Gg. Jeruk,,110,0+000,0+100,,RR,beton,5,,2022,,,,
306,Jl. Gg Trobanyu,,107,0+000,0+100,,RR,beton,5,,2022,,,,
311,Jl. Gg. Jambe,,104,0+000,0+100,,RR,beton,5,,2022,,,,
309,Jl. GG. Duren,,125,0+000,0+100,,RR,aspal,5,,2022,,,,
313,Jl. GG. Jambu,,97,0+000,0+096,,RR,aspal,5,,2022,,,,
308,Jl. Gg. Apel,,24,0+000,0+024,,RR,aspal,5,,2022,,,,
322,Jl. Gg. Salak,,87,0+000,0+086,,RR,aspal,5,,2022,,,,
211,Jl. Bekas Rel,,439,0+300,0+400,,RR,aspal,5,,2022,,,,
332,Jl. Kanal Kembar (RT.11 RW.5),,333,0+200,0+300,,RR,aspal,5,,2022,,,,
480,Jl. Sukodono (RT.11 RW.5),,213,0+100,0+200,,RR,aspal,5,,2022,,,,
520,Jl.Antarejo,,1501,1+400,1+500,,RR,aspal,5,,2022,,,,
293,Jl. Gatot Kaca,,1139,1+000,1+100,,RR,aspal,5,,2022,,,,
175,Jl. Abimanyu,,807,0+700,0+800,,RR,makadam,5,,2022,,,,
554,Jl.Sentiaki,,1086,0+900,1+000,,RR,makadam,5,,2022,,,,
512,Jl. Werkudoro,,139,0+000,0+100,,RR,makadam,5,,2022,,,,
365,Jl. Krisna,,507,0+400,0+500,,RR,makadam,5,,2022,,,,
251,Jl. Gang Bayusuto 1,,99,0+000,0+098,,RR,makadam,5,,2022,,,,
252,Jl. Gang Bayusuto 2,,131,0+000,0+100,,RR,makadam,5,,2022,,,,
254,Jl. Gang Bayusuto 3,,136,0+000,0+100,,RR,makadam,5,,2022,,,,
256,Jl. Gang Bayusuto 4,,144,0+000,0+100,,RR,lapen,5,,2022,,,,
540,Jl.Gang Asem 1,,207,0+100,0+200,,RR,lapen,5,,2022,,,,
250,Jl. Gang Asem 2,,99,0+000,0+098,,RR,lapen,5,,2022,,,,
469,Jl. Selo Barong,,148,0+000,0+100,,RR,lapen,5,,2022,,,,
440,Jl. Puntodewo,,568,0+400,0+500,,RR,lapen,5,,2022,,,,
475,Jl. Srikandi,,432,0+300,0+400,,RR,lapen,5,,2022,,,,
216,Jl. Bendungan Segaran,,328,0+200,0+300,,RR,lapen,5,,2022,,,,
220,Jl. Bendungan Segaran Barat,,123,0+000,0+100,,RR,lapen,5,,2022,,,,
383,Jl. Mawar,,831,0+700,0+800,,RR,tanah,5,,2022,,,,
330,Jl. Kamboja,,119,0+000,0+100,,RR,tanah,5,,2022,,,,
343,Jl. Ki Ageng Bandar Alim,,390,0+200,0+300,,RR,tanah,5,,2022,,,,
398,Jl. Melati,,502,0+400,0+500,,RR,tanah,5,,2022,,,,
265,Jl. Gang Kantil 2,,108,0+000,0+100,,RR,tanah,5,,2022,,,,
267,Jl. Gang Kantil 3,,51,0+000,0+051,,RR,tanah,5,,2022,,,,
336,Jl. Kantil,,425,0+300,0+400,,RR,tanah,5,,2022,,,,
268,Jl. Gang Kasepuhan,,64,0+000,0+064,,RR,beton,5,,2022,,,,
543,Jl.Gang Gatot Kaca 1,,198,0+000,0+100,,RR,beton,5,,2022,,,,
545,Jl.Gang Gatot Kaca 2,,118,0+000,0+100,,RR,beton,5,,2022,,,,
547,Jl.Gang Gatot Kaca 3,,102,0+000,0+100,,RR,beton,5,,2022,,,,
262,Jl. Gang Cemer 1,,127,0+000,0+100,,RR,beton,5,,2022,,,,
264,Jl. Gang Cemer 2,,61,0+000,0+061,,RR,beton,5,,2022,,,,
246,Jl. Gang Abimanyu,,199,0+000,0+100,,RR,beton,5,,2022,,,,
435,Jl. Petruk,,134,0+000,0+100,,RR,beton,5,,2022,,,,
471,Jl. Semar,,108,0+000,0+100,,RR,beton,5,,2022,,,,
288,Jl. Gareng,,34,0+000,0+034,,RR,aspal,5,,2022,,,,
283,Jl. Gang Sentiaki 2,,195,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
279,Jl. Gang Sentiaki 1,,400,0+200,0+300,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
230,Jl. Dungus Termulus,,1350,1+200,1+300,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
510,Jl. Tomat,,160,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
536,Jl.Chery,,330,0+200,0+300,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
374,Jl. Manggis,,166,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
269,Jl. Gang Mangga,,103,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
454,Jl. Rambutan,,97,0+000,0+097,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
327,Jl. Jambu,,99,0+000,0+098,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
404,Jl. Nangka,,194,0+000,0+100,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
244,Jl. Durian,,106,0+000,0+100,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
359,Jl. Kiwi,,51,0+000,0+050,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
271,Jl. Gang Masjid,,187,0+000,0+100,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
187,Jl. Arimbi 1,,166,0+000,0+100,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
189,Jl. Arimbi 2,,57,0+000,0+056,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
463,Jl. Sadewo,,175,0+000,0+100,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
275,Jl. Gang Sadewo 1,,204,0+100,0+200,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
278,Jl. Gang Sadewo 2,,77,0+000,0+076,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
439,Jl. Pisang,,91,0+000,0+091,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
2,GG. Anggrek III,,106,0+100,0+106,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
4,Jalan Anggrek-Mayang Kembar IV,,240,0+100,0+140,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
6,Jalan Anthorium,,450,0+000,0+100,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
7,Jalan Anthorium,,450,0+100,0+200,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
8,Jalan Anthorium,,450,0+200,0+300,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
9,Jalan Anthorium,,450,0+400,0+450,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
11,Jalan Cempaka,,416,0+000,0+100,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
12,Jalan Cempaka,,416,0+100,0+200,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
13,Jalan Cempaka,,416,0+200,0+300,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
14,Jalan Cempaka,,416,0+400,0+416,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
16,Jalan Joharmanik,,194,0+100,0+194,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
18,Jalan Kantil,,428,0+000,0+100,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
19,Jalan Kantil,,428,0+100,0+200,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
20,Jalan Kantil,,428,0+200,0+300,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
21,Jalan Kantil,,428,0+400,0+428,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
24,Jalan Kantil  III,,206,0+000,0+100,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
25,Jalan Kantil  III,,206,0+200,0+206,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
27,Jalan Kantil  IV,,304,0+000,0+100,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
28,Jalan Kantil  IV,,304,0+100,0+200,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
29,Jalan Kantil  IV,,304,0+300,0+303,,RB,beton,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
31,Jalan Kantil  VI,,154,0+100,0+153,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
33,Jalan Kantil I,,144,0+100,0+143,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
36,JALAN KASATRIAN,,510,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
37,JALAN KASATRIAN,,510,0+100,0+200,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
38,JALAN KASATRIAN,,510,0+200,0+300,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
39,JALAN KASATRIAN,,510,0+300,0+400,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
40,JALAN KASATRIAN,,510,0+500,0+509,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
42,Jalan Kenongo,,1159,0+000,0+100,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
43,Jalan Kenongo,,1159,0+100,0+200,,RB,aspal,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
44,Jalan Kenongo,,1159,0+200,0+300,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
45,Jalan Kenongo,,1159,0+300,0+400,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
46,Jalan Kenongo,,1159,0+400,0+500,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
47,Jalan Kenongo,,1159,0+500,0+600,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
48,Jalan Kenongo,,1159,0+600,0+700,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
49,Jalan Kenongo,,1159,0+700,0+800,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
50,Jalan Kenongo,,1159,0+800,0+900,,RB,makadam,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
51,Jalan Kenongo,,1159,0+900,1+000,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
52,Jalan Kenongo,,1159,1+100,1+156,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
54,Jalan Kenongo 2,,351,0+000,0+100,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
55,Jalan Kenongo 2,,351,0+100,0+200,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
56,Jalan Kenongo 2,,351,0+300,0+350,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
58,Jalan Kenongo 3,,118,0+100,0+118,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
60,Jalan M Sholeh,,215,0+000,0+100,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
61,Jalan M Sholeh,,215,0+200,0+215,,RB,lapen,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
63,Jalan Mawar,,368,0+000,0+100,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
64,Jalan Mawar,,368,0+100,0+200,,RB,tanah,5,2023,2022,2023-01-11,pengaspalan,baik,aspal
