Nm_Ruas;Kd_Inf;Panjang;STA_AWAL;STA_AKHIR;No;Kondisi;Tipe_Perke;Lebar_STA
Jl. Klitik-Dimong;001;8.100;5+800;5+900;60;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+900;6+000;61;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;6+000;6+100;62;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+100;6+200;63;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+200;6+300;64;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+300;6+400;65;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+400;6+500;66;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+500;6+600;67;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+600;6+700;68;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+700;6+800;69;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+800;6+900;70;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;6+900;7+000;71;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;7+000;7+100;72;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+100;7+200;73;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+200;7+300;74;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+300;7+400;75;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+400;7+500;76;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;7+500;7+600;77;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;7+600;7+700;78;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;7+700;7+800;79;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;7+800;7+900;80;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;7+900;8+000;81;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;8+100;8+127;82;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;5+200;5+300;83;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+000;0+100;84;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+100;0+200;85;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+200;0+300;86;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+300;0+400;87;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+400;0+500;88;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+500;0+600;89;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+600;0+700;90;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+700;0+800;91;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+800;0+900;92;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;0+900;1+000;93;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+000;1+100;94;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+100;1+200;95;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+200;1+300;96;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+300;1+400;97;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+400;1+500;98;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+500;1+600;99;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+600;1+700;100;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+700;1+800;101;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+800;1+900;102;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;1+900;2+000;103;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+000;2+100;104;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+100;2+200;105;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+200;2+300;106;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+300;2+400;107;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+400;2+500;108;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+500;2+600;109;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+600;2+700;110;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+700;2+800;111;RR;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+800;2+900;112;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;2+900;3+000;113;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+000;3+100;114;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+100;3+200;115;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+200;3+300;116;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+300;3+400;117;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+400;3+500;118;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+500;3+600;119;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+600;3+700;120;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+700;3+800;121;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+800;3+900;122;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;3+900;4+000;123;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+000;4+100;124;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+100;4+200;125;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+200;4+300;126;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+300;4+400;127;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+400;4+500;128;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+500;4+600;129;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+600;4+700;130;baik;beton;6
Jl. Bajulan-Kenongorejo;002;5.350;4+700;4+800;131;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+800;4+900;132;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;4+900;5+000;133;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;5+000;5+100;134;baik;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;5+100;5+200;135;sedang;aspal;6
Jl. Bajulan-Kenongorejo;002;5.350;5+300;5+346;136;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;14+300;14+400;137;sedang;lapen;6
Jl. Caruban-Morang;003;14.510;0+000;0+100;138;baik;aspal;6
Jl. Caruban-Morang;003;14.510;0+100;0+200;139;baik;aspal;6
Jl. Caruban-Morang;003;14.510;0+200;0+300;140;baik;aspal;6
Jl. Caruban-Morang;003;14.510;0+300;0+400;141;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;0+400;0+500;142;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;0+500;0+600;143;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;0+600;0+700;144;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;0+700;0+800;145;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;0+800;0+900;146;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;0+900;1+000;147;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;1+000;1+100;148;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;1+100;1+200;149;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;1+200;1+300;150;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;1+300;1+400;151;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;1+400;1+500;152;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;1+500;1+600;153;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;1+600;1+700;154;baik;aspal;6
Jl. Caruban-Morang;003;14.510;1+700;1+800;155;baik;aspal;6
Jl. Caruban-Morang;003;14.510;1+800;1+900;156;baik;aspal;6
Jl. Caruban-Morang;003;14.510;1+900;2+000;157;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+000;2+100;158;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+100;2+200;159;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+200;2+300;160;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+300;2+400;161;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+400;2+500;162;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+500;2+600;163;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+600;2+700;164;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+700;2+800;165;baik;aspal;6
Jl. Caruban-Morang;003;14.510;2+800;2+900;166;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;2+900;3+000;167;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+000;3+100;168;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+100;3+200;169;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+200;3+300;170;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+300;3+400;171;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+400;3+500;172;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+500;3+600;173;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+600;3+700;174;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+700;3+800;175;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+800;3+900;176;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;3+900;4+000;177;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+000;4+100;178;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+100;4+200;179;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+200;4+300;180;RR;aspal;6
Jl. Caruban-Morang;003;14.510;4+300;4+400;181;RR;aspal;6
Jl. Caruban-Morang;003;14.510;4+400;4+500;182;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+500;4+600;183;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+600;4+700;184;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+700;4+800;185;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+800;4+900;186;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;4+900;5+000;187;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+000;5+100;188;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+100;5+200;189;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+200;5+300;190;RR;aspal;6
Jl. Caruban-Morang;003;14.510;5+300;5+400;191;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+400;5+500;192;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+500;5+600;193;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+600;5+700;194;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+700;5+800;195;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+800;5+900;196;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;5+900;6+000;197;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+000;6+100;198;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+100;6+200;199;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+200;6+300;200;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+300;6+400;201;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+400;6+500;202;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+500;6+600;203;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+600;6+700;204;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+700;6+800;205;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+800;6+900;206;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;6+900;7+000;207;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+000;7+100;208;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+100;7+200;209;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+200;7+300;210;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+300;7+400;211;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+400;7+500;212;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+500;7+600;213;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+600;7+700;214;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+700;7+800;215;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;7+800;7+900;216;RR;aspal;6
Jl. Caruban-Morang;003;14.510;7+900;8+000;217;RR;aspal;6
Jl. Caruban-Morang;003;14.510;8+000;8+100;218;RR;aspal;6
Jl. Caruban-Morang;003;14.510;8+100;8+200;219;RR;aspal;6
Jl. Caruban-Morang;003;14.510;8+200;8+300;220;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;8+300;8+400;221;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;8+400;8+500;222;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;8+500;8+600;223;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;8+600;8+700;224;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;8+700;8+800;225;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;8+800;8+900;226;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;8+900;9+000;227;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+000;9+100;228;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+100;9+200;229;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+200;9+300;230;baik;aspal;6
Jl. Caruban-Morang;003;14.510;9+300;9+400;231;baik;aspal;6
Jl. Caruban-Morang;003;14.510;9+400;9+500;232;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+500;9+600;233;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+600;9+700;234;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+700;9+800;235;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+800;9+900;236;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;9+900;10+000;237;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+000;10+100;238;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+100;10+200;239;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+200;10+300;240;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+300;10+400;241;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+400;10+500;242;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+500;10+600;243;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+600;10+700;244;RR;aspal;6
Jl. Caruban-Morang;003;14.510;10+700;10+800;245;RR;aspal;6
Jl. Caruban-Morang;003;14.510;10+800;10+900;246;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;10+900;11+000;247;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+000;11+100;248;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+100;11+200;249;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+200;11+300;250;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+300;11+400;251;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+400;11+500;252;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+500;11+600;253;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+600;11+700;254;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+700;11+800;255;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+800;11+900;256;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;11+900;12+000;257;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+000;12+100;258;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+100;12+200;259;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+200;12+300;260;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+300;12+400;261;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+400;12+500;262;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+500;12+600;263;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+600;12+700;264;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+700;12+800;265;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+800;12+900;266;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;12+900;13+000;267;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+000;13+100;268;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+100;13+200;269;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+200;13+300;270;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+300;13+400;271;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+400;13+500;272;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+500;13+600;273;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+600;13+700;274;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+700;13+800;275;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+800;13+900;276;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;13+900;14+000;277;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;14+000;14+100;278;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;14+100;14+200;279;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;14+200;14+300;280;sedang;aspal;6
Jl. Caruban-Morang;003;14.510;14+400;14+498;281;sedang;aspal;6
Jl. Balerejo-Muneng;004;7.800;7+700;7+800;282;baik;makadam;6
Jl. Balerejo-Muneng;004;7.800;0+000;0+100;283;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+100;0+200;284;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+200;0+300;285;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+300;0+400;286;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+400;0+500;287;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+500;0+600;288;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+600;0+700;289;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+700;0+800;290;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+800;0+900;291;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;0+900;1+000;292;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;1+000;1+100;293;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;1+100;1+200;294;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;1+200;1+300;295;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;1+300;1+400;296;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;1+400;1+500;297;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;1+500;1+600;298;baik;aspal;6
Jl. Balerejo-Muneng;004;7.800;1+600;1+700;299;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;1+700;1+800;300;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;1+800;1+900;301;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;1+900;2+000;302;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+000;2+100;303;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+100;2+200;304;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+200;2+300;305;RR;beton;6
Jl. Balerejo-Muneng;004;7.800;2+300;2+400;306;RR;beton;6
Jl. Balerejo-Muneng;004;7.800;2+400;2+500;307;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+500;2+600;308;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+600;2+700;309;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+700;2+800;310;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+800;2+900;311;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;2+900;3+000;312;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;3+000;3+100;313;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;3+100;3+200;314;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;3+200;3+300;315;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;3+300;3+400;316;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;3+400;3+500;317;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;3+500;3+600;318;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;3+600;3+700;319;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;3+700;3+800;320;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;3+800;3+900;321;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;3+900;4+000;322;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;4+000;4+100;323;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;4+100;4+200;324;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;4+200;4+300;325;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;4+300;4+400;326;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;4+400;4+500;327;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;4+500;4+600;328;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;4+600;4+700;329;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;4+700;4+800;330;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;4+800;4+900;331;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;4+900;5+000;332;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+000;5+100;333;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+100;5+200;334;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+200;5+300;335;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+300;5+400;336;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+400;5+500;337;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+500;5+600;338;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+600;5+700;339;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;5+700;5+800;340;RR;beton;6
Jl. Balerejo-Muneng;004;7.800;5+800;5+900;341;RR;beton;6
Jl. Balerejo-Muneng;004;7.800;5+900;6+000;342;RR;beton;6
Jl. Balerejo-Muneng;004;7.800;6+000;6+100;343;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;6+100;6+200;344;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;6+200;6+300;345;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;6+300;6+400;346;baik;beton;6
Jl. Balerejo-Muneng;004;7.800;6+400;6+500;347;sedang;beton;6
Jl. Balerejo-Muneng;004;7.800;6+500;6+600;348;sedang;beton;6
