STA_AWAL;STA_AKHIR;Kondisi;Lebar_STA;Nm_Ruas;Panjang;Tipe_Perke;No
1+600;1+700;RR;3;BANJARSARI KULON;3026;aspal;230
1+700;1+800;RR;3;BANJARSARI KULON;3026;aspal;231
1+800;1+900;RR;3;BANJARSARI KULON;3026;aspal;232
1+900;2+000;RR;3;BANJARSARI KULON;3026;aspal;233
2+000;2+100;RR;3;BANJARSARI KULON;3026;aspal;234
2+100;2+200;RR;3;BANJARSARI KULON;3026;aspal;235
2+200;2+300;RR;3;BANJARSARI KULON;3026;aspal;236
2+300;2+400;RR;3;BANJARSARI KULON;3026;aspal;237
2+400;2+500;RR;3;BANJARSARI KULON;3026;aspal;238
2+500;2+600;RR;3;BANJARSARI KULON;3026;aspal;239
2+600;2+700;RR;3;BANJARSARI KULON;3026;aspal;240
2+700;2+800;RR;3;BANJARSARI KULON;3026;aspal;241
2+800;2+900;RR;3;BANJARSARI KULON;3026;aspal;242
2+900;3+000;RR;3;BANJARSARI KULON;3026;aspal;243
3+000;3+026;RR;3;BANJARSARI KULON;3026;aspal;244
0+000;0+100;baik;3;BANJARSARI WETAN;1055;aspal;245
0+100;0+200;baik;3;BANJARSARI WETAN;1055;aspal;246
0+200;0+300;baik;3;BANJARSARI WETAN;1055;aspal;247
0+300;0+400;baik;3;BANJARSARI WETAN;1055;aspal;248
0+400;0+500;baik;3;BANJARSARI WETAN;1055;aspal;249
0+500;0+600;baik;3;BANJARSARI WETAN;1055;aspal;250
0+600;0+700;RR;3;BANJARSARI WETAN;1055;aspal;251
0+700;0+800;baik;3;BANJARSARI WETAN;1055;aspal;252
0+800;0+900;baik;3;BANJARSARI WETAN;1055;aspal;253
0+900;1+000;RR;3;BANJARSARI WETAN;1055;aspal;254
1+000;1+055;baik;3;BANJARSARI WETAN;1055;aspal;255
0+000;0+100;baik;4;BANYUKAMBANG;726;beton;939
0+100;0+200;RB;4;BANYUKAMBANG;726;aspal;940
0+200;0+300;baik;3;BANYUKAMBANG;726;aspal;941
0+300;0+400;RB;3;BANYUKAMBANG;726;beton;942
0+400;0+500;baik;3;BANYUKAMBANG;726;beton;943
0+500;0+600;baik;3;BANYUKAMBANG;726;beton;944
0+600;0+700;baik;3;BANYUKAMBANG;726;beton;945
0+700;0+725;baik;3;BANYUKAMBANG;726;beton;946
0+000;0+100;RR;3.8;BENER;1418;beton;556
0+100;0+200;RR;3.8;BENER;1418;beton;557
0+200;0+300;RB;4;BENER;1418;tanah;558
0+300;0+400;RB;4;BENER;1418;tanah;559
0+400;0+500;RB;4;BENER;1418;tanah;560
0+500;0+600;RB;4;BENER;1418;tanah;561
0+600;0+700;RB;4;BENER;1418;tanah;562
0+700;0+800;RR;3.5;BENER;1418;aspal;563
0+800;0+900;baik;3.5;BENER;1418;beton;564
0+900;1+000;baik;3.5;BENER;1418;beton;565
1+000;1+100;baik;3.5;BENER;1418;beton;566
1+100;1+200;baik;3.5;BENER;1418;beton;567
1+200;1+300;baik;3.5;BENER;1418;beton;568
1+300;1+400;baik;3.5;BENER;1418;beton;569
1+400;1+418;baik;3.5;BENER;1418;beton;570
0+000;0+100;RR;3.5;BETEK;1773;aspal;1362
0+100;0+200;baik;3.5;BETEK;1773;aspal;1363
0+200;0+300;baik;3.5;BETEK;1773;aspal;1364
0+300;0+400;baik;3.5;BETEK;1773;aspal;1365
0+400;0+500;RR;3.5;BETEK;1773;beton;1366
0+500;0+600;sedang;3.5;BETEK;1773;beton;1367
0+600;0+700;sedang;3.5;BETEK;1773;beton;1368
0+700;0+800;sedang;3.5;BETEK;1773;beton;1369
0+800;0+900;baik;3.5;BETEK;1773;beton;1370
0+900;1+000;RR;3.5;BETEK;1773;beton;1371
1+000;1+100;RR;3.5;BETEK;1773;beton;1372
1+100;1+200;RR;3.5;BETEK;1773;beton;1373
1+200;1+300;RR;3.5;BETEK;1773;beton;1374
1+300;1+400;RR;3.5;BETEK;1773;beton;1375
1+400;1+500;sedang;3.5;BETEK;1773;beton;1376
1+500;1+600;sedang;3.5;BETEK;1773;beton;1377
1+600;1+700;baik;3.5;BETEK;1773;beton;1378
1+700;1+772;sedang;3.5;BETEK;1773;beton;1379
0+000;0+100;RR;3.1;BLIMBING;516;beton;208
0+100;0+200;RR;3;BLIMBING;516;beton;209
0+200;0+300;RR;3;BLIMBING;516;beton;210
0+300;0+400;RB;3.3;BLIMBING;516;beton;211
0+400;0+500;RB;3;BLIMBING;516;beton;212
0+500;0+515;RB;3;BLIMBING;516;beton;213
0+000;0+100;RR;3.5;BONGSOPOTRO;2089;aspal;571
0+100;0+200;RR;3;BONGSOPOTRO;2089;beton;572
0+200;0+300;RR;3;BONGSOPOTRO;2089;beton;573
0+300;0+400;RR;3;BONGSOPOTRO;2089;beton;574
0+400;0+500;RR;3;BONGSOPOTRO;2089;beton;575
0+500;0+600;RR;3.5;BONGSOPOTRO;2089;beton;576
0+600;0+700;RR;3.5;BONGSOPOTRO;2089;beton;577
0+700;0+800;RB;3;BONGSOPOTRO;2089;tanah;578
0+800;0+900;RB;3;BONGSOPOTRO;2089;tanah;579
0+900;1+000;RB;3;BONGSOPOTRO;2089;tanah;580
1+000;1+100;RB;3;BONGSOPOTRO;2089;tanah;581
1+100;1+200;RB;3;BONGSOPOTRO;2089;tanah;582
1+200;1+300;RB;3;BONGSOPOTRO;2089;tanah;583
1+300;1+400;RB;3;BONGSOPOTRO;2089;tanah;584
1+400;1+500;RB;3;BONGSOPOTRO;2089;tanah;585
1+500;1+600;RB;3;BONGSOPOTRO;2089;tanah;586
1+600;1+700;RB;3;BONGSOPOTRO;2089;tanah;587
1+700;1+800;RB;3;BONGSOPOTRO;2089;tanah;588
1+800;1+900;RB;3;BONGSOPOTRO;2089;tanah;589
1+900;2+000;RB;3;BONGSOPOTRO;2089;tanah;590
2+000;2+088;RB;3;BONGSOPOTRO;2089;tanah;591
0+000;0+100;sedang;2.9;BULAKREJO;469;aspal;1119
0+100;0+200;sedang;2.9;BULAKREJO;469;aspal;1120
0+200;0+300;sedang;2.9;BULAKREJO;469;aspal;1121
0+300;0+400;sedang;2.9;BULAKREJO;469;aspal;1122
0+400;0+469;sedang;2.9;BULAKREJO;469;aspal;1123
0+000;0+100;sedang;2.9;CANDIMULYO;806;aspal;143
0+100;0+200;sedang;2.9;CANDIMULYO;806;aspal;144
0+200;0+300;sedang;2.9;CANDIMULYO;806;aspal;145
0+300;0+400;sedang;2.6;CANDIMULYO;806;aspal;146
0+400;0+500;sedang;2.5;CANDIMULYO;806;aspal;147
0+500;0+600;sedang;3;CANDIMULYO;806;beton;148
0+600;0+700;baik;3;CANDIMULYO;806;beton;149
0+700;0+800;baik;3;CANDIMULYO;806;beton;150
0+800;0+805;baik;3;CANDIMULYO;806;beton;151
0+000;0+100;baik;3.5;DARMOREJO;496;aspal;839
0+100;0+200;baik;3.5;DARMOREJO;496;aspal;840
0+200;0+300;baik;3.5;DARMOREJO;496;aspal;841
0+300;0+400;baik;3.5;DARMOREJO;496;aspal;838
0+400;0+495;baik;3.5;DARMOREJO;496;aspal;842
0+000;0+100;sedang;3.5;DAWUHAN;1770;aspal;820
0+100;0+200;sedang;3.5;DAWUHAN;1770;aspal;821
0+200;0+300;sedang;3.5;DAWUHAN;1770;aspal;822
0+300;0+400;RB;3.5;DAWUHAN;1770;aspal;823
0+400;0+500;RR;3.5;DAWUHAN;1770;aspal;824
0+500;0+600;RR;3.5;DAWUHAN;1770;beton;825
0+600;0+700;RR;3.5;DAWUHAN;1770;beton;826
0+700;0+800;RR;3.5;DAWUHAN;1770;beton;827
0+800;0+900;baik;3.5;DAWUHAN;1770;beton;828
0+900;1+000;baik;3.5;DAWUHAN;1770;beton;829
1+000;1+100;baik;3.5;DAWUHAN;1770;beton;830
1+100;1+200;RR;3.5;DAWUHAN;1770;beton;831
1+200;1+300;RR;3.5;DAWUHAN;1770;beton;832
1+300;1+400;RR;3.5;DAWUHAN;1770;beton;833
1+400;1+500;baik;3.5;DAWUHAN;1770;beton;834
1+500;1+600;RR;3.5;DAWUHAN;1770;beton;835
1+600;1+700;RR;3.5;DAWUHAN;1770;beton;836
1+700;1+769;RR;3.5;DAWUHAN;1770;beton;837
0+000;0+100;sedang;3.5;DEMPELAN;628;aspal;1380
0+100;0+200;sedang;3.5;DEMPELAN;628;aspal;1381
0+200;0+300;sedang;3.5;DEMPELAN;628;aspal;1382
0+300;0+400;baik;3.5;DEMPELAN;628;beton;1383
0+400;0+500;baik;3.5;DEMPELAN;628;beton;1384
0+500;0+600;baik;3.5;DEMPELAN;628;beton;1385
0+600;0+628;baik;3.5;DEMPELAN;628;beton;1386
0+000;0+100;baik;3.3;DOHO;1524;aspal;152
0+100;0+200;baik;3.3;DOHO;1524;aspal;153
0+200;0+300;baik;3.3;DOHO;1524;aspal;154
0+300;0+400;baik;3.3;DOHO;1524;aspal;155
0+400;0+500;baik;3.3;DOHO;1524;aspal;156
0+500;0+600;baik;3.3;DOHO;1524;aspal;157
0+600;0+700;baik;3.3;DOHO;1524;aspal;158
0+700;0+800;baik;3.3;DOHO;1524;aspal;159
0+800;0+900;sedang;3.3;DOHO;1524;aspal;160
0+900;1+000;sedang;3.3;DOHO;1524;aspal;161
1+000;1+100;sedang;3;DOHO;1524;aspal;162
1+100;1+200;sedang;3;DOHO;1524;aspal;163
1+200;1+300;sedang;3;DOHO;1524;aspal;164
1+300;1+400;sedang;2;DOHO;1524;aspal;165
1+400;1+500;sedang;2.2;DOHO;1524;aspal;166
1+500;1+524;sedang;2.3;DOHO;1524;aspal;167
0+000;0+100;baik;3.1;DOLOPO I;570;aspal;175
0+100;0+200;baik;3.1;DOLOPO I;570;aspal;176
0+200;0+300;baik;3.1;DOLOPO I;570;aspal;177
0+300;0+400;baik;3.1;DOLOPO I;570;aspal;178
0+400;0+500;baik;3.1;DOLOPO I;570;aspal;179
0+500;0+500;baik;3.1;DOLOPO I;570;aspal;180
0+000;0+100;sedang;2.6;DOLOPO II;635;aspal;192
0+100;0+200;RR;2.6;DOLOPO II;635;aspal;193
0+200;0+300;RR;2.6;DOLOPO II;635;aspal;194
0+300;0+400;RR;2.6;DOLOPO II;635;aspal;195
0+400;0+500;RR;2.8;DOLOPO II;635;aspal;196
0+500;0+600;sedang;3;DOLOPO II;635;aspal;197
0+600;0+634;sedang;3;DOLOPO II;635;aspal;198
0+000;0+100;RB;3.2;DUREN I;921;aspal;794
0+100;0+200;RB;3.2;DUREN I;921;aspal;795
0+200;0+300;RB;3.2;DUREN I;921;tanah;796
0+300;0+400;RB;3.2;DUREN I;921;aspal;797
0+400;0+500;RB;3.2;DUREN I;921;aspal;798
0+500;0+600;RB;3.2;DUREN I;921;aspal;799
0+600;0+700;RB;3.2;DUREN I;921;aspal;800
0+700;0+800;RB;3.2;DUREN I;921;aspal;801
0+800;0+900;RB;3.2;DUREN I;921;makadam;802
0+900;0+912;RB;3.2;DUREN I;921;makadam;803
0+000;0+100;RR;2.8;DUREN II;1599;beton;804
0+100;0+200;RB;2.8;DUREN II;1599;beton;805
0+200;0+300;RB;2.8;DUREN II;1599;beton;806
0+300;0+400;RR;2.8;DUREN II;1599;beton;807
0+400;0+500;RB;2.8;DUREN II;1599;beton;808
0+500;0+600;RB;2.8;DUREN II;1599;makadam;809
0+600;0+700;RB;2.8;DUREN II;1599;makadam;810
0+700;0+800;RB;2.8;DUREN II;1599;makadam;811
0+800;0+900;RR;3;DUREN II;1599;beton;812
0+900;1+000;RR;3;DUREN II;1599;beton;813
1+000;1+100;RR;3;DUREN II;1599;beton;814
1+100;1+200;RB;3;DUREN II;1599;makadam;815
1+200;1+300;RB;3;DUREN II;1599;makadam;816
1+300;1+400;RR;3;DUREN II;1599;beton;817
1+400;1+500;RR;3;DUREN II;1599;beton;818
1+500;1+599;RR;3;DUREN II;1599;beton;819
0+000;0+100;RB;2.8;DURENAN I;1725;aspal;478
0+100;0+200;RB;2.8;DURENAN I;1725;aspal;479
0+200;0+300;RB;2.8;DURENAN I;1725;tanah;480
0+300;0+400;RB;2.8;DURENAN I;1725;aspal;481
0+400;0+500;RB;2.8;DURENAN I;1725;aspal;482
0+500;0+600;RB;2.8;DURENAN I;1725;aspal;483
0+600;0+700;RB;2.8;DURENAN I;1725;aspal;484
0+700;0+800;RB;2.8;DURENAN I;1725;aspal;485
0+800;0+900;RB;2.8;DURENAN I;1725;makadam;486
0+900;1+000;RB;2.8;DURENAN I;1725;makadam;487
1+000;1+100;RB;2.8;DURENAN I;1725;makadam;488
1+100;1+200;RB;2.8;DURENAN I;1725;makadam;489
1+200;1+300;RB;2.8;DURENAN I;1725;makadam;490
1+300;1+400;RB;2.8;DURENAN I;1725;makadam;491
1+400;1+500;RB;2.8;DURENAN I;1725;makadam;492
1+500;1+600;RB;2.8;DURENAN I;1725;makadam;493
1+600;1+700;RB;2.8;DURENAN I;1725;makadam;494
1+700;1+724;RB;2.8;DURENAN I;1725;makadam;495
0+000;0+100;RB;3;DURENAN II;1439;makadam;496
0+100;0+200;RB;3;DURENAN II;1439;makadam;497
0+200;0+300;RB;3;DURENAN II;1439;makadam;498
0+300;0+400;RB;3;DURENAN II;1439;makadam;499
0+400;0+500;RB;3;DURENAN II;1439;makadam;500
0+500;0+600;RB;3;DURENAN II;1439;makadam;501
0+600;0+700;RB;3;DURENAN II;1439;makadam;502
0+700;0+800;RB;3;DURENAN II;1439;makadam;503
0+800;0+900;RB;3;DURENAN II;1439;makadam;504
0+900;1+000;RB;3;DURENAN II;1439;makadam;505
1+000;1+100;RB;3;DURENAN II;1439;beton;506
1+100;1+200;RB;3;DURENAN II;1439;beton;507
1+200;1+300;RB;3;DURENAN II;1439;beton;508
1+300;1+400;RB;3;DURENAN II;1439;beton;509
1+400;1+438;RB;3;DURENAN II;1439;beton;510
0+000;0+100;sedang;3.5;GADING;1832;aspal;1124
0+100;0+200;RR;3.5;GADING;1832;aspal;1125
0+200;0+300;RR;3.5;GADING;1832;aspal;1126
0+300;0+400;sedang;3.5;GADING;1832;aspal;1127
0+400;0+500;sedang;3.5;GADING;1832;aspal;1128
0+500;0+600;sedang;3.5;GADING;1832;aspal;1129
0+600;0+700;sedang;3.5;GADING;1832;aspal;1130
0+700;0+800;sedang;3.5;GADING;1832;aspal;1131
0+800;0+900;sedang;3.5;GADING;1832;aspal;1132
0+900;1+000;RR;3.5;GADING;1832;aspal;1133
1+000;1+100;RR;3.5;GADING;1832;aspal;1134
1+100;1+200;sedang;3.5;GADING;1832;aspal;1135
1+200;1+300;sedang;3.5;GADING;1832;aspal;1136
1+300;1+400;sedang;3.5;GADING;1832;aspal;1137
1+400;1+500;sedang;3.5;GADING;1832;aspal;1138
1+500;1+600;sedang;3.5;GADING;1832;aspal;1139
1+600;1+700;sedang;3.5;GADING;1832;aspal;1140
1+700;1+800;sedang;3.5;GADING;1832;aspal;1141
1+800;1+831;sedang;3.5;GADING;1832;aspal;1142
0+000;0+100;RR;4;GANDUL;1990;lapen;774
0+100;0+200;RB;4;GANDUL;1990;lapen;775
0+200;0+300;RB;4;GANDUL;1990;lapen;776
0+300;0+400;RB;4;GANDUL;1990;lapen;777
0+400;0+500;RR;4;GANDUL;1990;lapen;778
0+500;0+600;RR;4;GANDUL;1990;lapen;779
0+600;0+700;RR;3.6;GANDUL;1990;lapen;780
0+700;0+800;RB;3.8;GANDUL;1990;lapen;781
0+800;0+900;sedang;4;GANDUL;1990;aspal;782
0+900;1+000;sedang;4;GANDUL;1990;aspal;783
1+000;1+100;sedang;4;GANDUL;1990;aspal;784
1+100;1+200;sedang;4;GANDUL;1990;aspal;785
1+200;1+300;RR;4;GANDUL;1990;lapen;786
1+300;1+400;RB;4;GANDUL;1990;lapen;787
1+400;1+500;RB;4;GANDUL;1990;lapen;788
1+500;1+600;RR;4;GANDUL;1990;lapen;789
1+600;1+700;sedang;4;GANDUL;1990;lapen;790
1+700;1+800;sedang;4;GANDUL;1990;lapen;791
1+800;1+900;sedang;4;GANDUL;1990;lapen;792
1+900;1+989;RB;4;GANDUL;1990;tanah;793
0+000;0+100;RR;4;GARON;1530;aspal;1165
0+100;0+200;RR;4;GARON;1530;aspal;1166
0+200;0+300;RR;4;GARON;1530;aspal;1167
0+300;0+400;RR;4;GARON;1530;aspal;1168
0+400;0+500;RR;4;GARON;1530;aspal;1169
0+500;0+600;RR;4;GARON;1530;beton;1170
0+600;0+700;RR;4;GARON;1530;beton;1171
0+700;0+800;RR;4;GARON;1530;beton;1172
0+800;0+900;RR;4;GARON;1530;beton;1173
0+900;1+000;RR;4;GARON;1530;aspal;1174
1+000;1+100;RR;4;GARON;1530;aspal;1175
1+100;1+200;RR;4;GARON;1530;aspal;1176
1+200;1+300;RR;3;GARON;1530;aspal;1177
1+300;1+400;RB;3.5;GARON;1530;aspal;1178
1+400;1+500;RB;3.5;GARON;1530;aspal;1179
1+500;1+530;RB;3.5;GARON;1530;aspal;1180
0+000;0+100;RR;3.3;GEGER;785;aspal;1157
0+100;0+200;RR;3.3;GEGER;785;aspal;1158
0+200;0+300;RR;3.3;GEGER;785;aspal;1159
0+300;0+400;RR;3.3;GEGER;785;aspal;1160
0+400;0+500;RR;3.3;GEGER;785;aspal;1161
0+500;0+600;RR;3.3;GEGER;785;aspal;1162
0+600;0+700;RR;3.3;GEGER;785;aspal;1163
0+700;0+784;RR;3.3;GEGER;785;aspal;1164
0+000;0+100;RR;3.5;GROBOGAN;752;aspal;22
0+100;0+200;RR;3.5;GROBOGAN;752;aspal;23
0+200;0+300;RR;3.5;GROBOGAN;752;beton;24
0+300;0+400;RR;3.5;GROBOGAN;752;beton;25
0+400;0+500;baik;3.5;GROBOGAN;752;beton;26
0+500;0+600;baik;3.5;GROBOGAN;752;beton;27
0+600;0+700;baik;3.5;GROBOGAN;752;beton;28
0+700;0+751;baik;3.5;GROBOGAN;752;beton;29
0+000;0+100;RB;3;JERUK GULUNG;1207;tanah;1181
0+100;0+200;RB;3;JERUK GULUNG;1207;tanah;1182
0+200;0+300;RB;3;JERUK GULUNG;1207;tanah;1183
0+300;0+400;RB;3;JERUK GULUNG;1207;tanah;1184
0+400;0+500;RB;3;JERUK GULUNG;1207;tanah;1185
0+500;0+600;RB;3;JERUK GULUNG;1207;tanah;1186
0+600;0+700;RB;3;JERUK GULUNG;1207;tanah;1187
0+700;0+800;RB;3;JERUK GULUNG;1207;tanah;1188
0+800;0+900;RB;3;JERUK GULUNG;1207;tanah;1189
0+900;1+000;RB;3;JERUK GULUNG;1207;tanah;1190
1+000;1+100;RB;3;JERUK GULUNG;1207;tanah;1191
1+100;1+200;RB;3;JERUK GULUNG;1207;tanah;1192
1+200;1+200;RB;3;JERUK GULUNG;1207;tanah;1193
0+000;0+100;baik;4;JOGODAYUH;1744;aspal;89
0+100;0+200;baik;4;JOGODAYUH;1744;aspal;90
0+200;0+300;baik;4;JOGODAYUH;1744;aspal;91
0+300;0+400;baik;4;JOGODAYUH;1744;aspal;92
0+400;0+500;baik;4;JOGODAYUH;1744;aspal;93
0+500;0+600;baik;4;JOGODAYUH;1744;aspal;94
0+600;0+700;baik;4;JOGODAYUH;1744;aspal;95
0+700;0+800;baik;4;JOGODAYUH;1744;aspal;96
0+800;0+900;baik;4;JOGODAYUH;1744;aspal;97
0+900;1+000;baik;4;JOGODAYUH;1744;aspal;98
1+000;1+100;baik;4;JOGODAYUH;1744;aspal;99
1+100;1+200;baik;4;JOGODAYUH;1744;aspal;100
1+200;1+300;baik;4;JOGODAYUH;1744;aspal;101
1+300;1+400;baik;4;JOGODAYUH;1744;aspal;102
1+400;1+500;baik;4;JOGODAYUH;1744;aspal;103
1+500;1+600;baik;4;JOGODAYUH;1744;aspal;104
1+600;1+700;baik;4;JOGODAYUH;1744;aspal;105
1+700;1+743;baik;4;JOGODAYUH;1744;aspal;106
0+000;0+100;baik;3;JOHO;1571;aspal;288
0+100;0+200;baik;3;JOHO;1571;aspal;289
0+200;0+300;baik;3;JOHO;1571;aspal;290
0+300;0+400;baik;3;JOHO;1571;aspal;291
0+400;0+500;baik;3;JOHO;1571;aspal;292
0+500;0+600;baik;3;JOHO;1571;aspal;293
0+600;0+700;RR;3;JOHO;1571;aspal;294
0+700;0+800;baik;3;JOHO;1571;aspal;295
0+800;0+900;baik;3;JOHO;1571;aspal;296
0+900;1+000;baik;3;JOHO;1571;aspal;297
1+000;1+100;baik;3;JOHO;1571;aspal;298
1+100;1+200;baik;3;JOHO;1571;aspal;299
1+200;1+300;baik;3;JOHO;1571;aspal;300
1+300;1+400;baik;3;JOHO;1571;aspal;301
1+400;1+500;baik;3;JOHO;1571;aspal;302
1+500;1+570;baik;3;JOHO;1571;aspal;303
0+000;0+100;sedang;4;KAJANG;493;aspal;18
0+100;0+200;sedang;4;KAJANG;493;aspal;19
0+200;0+300;sedang;4;KAJANG;493;aspal;20
0+300;0+400;sedang;4;KAJANG;493;aspal;17
0+400;0+400;sedang;4;KAJANG;493;aspal;21
0+000;0+100;RR;4;KALIABU;1165;aspal;859
0+100;0+200;RB;4;KALIABU;1165;aspal;860
0+200;0+300;RB;4;KALIABU;1165;aspal;861
0+300;0+400;RB;4;KALIABU;1165;aspal;862
0+400;0+500;RR;4;KALIABU;1165;beton;863
0+500;0+600;RR;4;KALIABU;1165;beton;864
0+600;0+700;RR;4;KALIABU;1165;beton;865
