STA_AWAL;STA_AKHIR;Panjang;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA;No
0+200;0+300;400,35;Jl. Tani Jaya;sedang;aspal;3;490
0+300;0+400;400,35;Jl. Tani Jaya;sedang;aspal;3;487
0+400;0+400;400,35;Jl. Tani Jaya;sedang;aspal;3;491
0+000;0+100;348,56;Jl. Tani Maju;baik;aspal;3;493
0+100;0+200;348,56;Jl. Tani Maju;baik;aspal;3;494
0+200;0+300;348,56;Jl. Tani Maju;baik;aspal;3;492
0+300;0+348;348,56;Jl. Tani Maju;baik;aspal;3;495
0+000;0+100;578,93;Jl. Tani Murni;baik;beton;3;497
0+100;0+200;578,93;Jl. Tani Murni;baik;beton;3;498
0+200;0+300;578,93;Jl. Tani Murni;baik;beton;3;499
0+300;0+400;578,93;Jl. Tani Murni;baik;beton;3;500
0+400;0+500;578,93;Jl. Tani Murni;baik;aspal;3;496
0+500;0+578;578,93;Jl. Tani Murni;baik;beton;3;501
0+000;0+100;763,48;Jl. Tani Unggul;baik;aspal;3;503
0+100;0+200;763,48;Jl. Tani Unggul;baik;aspal;3;504
0+200;0+300;763,48;Jl. Tani Unggul;baik;aspal;3;505
0+300;0+400;763,48;Jl. Tani Unggul;baik;aspal;3;506
0+400;0+500;763,48;Jl. Tani Unggul;baik;aspal;3;507
0+500;0+600;763,48;Jl. Tani Unggul;sedang;aspal;3;508
0+600;0+700;763,48;Jl. Tani Unggul;baik;aspal;3;502
0+700;0+763;763,48;Jl. Tani Unggul;baik;aspal;3;509
0+000;0+100;159,94;Jl. Tomat;sedang;beton;3;510
0+100;0+159;159,94;Jl. Tomat;sedang;beton;3;511
0+000;0+100;138,72;Jl. Werkudoro;baik;beton;3;512
0+100;0+138;138,72;Jl. Werkudoro;baik;beton;3;513
0+000;0+100;341,85;Jl. Wijaya;baik;aspal;3;515
0+100;0+200;341,85;Jl. Wijaya;baik;aspal;3;516
0+200;0+300;341,85;Jl. Wijaya;baik;aspal;3;514
0+300;0+341;341,85;Jl. Wijaya;baik;aspal;3;517
0+000;0+054;54,64;Jl. Wiroto;sedang;beton;2;518
0+000;0+095;95,88;Jl. Wiroto II;sedang;beton;2;519
0+000;0+100;1500,53;Jl.Antarejo;RR;beton;3;521
0+100;0+200;1500,53;Jl.Antarejo;RB;beton;3;522
0+200;0+300;1500,53;Jl.Antarejo;RB;makadam;3;523
0+300;0+400;1500,53;Jl.Antarejo;RB;makadam;3;524
0+400;0+500;1500,53;Jl.Antarejo;RB;makadam;3;525
0+500;0+600;1500,53;Jl.Antarejo;RB;makadam;3;526
0+600;0+700;1500,53;Jl.Antarejo;RB;makadam;3;527
0+700;0+800;1500,53;Jl.Antarejo;RB;makadam;3;528
0+800;0+900;1500,53;Jl.Antarejo;RB;makadam;3;529
0+900;1+000;1500,53;Jl.Antarejo;baik;beton;3;530
1+000;1+100;1500,53;Jl.Antarejo;baik;beton;3;531
1+100;1+200;1500,53;Jl.Antarejo;baik;beton;3;532
1+200;1+300;1500,53;Jl.Antarejo;baik;beton;3;533
1+300;1+400;1500,53;Jl.Antarejo;baik;beton;3;534
1+400;1+500;1500,53;Jl.Antarejo;baik;beton;3;520
1+500;1+500;1500,53;Jl.Antarejo;baik;beton;3;535
0+000;0+100;329,92;Jl.Chery;sedang;beton;3;537
0+100;0+200;329,92;Jl.Chery;baik;beton;3;538
0+200;0+300;329,92;Jl.Chery;baik;beton;3;536
0+300;0+329;329,92;Jl.Chery;baik;beton;3;539
0+000;0+100;206,80;Jl.Gang Asem 1;baik;beton;2;541
0+100;0+200;206,80;Jl.Gang Asem 1;baik;beton;2;540
0+200;0+206;206,80;Jl.Gang Asem 1;baik;beton;2;542
0+000;0+100;198,01;Jl.Gang Gatot Kaca 1;sedang;beton;2;543
0+100;0+198;198,01;Jl.Gang Gatot Kaca 1;sedang;beton;2;544
0+000;0+100;117,69;Jl.Gang Gatot Kaca 2;sedang;beton;2;545
0+100;0+117;117,69;Jl.Gang Gatot Kaca 2;sedang;beton;2;546
0+000;0+100;102,35;Jl.Gang Gatot Kaca 3;sedang;beton;2;547
0+100;0+102;102,35;Jl.Gang Gatot Kaca 3;sedang;beton;2;548
0+000;0+100;128,72;Jl.Gg pisang (RT.3,4 RW.1);sedang;aspal;3;549
0+100;0+128;128,72;Jl.Gg pisang (RT.3,4 RW.1);sedang;aspal;3;550
0+000;0+100;127,55;Jl.Gg. Kertorejan;baik;beton;2;551
0+100;0+127;127,55;Jl.Gg. Kertorejan;baik;beton;2;552
0+000;0+096;96,78;Jl.Gg. Timur Kecamatan;baik;beton;3;553
0+000;0+100;1085,94;Jl.Sentiaki;baik;beton;3;555
0+100;0+200;1085,94;Jl.Sentiaki;baik;beton;3;556
0+200;0+300;1085,94;Jl.Sentiaki;baik;beton;3;557
0+300;0+400;1085,94;Jl.Sentiaki;baik;beton;3;558
0+400;0+500;1085,94;Jl.Sentiaki;baik;beton;3;559
0+500;0+600;1085,94;Jl.Sentiaki;baik;beton;3;560
0+600;0+700;1085,94;Jl.Sentiaki;baik;beton;3;561
0+700;0+800;1085,94;Jl.Sentiaki;baik;beton;3;562
0+800;0+900;1085,94;Jl.Sentiaki;baik;beton;3;563
0+900;1+000;1085,94;Jl.Sentiaki;baik;beton;3;554
1+000;1+085;1085,94;Jl.Sentiaki;baik;beton;3;564
