Panjang;STA_AWAL;STA_AKHIR;No;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA
599,56;0+500;0+599;181;4032 - JL. SINGOLUDRO II;baik;aspal;5
834,24;0+000;0+100;183;4033 - JL. BOGO;sedang;aspal;3
834,24;0+100;0+200;184;4033 - JL. BOGO;sedang;aspal;3
834,24;0+200;0+300;185;4033 - JL. BOGO;RR;aspal;3
834,24;0+300;0+400;186;4033 - JL. BOGO;sedang;aspal;3
834,24;0+400;0+500;187;4033 - JL. BOGO;RR;aspal;3
834,24;0+500;0+600;188;4033 - JL. BOGO;RR;aspal;3
834,24;0+600;0+700;189;4033 - JL. BOGO;RR;aspal;3
834,24;0+700;0+800;182;4033 - JL. BOGO;RR;aspal;3
834,24;0+800;0+834;190;4033 - JL. BOGO;RR;aspal;3
386,53;0+000;0+100;192;4034 - JL. BOGO II;sedang;aspal;3
386,53;0+100;0+200;193;4034 - JL. BOGO II;RR;aspal;3
386,53;0+200;0+300;191;4034 - JL. BOGO II;RR;aspal;3
386,53;0+300;0+386;194;4034 - JL. BOGO II;sedang;aspal;3
565,33;0+000;0+100;196;4035 - JL. KAMBOJA;baik;aspal;3
565,33;0+100;0+200;197;4035 - JL. KAMBOJA;sedang;aspal;3
565,33;0+200;0+300;198;4035 - JL. KAMBOJA;sedang;aspal;3
565,33;0+300;0+400;199;4035 - JL. KAMBOJA;sedang;aspal;3
565,33;0+400;0+500;195;4035 - JL. KAMBOJA;sedang;aspal;3
565,33;0+500;0+565;200;4035 - JL. KAMBOJA;sedang;aspal;3
492,11;0+000;0+100;202;4036 - JL. SRIGADING;sedang;aspal;3
492,11;0+100;0+200;203;4036 - JL. SRIGADING;sedang;aspal;3
492,11;0+200;0+300;204;4036 - JL. SRIGADING;sedang;aspal;3
492,11;0+300;0+400;201;4036 - JL. SRIGADING;RR;aspal;3
492,11;0+400;0+492;205;4036 - JL. SRIGADING;RR;aspal;3
172,51;0+000;0+100;207;4037 - JL. MELATI I;baik;beton;3
172,51;0+100;0+172;206;4037 - JL. MELATI I;baik;beton;3
263,20;0+000;0+100;209;4038 - JL. MELATI II;baik;beton;3
263,20;0+100;0+200;208;4038 - JL. MELATI II;baik;beton;3
263,20;0+200;0+263;210;4038 - JL. MELATI II;baik;beton;3
2048,21;0+000;0+100;212;4039 - JL. KUNTO;sedang;aspal;3
2048,21;0+100;0+200;213;4039 - JL. KUNTO;baik;aspal;3
2048,21;0+200;0+300;214;4039 - JL. KUNTO;sedang;aspal;3
2048,21;0+300;0+400;215;4039 - JL. KUNTO;sedang;aspal;3
2048,21;0+400;0+500;216;4039 - JL. KUNTO;sedang;aspal;3
2048,21;0+500;0+600;217;4039 - JL. KUNTO;sedang;aspal;3
2048,21;0+600;0+700;218;4039 - JL. KUNTO;baik;aspal;3
2048,21;0+700;0+800;219;4039 - JL. KUNTO;baik;aspal;3
2048,21;0+800;0+900;220;4039 - JL. KUNTO;baik;aspal;3
2048,21;0+900;1+000;221;4039 - JL. KUNTO;sedang;aspal;3
2048,21;1+000;1+100;222;4039 - JL. KUNTO;sedang;aspal;3
2048,21;1+100;1+200;223;4039 - JL. KUNTO;sedang;aspal;3
2048,21;1+200;1+300;224;4039 - JL. KUNTO;sedang;aspal;3
2048,21;1+300;1+400;225;4039 - JL. KUNTO;sedang;aspal;3
2048,21;1+400;1+500;226;4039 - JL. KUNTO;sedang;aspal;3
2048,21;1+500;1+600;227;4039 - JL. KUNTO;baik;aspal;3
2048,21;1+600;1+700;228;4039 - JL. KUNTO;baik;aspal;3
2048,21;1+700;1+800;229;4039 - JL. KUNTO;baik;aspal;3
2048,21;1+800;1+900;230;4039 - JL. KUNTO;baik;aspal;3
2048,21;1+900;2+000;211;4039 - JL. KUNTO;baik;aspal;3
2048,21;2+000;2+048;231;4039 - JL. KUNTO;baik;aspal;3
199,60;0+000;0+100;233;4040 - JL. YOS SUDARSO;baik;aspal;7
199,60;0+100;0+199;232;4040 - JL. YOS SUDARSO;baik;aspal;7
481,86;0+000;0+100;235;4041 - JL. PRAMBANAN;baik;aspal;6
481,86;0+100;0+200;236;4041 - JL. PRAMBANAN;baik;aspal;6
481,86;0+200;0+300;237;4041 - JL. PRAMBANAN;baik;aspal;6
481,86;0+300;0+400;234;4041 - JL. PRAMBANAN;sedang;aspal;6
481,86;0+400;0+481;238;4041 - JL. PRAMBANAN;baik;aspal;6
474,23;0+000;0+100;240;4042 - JL. BOROBUDUR;baik;aspal;5
474,23;0+100;0+200;241;4042 - JL. BOROBUDUR;baik;aspal;5
474,23;0+200;0+300;242;4042 - JL. BOROBUDUR;baik;aspal;5
474,23;0+300;0+400;239;4042 - JL. BOROBUDUR;baik;aspal;5
474,23;0+400;0+474;243;4042 - JL. BOROBUDUR;baik;aspal;5
465,17;0+000;0+100;245;4043 - JL. KALASAN;baik;aspal;6
465,17;0+100;0+200;246;4043 - JL. KALASAN;baik;aspal;6
465,17;0+200;0+300;247;4043 - JL. KALASAN;baik;aspal;6
465,17;0+300;0+400;244;4043 - JL. KALASAN;sedang;aspal;6
465,17;0+400;0+465;248;4043 - JL. KALASAN;baik;aspal;6
218,27;0+000;0+100;250;4044 - JL. MENDUT;baik;aspal;5
218,27;0+100;0+200;249;4044 - JL. MENDUT;baik;aspal;6
218,27;0+200;0+218;251;4044 - JL. MENDUT;baik;aspal;6
292,62;0+000;0+100;253;4045 - JL. SALAK;baik;aspal;8
292,62;0+100;0+200;252;4045 - JL. SALAK;baik;aspal;8
292,62;0+200;0+292;254;4045 - JL. SALAK;baik;aspal;8
228,71;0+000;0+100;256;4046 - JL. MANGGA;baik;aspal;4
228,71;0+100;0+200;255;4046 - JL. MANGGA;baik;aspal;4
228,71;0+200;0+228;257;4046 - JL. MANGGA;baik;aspal;4
187,56;0+000;0+100;259;4047 - JL. SAWO;baik;aspal;4
187,56;0+100;0+187;258;4047 - JL. SAWO;sedang;aspal;4
240,62;0+000;0+100;261;4048 - JL. STASIUN TIMUR;sedang;aspal;6
240,62;0+100;0+200;260;4048 - JL. STASIUN TIMUR;baik;aspal;6
240,62;0+200;0+240;262;4048 - JL. STASIUN TIMUR;sedang;aspal;6
353,56;0+000;0+100;264;4049 - JL. SEMANGKA;baik;aspal;2
353,56;0+100;0+200;265;4049 - JL. SEMANGKA;sedang;aspal;2
353,56;0+200;0+300;263;4049 - JL. SEMANGKA;sedang;aspal;2
353,56;0+300;0+353;266;4049 - JL. SEMANGKA;sedang;aspal;2
196,63;0+000;0+100;268;4050 - JL. KESEMEK;baik;beton;5
196,63;0+100;0+196;267;4050 - JL. KESEMEK;baik;beton;5
252,73;0+000;0+100;270;4051 - JL. ANGGUR;baik;aspal;3
252,73;0+100;0+200;269;4051 - JL. ANGGUR;baik;aspal;3
252,73;0+200;0+252;271;4051 - JL. ANGGUR;RR;aspal;3
260,88;0+000;0+100;273;4052 - JL. MANGGIS;baik;aspal;3
260,88;0+100;0+200;272;4052 - JL. MANGGIS;sedang;aspal;3
260,88;0+200;0+260;274;4052 - JL. MANGGIS;sedang;aspal;3
145,74;0+000;0+100;276;4053 - JL. MELON;sedang;aspal;3
145,74;0+100;0+145;275;4053 - JL. MELON;sedang;aspal;3
145,69;0+000;0+100;278;4054 - JL. SIRSAK;RB;aspal;3
145,69;0+100;0+145;277;4054 - JL. SIRSAK;RB;aspal;3
281,68;0+000;0+100;280;4055 - JL. RAMBUTAN;baik;aspal;4
281,68;0+100;0+200;279;4055 - JL. RAMBUTAN;baik;aspal;4
281,68;0+200;0+281;281;4055 - JL. RAMBUTAN;baik;aspal;4
361,35;0+000;0+100;283;4056 - JL. JAMBU;sedang;aspal;3
361,35;0+100;0+200;284;4056 - JL. JAMBU;baik;aspal;3
361,35;0+200;0+300;282;4056 - JL. JAMBU;baik;aspal;3
361,35;0+300;0+361;285;4056 - JL. JAMBU;baik;aspal;3
876,84;0+000;0+100;287;4057 - JL. BISMO;baik;aspal;6
876,84;0+100;0+200;288;4057 - JL. BISMO;baik;aspal;6
876,84;0+200;0+300;289;4057 - JL. BISMO;baik;aspal;6
876,84;0+300;0+400;290;4057 - JL. BISMO;baik;aspal;6
876,84;0+400;0+500;291;4057 - JL. BISMO;baik;aspal;6
876,84;0+500;0+600;292;4057 - JL. BISMO;baik;aspal;6
876,84;0+600;0+700;293;4057 - JL. BISMO;baik;aspal;6
876,84;0+700;0+800;286;4057 - JL. BISMO;baik;aspal;6
876,84;0+800;0+876;294;4057 - JL. BISMO;baik;aspal;6
782,62;0+000;0+100;296;4058 - JL. PARIKESIT;RR;aspal;5
782,62;0+100;0+200;297;4058 - JL. PARIKESIT;baik;aspal;4
782,62;0+200;0+300;298;4058 - JL. PARIKESIT;baik;aspal;4
782,62;0+300;0+400;299;4058 - JL. PARIKESIT;RR;aspal;4
782,62;0+400;0+500;300;4058 - JL. PARIKESIT;RR;aspal;3
782,62;0+500;0+600;301;4058 - JL. PARIKESIT;RR;aspal;3
782,62;0+600;0+700;295;4058 - JL. PARIKESIT;RR;aspal;3
782,62;0+700;0+782;302;4058 - JL. PARIKESIT;RR;aspal;3
371,68;0+000;0+100;304;4059 - JL. BOLODEWO;RR;aspal;4
371,68;0+100;0+200;305;4059 - JL. BOLODEWO;RR;aspal;4
371,68;0+200;0+300;303;4059 - JL. BOLODEWO;RR;aspal;4
371,68;0+300;0+371;306;4059 - JL. BOLODEWO;RR;aspal;4
457,15;0+000;0+100;308;4060 - JL. KRESNA;baik;aspal;4
457,15;0+100;0+200;309;4060 - JL. KRESNA;sedang;aspal;4
457,15;0+200;0+300;310;4060 - JL. KRESNA;sedang;aspal;4
457,15;0+300;0+400;307;4060 - JL. KRESNA;sedang;aspal;4
457,15;0+400;0+457;311;4060 - JL. KRESNA;sedang;aspal;4
609,96;0+000;0+100;313;4061 - JL. MARKISA RAJA;sedang;aspal;3
609,96;0+100;0+200;314;4061 - JL. MARKISA RAJA;sedang;aspal;3
609,96;0+200;0+300;315;4061 - JL. MARKISA RAJA;sedang;aspal;3
609,96;0+300;0+400;316;4061 - JL. MARKISA RAJA;RR;aspal;3
609,96;0+400;0+500;317;4061 - JL. MARKISA RAJA;sedang;aspal;3
609,96;0+500;0+600;312;4061 - JL. MARKISA RAJA;RB;beton;3
609,96;0+600;0+609;318;4061 - JL. MARKISA RAJA;RB;tanah;3
212,60;0+000;0+100;320;4062 - JL. APEL RAJA;RB;beton;2
212,60;0+100;0+200;319;4062 - JL. APEL RAJA;RB;beton;2
212,60;0+200;0+212;321;4062 - JL. APEL RAJA;RB;beton;2
211,57;0+000;0+100;323;4063 - JL. PEPAYA RAJA;RB;beton;2
211,57;0+100;0+200;322;4063 - JL. PEPAYA RAJA;RB;beton;2
211,57;0+200;0+211;324;4063 - JL. PEPAYA RAJA;RB;tanah;5
1026,70;0+000;0+100;325;4064 - JL. CAKRANINGRAT;RB;makadam;3
1026,70;0+100;0+200;326;4064 - JL. CAKRANINGRAT;RB;makadam;3
1026,70;0+200;0+300;327;4064 - JL. CAKRANINGRAT;RB;makadam;3
1026,70;0+300;0+400;328;4064 - JL. CAKRANINGRAT;RB;makadam;3
1026,70;0+400;0+500;329;4064 - JL. CAKRANINGRAT;RB;makadam;3
1026,70;0+500;0+600;330;4064 - JL. CAKRANINGRAT;RB;makadam;4
1026,70;0+600;0+700;331;4064 - JL. CAKRANINGRAT;RB;makadam;4
1026,70;0+700;0+800;332;4064 - JL. CAKRANINGRAT;RB;makadam;4
1026,70;0+800;0+900;333;4064 - JL. CAKRANINGRAT;RB;makadam;4
1026,70;0+900;1+000;334;4064 - JL. CAKRANINGRAT;RB;makadam;4
1026,70;1+000;1+026;335;4064 - JL. CAKRANINGRAT;RB;makadam;4
176,87;0+000;0+100;337;4065 - JL. SAWO RAJA;baik;aspal;3
176,87;0+100;0+176;336;4065 - JL. SAWO RAJA;baik;aspal;3
576,29;0+000;0+100;338;4066 - JL. MERPATI (BALEREJO);RB;makadam;3
576,29;0+100;0+200;339;4066 - JL. MERPATI (BALEREJO);RB;makadam;3
576,29;0+200;0+300;340;4066 - JL. MERPATI (BALEREJO);RB;makadam;3
576,29;0+300;0+400;341;4066 - JL. MERPATI (BALEREJO);RB;makadam;3
576,29;0+400;0+500;342;4066 - JL. MERPATI (BALEREJO);RB;makadam;3
576,29;0+500;0+576;343;4066 - JL. MERPATI (BALEREJO);RB;makadam;3
980,39;0+000;0+100;345;4067 - JL. KAKAK TUA;RR;aspal;3
980,39;0+100;0+200;346;4067 - JL. KAKAK TUA;RB;aspal;3
980,39;0+200;0+300;347;4067 - JL. KAKAK TUA;RR;aspal;3
980,39;0+300;0+400;348;4067 - JL. KAKAK TUA;RR;aspal;3
980,39;0+400;0+500;349;4067 - JL. KAKAK TUA;RR;aspal;3
980,39;0+500;0+600;350;4067 - JL. KAKAK TUA;RB;aspal;3
980,39;0+600;0+700;351;4067 - JL. KAKAK TUA;RR;aspal;3
980,39;0+700;0+800;352;4067 - JL. KAKAK TUA;RR;aspal;3
980,39;0+800;0+900;344;4067 - JL. KAKAK TUA;RR;aspal;3
980,39;0+900;0+980;353;4067 - JL. KAKAK TUA;RR;aspal;3
1278,61;0+000;0+100;355;4068 - JL. KARANGLO I;RB;tanah;3
1278,61;0+100;0+200;356;4068 - JL. KARANGLO I;RB;tanah;3
1278,61;0+200;0+300;357;4068 - JL. KARANGLO I;RB;tanah;3
1278,61;0+300;0+400;358;4068 - JL. KARANGLO I;RB;tanah;3
1278,61;0+400;0+500;359;4068 - JL. KARANGLO I;RB;tanah;3
1278,61;0+500;0+600;360;4068 - JL. KARANGLO I;RB;tanah;3
1278,61;0+600;0+700;361;4068 - JL. KARANGLO I;RB;tanah;3
