Name;Panjang;STA_AWAL;STA_AKHIR;Kondisi;Tipe_Perke;Lebar_STA
4239 - JL. MONTIKAN;1105,38157050000;0+200;0+300;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;0+300;0+400;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;0+400;0+500;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;0+500;0+600;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;0+600;0+700;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;0+700;0+800;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;0+800;0+900;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;0+900;1+000;RR;beton;6
4239 - JL. MONTIKAN;1105,38157050000;1+100;1+105;RR;beton;6
4240 - JL. DIPONEGORO;773,58497002300;0+000;0+100;RR;beton;6
4240 - JL. DIPONEGORO;773,58497002300;0+100;0+200;RR;beton;6
4240 - JL. DIPONEGORO;773,58497002300;0+200;0+300;RR;beton;6
4240 - JL. DIPONEGORO;773,58497002300;0+300;0+400;RR;beton;6
4240 - JL. DIPONEGORO;773,58497002300;0+400;0+500;RR;beton;6
4240 - JL. DIPONEGORO;773,58497002300;0+500;0+600;RR;beton;6
4240 - JL. DIPONEGORO;773,58497002300;0+700;0+773;RR;beton;6
4241 - JL. RADEN PATAH;315,44661654300;0+000;0+100;RR;beton;6
4241 - JL. RADEN PATAH;315,44661654300;0+100;0+200;RR;beton;6
4241 - JL. RADEN PATAH;315,44661654300;0+300;0+315;RR;beton;6
4242 - JL. K.H. MOJO I;413,39363302100;0+000;0+100;RR;beton;6
4242 - JL. K.H. MOJO I;413,39363302100;0+100;0+200;RR;beton;6
4242 - JL. K.H. MOJO I;413,39363302100;0+200;0+300;RR;beton;6
4242 - JL. K.H. MOJO I;413,39363302100;0+400;0+413;RR;beton;6
4243 - JL. K.H. MOJO II;270,69605066900;0+000;0+100;RR;beton;6
4243 - JL. K.H. MOJO II;270,69605066900;0+200;0+270;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+000;0+100;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+100;0+200;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+200;0+300;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+300;0+400;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+400;0+500;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+500;0+600;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+600;0+700;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+700;0+800;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+800;0+900;RR;beton;6
4244 - JL. AGUS SALIM;1497,33011671000;0+900;1+000;RR;beton;7
4244 - JL. AGUS SALIM;1497,33011671000;1+000;1+100;RR;beton;7
4244 - JL. AGUS SALIM;1497,33011671000;1+100;1+200;RR;beton;7
4244 - JL. AGUS SALIM;1497,33011671000;1+200;1+300;RR;beton;7
4244 - JL. AGUS SALIM;1497,33011671000;1+400;1+497;RR;beton;7
4245 - JL. MELATI;357,98665952100;0+000;0+100;RR;beton;7
4245 - JL. MELATI;357,98665952100;0+100;0+200;RR;beton;7
4245 - JL. MELATI;357,98665952100;0+300;0+357;RR;beton;7
4246 - JL. MENUR;613,40238051800;0+000;0+100;RR;beton;7
4246 - JL. MENUR;613,40238051800;0+100;0+200;RR;beton;7
4246 - JL. MENUR;613,40238051800;0+200;0+300;RR;beton;7
4246 - JL. MENUR;613,40238051800;0+300;0+400;RR;beton;7
4246 - JL. MENUR;613,40238051800;0+400;0+500;RR;beton;7
4246 - JL. MENUR;613,40238051800;0+600;0+613;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+000;0+100;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+100;0+200;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+200;0+300;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+300;0+400;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+400;0+500;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+500;0+600;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+600;0+700;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+700;0+800;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+800;0+900;RR;beton;7
4247 - JL. NOGO;1240,61743196000;0+900;1+000;RR;beton;7
4247 - JL. NOGO;1240,61743196000;1+000;1+100;RR;beton;7
4247 - JL. NOGO;1240,61743196000;1+200;1+240;RR;beton;7
4248 - JL. SAUR;782,66877475000;0+000;0+100;RR;beton;7
4248 - JL. SAUR;782,66877475000;0+100;0+200;RR;beton;7
4248 - JL. SAUR;782,66877475000;0+200;0+300;RR;beton;7
4248 - JL. SAUR;782,66877475000;0+300;0+400;RR;beton;7
4248 - JL. SAUR;782,66877475000;0+400;0+500;RR;beton;7
4248 - JL. SAUR;782,66877475000;0+500;0+600;RR;beton;7
4248 - JL. SAUR;782,66877475000;0+700;0+782;RR;beton;7
4301 - JL. SUMBERMORO;499,51708759100;0+000;0+100;RR;beton;7
4301 - JL. SUMBERMORO;499,51708759100;0+100;0+200;RR;beton;7
4301 - JL. SUMBERMORO;499,51708759100;0+200;0+300;RR;beton;7
4301 - JL. SUMBERMORO;499,51708759100;0+400;0+499;RR;beton;7
4302 - JL. SUMBERSAKTI;242,39656392800;0+000;0+100;RR;beton;7
4302 - JL. SUMBERSAKTI;242,39656392800;0+200;0+242;RR;beton;7
4303 - JL. KARYAWAN;383,00097081800;0+000;0+100;RR;beton;7
4303 - JL. KARYAWAN;383,00097081800;0+100;0+200;RR;beton;7
4303 - JL. KARYAWAN;383,00097081800;0+300;0+383;RR;beton;7
4304 - JL. SUMBER MAS;323,47411211600;0+000;0+100;RR;beton;7
4304 - JL. SUMBER MAS;323,47411211600;0+100;0+200;RR;beton;7
4304 - JL. SUMBER MAS;323,47411211600;0+300;0+323;RR;beton;7
4305 - JL. SENDANG BEJI;326,79403212500;0+000;0+100;RR;beton;7
4305 - JL. SENDANG BEJI;326,79403212500;0+100;0+200;RR;beton;7
4305 - JL. SENDANG BEJI;326,79403212500;0+300;0+326;RR;beton;7
4306 - JL. BRANJANGAN I/B;258,10697930000;0+000;0+100;RR;beton;7
4306 - JL. BRANJANGAN I/B;258,10697930000;0+200;0+258;RR;beton;7
4307 - JL. BRANJANGAN I;326,90905547000;0+000;0+100;RR;beton;7
4307 - JL. BRANJANGAN I;326,90905547000;0+100;0+200;RR;beton;7
4307 - JL. BRANJANGAN I;326,90905547000;0+300;0+326;RR;beton;7
4308 - JL. SETYA RUKUN;499,86503043400;0+000;0+100;RR;beton;7
4308 - JL. SETYA RUKUN;499,86503043400;0+100;0+200;RR;beton;7
4308 - JL. SETYA RUKUN;499,86503043400;0+200;0+300;RR;beton;7
4308 - JL. SETYA RUKUN;499,86503043400;0+400;0+499;RR;beton;7
4309 - JL. SERBA GUNA;187,76493032000;0+000;0+100;RR;beton;7
4310 - JL. EKA BHAKTI;736,05812977500;0+000;0+100;RR;beton;7
4310 - JL. EKA BHAKTI;736,05812977500;0+100;0+200;RR;beton;7
4310 - JL. EKA BHAKTI;736,05812977500;0+200;0+300;RR;beton;7
4310 - JL. EKA BHAKTI;736,05812977500;0+300;0+400;RR;beton;7
4310 - JL. EKA BHAKTI;736,05812977500;0+400;0+500;RR;beton;7
4310 - JL. EKA BHAKTI;736,05812977500;0+500;0+600;RR;beton;7
4310 - JL. EKA BHAKTI;736,05812977500;0+700;0+736;RR;beton;7
4311 - JL. SWAKARYA;317,36517683600;0+000;0+100;RR;beton;7
4311 - JL. SWAKARYA;317,36517683600;0+100;0+200;RR;beton;7
4311 - JL. SWAKARYA;317,36517683600;0+300;0+317;RR;beton;7
4312 - JL. SWANARDIPA;194,83354163100;0+000;0+100;RR;beton;7
4313 - JL. SWASEMBADA;263,43414567200;0+000;0+100;RR;beton;7
4313 - JL. SWASEMBADA;263,43414567200;0+200;0+263;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+000;0+100;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+100;0+200;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+200;0+300;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+300;0+400;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+400;0+500;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+500;0+600;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+600;0+700;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+700;0+800;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;0+800;0+900;RR;beton;7
4314 - JL. KANAL TIMUR;1094,12449977000;1+000;1+094;RR;beton;7
4315 - JL. SETYA DARMA;667,64032957900;0+000;0+100;RR;beton;7
4315 - JL. SETYA DARMA;667,64032957900;0+100;0+200;RR;beton;7
4315 - JL. SETYA DARMA;667,64032957900;0+200;0+300;RR;beton;7
4315 - JL. SETYA DARMA;667,64032957900;0+300;0+400;RR;beton;7
4315 - JL. SETYA DARMA;667,64032957900;0+400;0+500;RR;beton;7
4315 - JL. SETYA DARMA;667,64032957900;0+600;0+667;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+000;0+100;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+100;0+200;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+200;0+300;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+300;0+400;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+400;0+500;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+500;0+600;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+600;0+700;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+700;0+800;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+800;0+900;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;0+900;1+000;RR;beton;7
4064 - JL. CAKRANINGRAT;1026,70045281000;1+000;1+026;RR;beton;7
4070 - JL. WIBOWO;414,18724081800;0+300;0+400;RR;beton;7
4070 - JL. WIBOWO;414,18724081800;0+000;0+100;RR;beton;7
4070 - JL. WIBOWO;414,18724081800;0+100;0+200;RR;beton;7
4070 - JL. WIBOWO;414,18724081800;0+200;0+300;RR;beton;7
4070 - JL. WIBOWO;414,18724081800;0+400;0+414;RR;beton;7
4093 - JL. CEMPAKA I;62,05164132760;0+000;0+062;RR;beton;7
4066 - JL. MERPATI (BALEREJO);576,29479937600;0+000;0+100;RR;beton;7
4066 - JL. MERPATI (BALEREJO);576,29479937600;0+100;0+200;RR;beton;7
4066 - JL. MERPATI (BALEREJO);576,29479937600;0+200;0+300;RR;beton;7
4066 - JL. MERPATI (BALEREJO);576,29479937600;0+300;0+400;RR;beton;7
4066 - JL. MERPATI (BALEREJO);576,29479937600;0+400;0+500;RR;beton;7
4066 - JL. MERPATI (BALEREJO);576,29479937600;0+500;0+576;RR;beton;7
