id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
368,19.157.002,Jembatan Sumberejo III,Geger,3.6,6.45,1,Pelengkung dan Gorong-Gorong Kotak,7.71375,111.52525,2
369,19.157.003,Jembatan Sumberejo IV,Geger,4.3,7.3,1,Pelengkung dan Gelagar,7.71972,111.52331,2
370,19.158.001,Jembatan Banaran V,Kebonsari,12,6.45,1,Gelagar Komposit,7.73018,111.51027,2
371,19.158.002,Jembatan Krandegan I,Kebonsari,5.15,8.3,1,Plat dan Gelagar,7.73946,111.50915,2
372,19.159.001,Jembatan Kebonsari II,Kebonsari,10,6.3,1,Gelagar,7.7284,111.48625,2
373,19.159.002,Jembatan Kebonsari III,Kebonsari,12,5.3,2,Gelagar,7.73374,111.48145,2
374,19.160.001,Jembatan Rejosari VI,Kebonsari,3.4,6.4,1,Plat dan Pelengkung,7.727086,111.473718,2
375,19.160.002,Jembatan Rejosari VII,Kebonsari,2.7,7.35,1,Plat,7.74055,111.469498,2
376,19.162.001,Jembatan Palur II,Kebonsari,48,10.1,1,Gelagar,7.75145,111.45326,2
377,19.164.001,Jembatan Ketawang I,Dolopo,3.3,10.6,1,Plat,7.75803,111.5064,2
378,19.164.002,Jembatan Pucanganom II,Dolopo,3.1,10.3,1,Plat,7.75955,111.50606,2
379,19.164.003,Jembatan Sukorejo V,Dolopo,9.9,5.9,1,Gelagar Komposit,7.77636,111.50379,2
380,19.164.004,Jembatan Lembah IV,Dolopo,9.1,3.6,1,Plat,7.78676,111.50213,2
