id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
179,19.064.003,Jembatan Sogo I,Balerejo,11.5,3.95,1,Gelagar Komposit,7.52844,111.56532,2
180,19.065.001,Jembatan Tiron I,Madiun,12,4.03,1,Gelagar Komposit,7.5772,111.54899,2
181,19.065.002,Jembatan Tiron II,Madiun,5.7,6,1,Pelengkung dan Plat,7.57867,111.55649,1
182,19.066.001,Jembatan Teguhan II,Jiwan,4.47,4.4,1,Gelagar,7.60783,111.47741,3
183,19.066.002,Jembatan Teguhan III,Jiwan,8.9,4.4,1,Gelagar Komposit,7.60776,111.47759,1
184,19.067.001,Jembatan Kranggan I,Geger,9.7,7.03,1,Gelagar,7.6631,111.50949,2
185,19.067.002,Jembatan Putat I,Geger,10.3,5.7,1,Gelagar,7.68061,111.50257,2
186,19.067.003,Jembatan Putat II,Geger,16.85,6,1,Gelagar,7.68861,111.50322,2
187,19.067.004,Jembatan Sambirejo III,Geger,21.35,7.7,1,Gelagar,7.70183,111.49553,2
188,19.068.001,Jembatan Kertosari I,Geger,20,3.95,2,Gelagar Komposit,7.675935,111.536977,2
189,19.068.002,Jembatan Sukosari I,Geger,19.5,2.8,2,Gelagar Komposit,7.685189,111.547147,2
190,19.069.001,Jembatan Kaibon III,Geger,6.3,6.55,2,Gelagar,7.68087,111.51527,2
191,19.070.001,Jembatan Sewulan II,Geger,21.5,5.2,1,Gelagar,7.68785,111.54236,2
192,19.071.001,Jembatan Kepet I,Geger,10.4,5.5,2,Pelengkung,7.72061,111.55396,2
193,19.071.002,Jembatan Joho I,Geger,5,5.2,1,Pelengkung,7.72786,111.56433,2
194,19.071.003,Jembatan Joho II,Geger,5.9,5.2,1,Gelagar,7.73461,111.57481,2
195,19.071.004,Jembatan Joho III,Geger,10.8,5.5,1,Gelagar,7.73467,111.57655,2
196,19.071.005,Jembatan Joho IV,Geger,10,4.5,1,Gelagar Komposit,7.73617,111.58173,2
197,19.073.001,Jembatan Banaran I,Geger,3.5,6.5,1,Plat,7.73217,111.51874,2
198,19.073.002,Jembatan Banaran II,Geger,28.5,7.8,1,Gelagar,7.73278,111.51675,2
199,19.073.003,Jembatan Banaran III,Geger,3.4,7.45,1,Plat,7.73352,111.51644,2
200,19.073.004,Jembatan Banaran IV,Geger,3.4,7.4,1,Plat,7.73593,111.5122,1
201,19.074.001,Jembatan Dolopo III,Dolopo,4,6.7,1,Plat,7.74459,111.52899,2
202,19.075.001,Jembatan Bader I,Dolopo,21.5,3.6,6,Pelengkung,7.77868,111.55175,2
203,19.076.001,Jembatan Dolopo IV,Dolopo,3.65,3.15,1,Plat,7.77692,111.51351,2
204,19.076.002,Jembatan Sukorejo IV,Dolopo,4.7,4.3,1,Plat,7.77553,111.50592,2
205,19.077.001,Jembatan Lembah II,Dolopo,5.15,4.9,1,Gelagar Komposit dan Plat,7.7887,111.51256,2
206,19.077.002,Jembatan Lembah III,Dolopo,3.6,7,1,Gorong-Gorong Kotak,7.78846,111.51178,2
207,19.078.001,Jembatan Kradinan I,Dolopo,16.4,2.5,2,Gelagar,7.7942,111.57065,2
208,19.078.002,Jembatan Suluk I,Dolopo,5.2,5.55,1,Pelengkung dan Gelagar,7.79135,111.57875,2
209,19.078.003,Jembatan Suluk II,Dolopo,7.5,5.3,1,Gelagar,7.78468,111.58829,2
210,19.079.001,Jembatan Mlilir II,Dolopo,10,5,1,Gelagar,7.79925,111.52479,2
