STA_AWAL,STA_AKHIR,Fungsi,Nm_Ruas,Panjang,No
0+900,1+000,Lingkungan Primer,DAWUHAN,1950,829
1+000,1+100,Lingkungan Primer,DAWUHAN,1950,830
1+100,1+200,Lingkungan Primer,DAWUHAN,1950,831
1+200,1+300,Lingkungan Primer,DAWUHAN,1950,832
1+300,1+400,Lingkungan Primer,DAWUHAN,1950,833
1+400,1+500,Lingkungan Primer,DAWUHAN,1950,834
1+500,1+600,Lingkungan Primer,DAWUHAN,1950,835
1+600,1+700,Lingkungan Primer,DAWUHAN,1950,836
1+700,1+769,Lingkungan Primer,DAWUHAN,1950,837
0+000,0+100,Lingkungan Primer,DEMPELAN,628,1380
0+100,0+200,Lingkungan Primer,DEMPELAN,628,1381
0+200,0+300,Lingkungan Primer,DEMPELAN,628,1382
0+300,0+400,Lingkungan Primer,DEMPELAN,628,1383
0+400,0+500,Lingkungan Primer,DEMPELAN,628,1384
0+500,0+600,Lingkungan Primer,DEMPELAN,628,1385
0+600,0+628,Lingkungan Primer,DEMPELAN,628,1386
0+000,0+100,Lingkungan Primer,DOHO,1521,152
0+100,0+200,Lingkungan Primer,DOHO,1521,153
0+200,0+300,Lingkungan Primer,DOHO,1521,154
0+300,0+400,Lingkungan Primer,DOHO,1521,155
0+400,0+500,Lingkungan Primer,DOHO,1521,156
0+500,0+600,Lingkungan Primer,DOHO,1521,157
0+600,0+700,Lingkungan Primer,DOHO,1521,158
0+700,0+800,Lingkungan Primer,DOHO,1521,159
0+800,0+900,Lingkungan Primer,DOHO,1521,160
0+900,1+000,Lingkungan Primer,DOHO,1521,161
1+000,1+100,Lingkungan Primer,DOHO,1521,162
1+100,1+200,Lingkungan Primer,DOHO,1521,163
1+200,1+300,Lingkungan Primer,DOHO,1521,164
1+300,1+400,Lingkungan Primer,DOHO,1521,165
1+400,1+500,Lingkungan Primer,DOHO,1521,166
1+500,1+524,Lingkungan Primer,DOHO,1521,167
0+000,0+100,Lokal Primer,DOLOPO I,560,175
0+100,0+200,Lokal Primer,DOLOPO I,560,176
0+200,0+300,Lokal Primer,DOLOPO I,560,177
0+300,0+400,Lokal Primer,DOLOPO I,560,178
0+400,0+500,Lokal Primer,DOLOPO I,560,179
0+500,0+500,Lokal Primer,DOLOPO I,560,180
0+000,0+100,Lingkungan Primer,DOLOPO II,635,192
0+100,0+200,Lingkungan Primer,DOLOPO II,635,193
0+200,0+300,Lingkungan Primer,DOLOPO II,635,194
0+300,0+400,Lingkungan Primer,DOLOPO II,635,195
0+400,0+500,Lingkungan Primer,DOLOPO II,635,196
0+500,0+600,Lingkungan Primer,DOLOPO II,635,197
0+600,0+634,Lingkungan Primer,DOLOPO II,635,198
0+000,0+100,Lingkungan Primer,DUREN I,921,794
0+100,0+200,Lingkungan Primer,DUREN I,921,795
0+200,0+300,Lingkungan Primer,DUREN I,921,796
0+300,0+400,Lingkungan Primer,DUREN I,921,797
0+400,0+500,Lingkungan Primer,DUREN I,921,798
0+500,0+600,Lingkungan Primer,DUREN I,921,799
0+600,0+700,Lingkungan Primer,DUREN I,921,800
0+700,0+800,Lingkungan Primer,DUREN I,921,801
0+800,0+900,Lingkungan Primer,DUREN I,921,802
0+900,0+912,Lingkungan Primer,DUREN I,921,803
0+000,0+100,Lingkungan Primer,DUREN II,1563,804
0+100,0+200,Lingkungan Primer,DUREN II,1563,805
0+200,0+300,Lingkungan Primer,DUREN II,1563,806
0+300,0+400,Lingkungan Primer,DUREN II,1563,807
0+400,0+500,Lingkungan Primer,DUREN II,1563,808
0+500,0+600,Lingkungan Primer,DUREN II,1563,809
0+600,0+700,Lingkungan Primer,DUREN II,1563,810
0+700,0+800,Lingkungan Primer,DUREN II,1563,811
0+800,0+900,Lingkungan Primer,DUREN II,1563,812
0+900,1+000,Lingkungan Primer,DUREN II,1563,813
1+000,1+100,Lingkungan Primer,DUREN II,1563,814
1+100,1+200,Lingkungan Primer,DUREN II,1563,815
1+200,1+300,Lingkungan Primer,DUREN II,1563,816
1+300,1+400,Lingkungan Primer,DUREN II,1563,817
1+400,1+500,Lingkungan Primer,DUREN II,1563,818
1+500,1+599,Lingkungan Primer,DUREN II,1563,819
0+000,0+100,Lingkungan Primer,DURENAN I,1725,478
0+100,0+200,Lingkungan Primer,DURENAN I,1725,479
0+200,0+300,Lingkungan Primer,DURENAN I,1725,480
0+300,0+400,Lingkungan Primer,DURENAN I,1725,481
0+400,0+500,Lingkungan Primer,DURENAN I,1725,482
0+500,0+600,Lingkungan Primer,DURENAN I,1725,483
0+600,0+700,Lingkungan Primer,DURENAN I,1725,484
0+700,0+800,Lingkungan Primer,DURENAN I,1725,485
0+800,0+900,Lingkungan Primer,DURENAN I,1725,486
0+900,1+000,Lingkungan Primer,DURENAN I,1725,487
1+000,1+100,Lingkungan Primer,DURENAN I,1725,488
1+100,1+200,Lingkungan Primer,DURENAN I,1725,489
1+200,1+300,Lingkungan Primer,DURENAN I,1725,490
1+300,1+400,Lingkungan Primer,DURENAN I,1725,491
1+400,1+500,Lingkungan Primer,DURENAN I,1725,492
1+500,1+600,Lingkungan Primer,DURENAN I,1725,493
1+600,1+700,Lingkungan Primer,DURENAN I,1725,494
1+700,1+724,Lingkungan Primer,DURENAN I,1725,495
0+000,0+100,Lingkungan Primer,DURENAN II,1439,496
0+100,0+200,Lingkungan Primer,DURENAN II,1439,497
0+200,0+300,Lingkungan Primer,DURENAN II,1439,498
0+300,0+400,Lingkungan Primer,DURENAN II,1439,499
0+400,0+500,Lingkungan Primer,DURENAN II,1439,500
0+500,0+600,Lingkungan Primer,DURENAN II,1439,501
0+600,0+700,Lingkungan Primer,DURENAN II,1439,502
0+700,0+800,Lingkungan Primer,DURENAN II,1439,503
0+800,0+900,Lingkungan Primer,DURENAN II,1439,504
0+900,1+000,Lingkungan Primer,DURENAN II,1439,505
1+000,1+100,Lingkungan Primer,DURENAN II,1439,506
1+100,1+200,Lingkungan Primer,DURENAN II,1439,507
1+200,1+300,Lingkungan Primer,DURENAN II,1439,508
1+300,1+400,Lingkungan Primer,DURENAN II,1439,509
1+400,1+438,Lingkungan Primer,DURENAN II,1439,510
0+000,0+100,Lokal Primer,GADING,1777,1124
0+100,0+200,Lokal Primer,GADING,1777,1125
0+200,0+300,Lokal Primer,GADING,1777,1126
0+300,0+400,Lokal Primer,GADING,1777,1127
0+400,0+500,Lokal Primer,GADING,1777,1128
0+500,0+600,Lokal Primer,GADING,1777,1129
0+600,0+700,Lokal Primer,GADING,1777,1130
0+700,0+800,Lokal Primer,GADING,1777,1131
0+800,0+900,Lokal Primer,GADING,1777,1132
0+900,1+000,Lokal Primer,GADING,1777,1133
1+000,1+100,Lokal Primer,GADING,1777,1134
1+100,1+200,Lokal Primer,GADING,1777,1135
1+200,1+300,Lokal Primer,GADING,1777,1136
1+300,1+400,Lokal Primer,GADING,1777,1137
1+400,1+500,Lokal Primer,GADING,1777,1138
1+500,1+600,Lokal Primer,GADING,1777,1139
1+600,1+700,Lokal Primer,GADING,1777,1140
1+700,1+800,Lokal Primer,GADING,1777,1141
1+800,1+831,Lokal Primer,GADING,1777,1142
0+000,0+100,Lingkungan Primer,GANDUL,1990,774
0+100,0+200,Lingkungan Primer,GANDUL,1990,775
0+200,0+300,Lingkungan Primer,GANDUL,1990,776
0+300,0+400,Lingkungan Primer,GANDUL,1990,777
0+400,0+500,Lingkungan Primer,GANDUL,1990,778
0+500,0+600,Lingkungan Primer,GANDUL,1990,779
0+600,0+700,Lingkungan Primer,GANDUL,1990,780
0+700,0+800,Lingkungan Primer,GANDUL,1990,781
0+800,0+900,Lingkungan Primer,GANDUL,1990,782
0+900,1+000,Lingkungan Primer,GANDUL,1990,783
1+000,1+100,Lingkungan Primer,GANDUL,1990,784
1+100,1+200,Lingkungan Primer,GANDUL,1990,785
1+200,1+300,Lingkungan Primer,GANDUL,1990,786
1+300,1+400,Lingkungan Primer,GANDUL,1990,787
1+400,1+500,Lingkungan Primer,GANDUL,1990,788
1+500,1+600,Lingkungan Primer,GANDUL,1990,789
1+600,1+700,Lingkungan Primer,GANDUL,1990,790
1+700,1+800,Lingkungan Primer,GANDUL,1990,791
1+800,1+900,Lingkungan Primer,GANDUL,1990,792
1+900,1+989,Lingkungan Primer,GANDUL,1990,793
0+000,0+100,Lingkungan Primer,GARON,1523,1165
0+100,0+200,Lingkungan Primer,GARON,1523,1166
0+200,0+300,Lingkungan Primer,GARON,1523,1167
0+300,0+400,Lingkungan Primer,GARON,1523,1168
0+400,0+500,Lingkungan Primer,GARON,1523,1169
0+500,0+600,Lingkungan Primer,GARON,1523,1170
0+600,0+700,Lingkungan Primer,GARON,1523,1171
0+700,0+800,Lingkungan Primer,GARON,1523,1172
0+800,0+900,Lingkungan Primer,GARON,1523,1173
0+900,1+000,Lingkungan Primer,GARON,1523,1174
1+000,1+100,Lingkungan Primer,GARON,1523,1175
1+100,1+200,Lingkungan Primer,GARON,1523,1176
1+200,1+300,Lingkungan Primer,GARON,1523,1177
1+300,1+400,Lingkungan Primer,GARON,1523,1178
1+400,1+500,Lingkungan Primer,GARON,1523,1179
1+500,1+530,Lingkungan Primer,GARON,1523,1180
0+000,0+100,Lingkungan Primer,GEGER,785,1157
0+100,0+200,Lingkungan Primer,GEGER,785,1158
0+200,0+300,Lingkungan Primer,GEGER,785,1159
0+300,0+400,Lingkungan Primer,GEGER,785,1160
0+400,0+500,Lingkungan Primer,GEGER,785,1161
0+500,0+600,Lingkungan Primer,GEGER,785,1162
0+600,0+700,Lingkungan Primer,GEGER,785,1163
0+700,0+784,Lingkungan Primer,GEGER,785,1164
0+000,0+100,Lingkungan Primer,GROBOGAN,752,22
0+100,0+200,Lingkungan Primer,GROBOGAN,752,23
0+200,0+300,Lingkungan Primer,GROBOGAN,752,24
0+300,0+400,Lingkungan Primer,GROBOGAN,752,25
0+400,0+500,Lingkungan Primer,GROBOGAN,752,26
0+500,0+600,Lingkungan Primer,GROBOGAN,752,27
0+600,0+700,Lingkungan Primer,GROBOGAN,752,28
0+700,0+751,Lingkungan Primer,GROBOGAN,752,29
0+000,0+100,Lingkungan Primer,JERUK GULUNG,1207,1181
0+100,0+200,Lingkungan Primer,JERUK GULUNG,1207,1182
0+200,0+300,Lingkungan Primer,JERUK GULUNG,1207,1183
0+300,0+400,Lingkungan Primer,JERUK GULUNG,1207,1184
0+400,0+500,Lingkungan Primer,JERUK GULUNG,1207,1185
0+500,0+600,Lingkungan Primer,JERUK GULUNG,1207,1186
0+600,0+700,Lingkungan Primer,JERUK GULUNG,1207,1187
0+700,0+800,Lingkungan Primer,JERUK GULUNG,1207,1188
0+800,0+900,Lingkungan Primer,JERUK GULUNG,1207,1189
0+900,1+000,Lingkungan Primer,JERUK GULUNG,1207,1190
1+000,1+100,Lingkungan Primer,JERUK GULUNG,1207,1191
1+100,1+200,Lingkungan Primer,JERUK GULUNG,1207,1192
1+200,1+200,Lingkungan Primer,JERUK GULUNG,1207,1193
0+000,0+100,Lokal Primer,JOGODAYUH,1737,89
0+100,0+200,Lokal Primer,JOGODAYUH,1737,90
0+200,0+300,Lokal Primer,JOGODAYUH,1737,91
0+300,0+400,Lokal Primer,JOGODAYUH,1737,92
0+400,0+500,Lokal Primer,JOGODAYUH,1737,93
0+500,0+600,Lokal Primer,JOGODAYUH,1737,94
0+600,0+700,Lokal Primer,JOGODAYUH,1737,95
0+700,0+800,Lokal Primer,JOGODAYUH,1737,96
0+800,0+900,Lokal Primer,JOGODAYUH,1737,97
0+900,1+000,Lokal Primer,JOGODAYUH,1737,98
1+000,1+100,Lokal Primer,JOGODAYUH,1737,99
1+100,1+200,Lokal Primer,JOGODAYUH,1737,100
1+200,1+300,Lokal Primer,JOGODAYUH,1737,101
1+300,1+400,Lokal Primer,JOGODAYUH,1737,102
1+400,1+500,Lokal Primer,JOGODAYUH,1737,103
1+500,1+600,Lokal Primer,JOGODAYUH,1737,104
1+600,1+700,Lokal Primer,JOGODAYUH,1737,105
1+700,1+743,Lokal Primer,JOGODAYUH,1737,106
0+000,0+100,Lingkungan Primer,JOHO,1584,288
0+100,0+200,Lingkungan Primer,JOHO,1584,289
0+200,0+300,Lingkungan Primer,JOHO,1584,290
0+300,0+400,Lingkungan Primer,JOHO,1584,291
0+400,0+500,Lingkungan Primer,JOHO,1584,292
0+500,0+600,Lingkungan Primer,JOHO,1584,293
0+600,0+700,Lingkungan Primer,JOHO,1584,294
0+700,0+800,Lingkungan Primer,JOHO,1584,295
0+800,0+900,Lingkungan Primer,JOHO,1584,296
0+900,1+000,Lingkungan Primer,JOHO,1584,297
1+000,1+100,Lingkungan Primer,JOHO,1584,298
1+100,1+200,Lingkungan Primer,JOHO,1584,299
1+200,1+300,Lingkungan Primer,JOHO,1584,300
1+300,1+400,Lingkungan Primer,JOHO,1584,301
1+400,1+500,Lingkungan Primer,JOHO,1584,302
1+500,1+570,Lingkungan Primer,JOHO,1584,303
0+300,0+400,Lokal Primer,KAJANG,493,17
0+000,0+100,Lokal Primer,KAJANG,493,18
0+100,0+200,Lokal Primer,KAJANG,493,19
0+200,0+300,Lokal Primer,KAJANG,493,20
0+400,0+400,Lokal Primer,KAJANG,493,21
0+000,0+100,Lingkungan Primer,KALIABU,1165,859
0+100,0+200,Lingkungan Primer,KALIABU,1165,860
0+200,0+300,Lingkungan Primer,KALIABU,1165,861
0+300,0+400,Lingkungan Primer,KALIABU,1165,862
0+400,0+500,Lingkungan Primer,KALIABU,1165,863
0+500,0+600,Lingkungan Primer,KALIABU,1165,864
0+600,0+700,Lingkungan Primer,KALIABU,1165,865
0+700,0+800,Lingkungan Primer,KALIABU,1165,866
