Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Fungsi
Jl. Ngujur-Batas Ponorogo,021,9.300,8+300,8+400,1416,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,8+400,8+500,1417,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,8+500,8+600,1418,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,8+600,8+700,1419,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,8+700,8+800,1420,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,8+800,8+900,1421,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,8+900,9+000,1422,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,9+000,9+100,1423,Lokal Primer
Jl. Ngujur-Batas Ponorogo,021,9.300,9+200,9+267,1424,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+000,0+100,1426,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+100,0+200,1427,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+200,0+300,1428,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+300,0+400,1429,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+400,0+500,1430,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+500,0+600,1431,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+600,0+700,1432,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+700,0+800,1433,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+800,0+900,1434,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,0+900,1+000,1435,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+000,1+100,1436,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+100,1+200,1437,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+200,1+300,1438,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+300,1+400,1439,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+400,1+500,1440,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+500,1+600,1441,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+600,1+700,1442,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+700,1+800,1443,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+800,1+900,1444,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,1+900,2+000,1445,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+000,2+100,1446,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+100,2+200,1447,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+200,2+300,1448,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+300,2+400,1449,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+400,2+500,1450,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+500,2+600,1451,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+600,2+700,1452,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+700,2+800,1453,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+800,2+900,1454,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,2+900,3+000,1455,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+000,3+100,1456,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+100,3+200,1457,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+200,3+300,1458,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+300,3+400,1459,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+400,3+500,1460,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+500,3+600,1461,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+600,3+700,1462,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+700,3+800,1463,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+800,3+900,1464,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,3+900,4+000,1465,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+000,4+100,1466,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+100,4+200,1467,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+200,4+300,1468,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+300,4+400,1469,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+400,4+500,1470,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+500,4+600,1471,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+600,4+700,1472,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+700,4+800,1473,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+800,4+900,1474,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,4+900,5+000,1475,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+000,5+100,1476,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+100,5+200,1477,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+200,5+300,1478,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+300,5+400,1479,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+400,5+500,1480,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+500,5+600,1481,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+600,5+700,1482,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+700,5+800,1483,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+800,5+900,1484,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,5+900,6+000,1485,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+000,6+100,1486,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+100,6+200,1487,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+200,6+300,1488,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+300,6+400,1489,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+400,6+500,1490,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+500,6+600,1491,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+600,6+700,1492,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+700,6+800,1493,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+800,6+900,1494,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,6+900,7+000,1495,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+000,7+100,1496,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+100,7+200,1497,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+200,7+300,1498,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+300,7+400,1499,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+400,7+500,1500,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+500,7+600,1501,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+600,7+700,1502,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+700,7+800,1503,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+800,7+900,1504,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,7+900,8+000,1505,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+000,8+100,1506,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+100,8+200,1507,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+200,8+300,1508,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+300,8+400,1509,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+400,8+500,1510,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+500,8+600,1511,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+600,8+700,1512,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+700,8+800,1513,Lokal Primer
Jl. Dolopo-Batas Ponorogo,022,8.670,8+900,8+917,1514,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+000,0+100,1516,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+100,0+200,1517,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+200,0+300,1518,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+300,0+400,1519,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+400,0+500,1520,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+500,0+600,1521,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+600,0+700,1522,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+700,0+800,1523,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+800,0+900,1524,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,0+900,1+000,1525,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,1+000,1+100,1526,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,1+100,1+200,1527,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,1+200,1+300,1528,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,1+300,1+400,1529,Lokal Primer
Jl. Batas Kota-Jembatan Gandong,023,1.600,1+500,1+557,1530,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+000,0+100,1532,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+100,0+200,1533,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+200,0+300,1534,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+300,0+400,1535,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+400,0+500,1536,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+500,0+600,1537,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+600,0+700,1538,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+700,0+800,1539,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+800,0+900,1540,Lokal Primer
Jl. Kare-Mundu,024,14.240,0+900,1+000,1541,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+000,1+100,1542,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+100,1+200,1543,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+200,1+300,1544,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+300,1+400,1545,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+400,1+500,1546,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+500,1+600,1547,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+600,1+700,1548,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+700,1+800,1549,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+800,1+900,1550,Lokal Primer
Jl. Kare-Mundu,024,14.240,1+900,2+000,1551,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+000,2+100,1552,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+100,2+200,1553,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+200,2+300,1554,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+300,2+400,1555,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+400,2+500,1556,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+500,2+600,1557,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+600,2+700,1558,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+700,2+800,1559,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+800,2+900,1560,Lokal Primer
Jl. Kare-Mundu,024,14.240,2+900,3+000,1561,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+000,3+100,1562,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+100,3+200,1563,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+200,3+300,1564,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+300,3+400,1565,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+400,3+500,1566,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+500,3+600,1567,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+600,3+700,1568,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+700,3+800,1569,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+800,3+900,1570,Lokal Primer
Jl. Kare-Mundu,024,14.240,3+900,4+000,1571,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+000,4+100,1572,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+100,4+200,1573,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+200,4+300,1574,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+300,4+400,1575,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+400,4+500,1576,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+500,4+600,1577,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+600,4+700,1578,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+700,4+800,1579,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+800,4+900,1580,Lokal Primer
Jl. Kare-Mundu,024,14.240,4+900,5+000,1581,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+000,5+100,1582,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+100,5+200,1583,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+200,5+300,1584,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+300,5+400,1585,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+400,5+500,1586,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+500,5+600,1587,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+600,5+700,1588,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+700,5+800,1589,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+800,5+900,1590,Lokal Primer
Jl. Kare-Mundu,024,14.240,5+900,6+000,1591,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+000,6+100,1592,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+100,6+200,1593,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+200,6+300,1594,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+300,6+400,1595,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+400,6+500,1596,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+500,6+600,1597,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+600,6+700,1598,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+700,6+800,1599,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+800,6+900,1600,Lokal Primer
Jl. Kare-Mundu,024,14.240,6+900,7+000,1601,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+000,7+100,1602,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+100,7+200,1603,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+200,7+300,1604,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+300,7+400,1605,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+400,7+500,1606,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+500,7+600,1607,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+600,7+700,1608,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+700,7+800,1609,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+800,7+900,1610,Lokal Primer
Jl. Kare-Mundu,024,14.240,7+900,8+000,1611,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+000,8+100,1612,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+100,8+200,1613,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+200,8+300,1614,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+300,8+400,1615,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+400,8+500,1616,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+500,8+600,1617,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+600,8+700,1618,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+700,8+800,1619,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+800,8+900,1620,Lokal Primer
Jl. Kare-Mundu,024,14.240,8+900,9+000,1621,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+000,9+100,1622,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+100,9+200,1623,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+200,9+300,1624,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+300,9+400,1625,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+400,9+500,1626,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+500,9+600,1627,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+600,9+700,1628,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+700,9+800,1629,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+800,9+900,1630,Lokal Primer
Jl. Kare-Mundu,024,14.240,9+900,10+000,1631,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+000,10+100,1632,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+100,10+200,1633,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+200,10+300,1634,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+300,10+400,1635,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+400,10+500,1636,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+500,10+600,1637,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+600,10+700,1638,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+700,10+800,1639,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+800,10+900,1640,Lokal Primer
Jl. Kare-Mundu,024,14.240,10+900,11+000,1641,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+000,11+100,1642,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+100,11+200,1643,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+200,11+300,1644,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+300,11+400,1645,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+400,11+500,1646,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+500,11+600,1647,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+600,11+700,1648,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+700,11+800,1649,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+800,11+900,1650,Lokal Primer
Jl. Kare-Mundu,024,14.240,11+900,12+000,1651,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+000,12+100,1652,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+100,12+200,1653,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+200,12+300,1654,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+300,12+400,1655,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+400,12+500,1656,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+500,12+600,1657,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+600,12+700,1658,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+700,12+800,1659,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+800,12+900,1660,Lokal Primer
Jl. Kare-Mundu,024,14.240,12+900,13+000,1661,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+000,13+100,1662,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+100,13+200,1663,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+200,13+300,1664,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+300,13+400,1665,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+400,13+500,1666,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+500,13+600,1667,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+600,13+700,1668,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+700,13+800,1669,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+800,13+900,1670,Lokal Primer
Jl. Kare-Mundu,024,14.240,13+900,14+000,1671,Lokal Primer
Jl. Kare-Mundu,024,14.240,14+000,14+100,1672,Lokal Primer
Jl. Kare-Mundu,024,14.240,14+200,14+204,1673,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+000,0+100,1675,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+100,0+200,1676,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+200,0+300,1677,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+300,0+400,1678,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+400,0+500,1679,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+500,0+600,1680,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+600,0+700,1681,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+700,0+800,1682,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+800,0+900,1683,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,0+900,1+000,1684,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+000,1+100,1685,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+100,1+200,1686,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+200,1+300,1687,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+300,1+400,1688,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+400,1+500,1689,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+500,1+600,1690,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+600,1+700,1691,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+700,1+800,1692,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+800,1+900,1693,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,1+900,2+000,1694,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+000,2+100,1695,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+100,2+200,1696,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+200,2+300,1697,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+300,2+400,1698,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+400,2+500,1699,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+500,2+600,1700,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+600,2+700,1701,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+700,2+800,1702,Lokal Primer
Jl. Kebonsari-Nglandung,025,2.910,2+900,2+925,1703,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+000,0+100,1705,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+100,0+200,1706,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+200,0+300,1707,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+300,0+400,1708,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+400,0+500,1709,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+500,0+600,1710,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+600,0+700,1711,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+700,0+800,1712,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+800,0+900,1713,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,0+900,1+000,1714,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+000,1+100,1715,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+100,1+200,1716,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+200,1+300,1717,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+300,1+400,1718,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+400,1+500,1719,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+500,1+600,1720,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+600,1+700,1721,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+700,1+800,1722,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+800,1+900,1723,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,1+900,2+000,1724,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+000,2+100,1725,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+100,2+200,1726,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+200,2+300,1727,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+300,2+400,1728,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+400,2+500,1729,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+500,2+600,1730,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+600,2+700,1731,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+700,2+800,1732,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+800,2+900,1733,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,2+900,3+000,1734,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+000,3+100,1735,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+100,3+200,1736,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+200,3+300,1737,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+300,3+400,1738,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+400,3+500,1739,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+500,3+600,1740,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+600,3+700,1741,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+700,3+800,1742,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+800,3+900,1743,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,3+900,4+000,1744,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+000,4+100,1745,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+100,4+200,1746,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+200,4+300,1747,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+300,4+400,1748,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+400,4+500,1749,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+500,4+600,1750,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+600,4+700,1751,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+700,4+800,1752,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+800,4+900,1753,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,4+900,5+000,1754,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,5+000,5+100,1755,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,5+100,5+200,1756,Lokal Primer
Jl. Mlilir-Tambakmas,026,8.510,5+200,5+300,1757,Lokal Primer
