Panjang,STA_AWAL,STA_AKHIR,Fungsi,No,Nm_Ruas
610,0+400,0+500,Lokal Sekunder,495,4086 - JL. RAJAWALI
610,0+600,0+694,Lokal Sekunder,496,4086 - JL. RAJAWALI
800,0+500,0+600,Lokal Primer,497,4006 - JL. KOL. MARHADI
800,0+000,0+100,Lokal Primer,498,4006 - JL. KOL. MARHADI
800,0+100,0+200,Lokal Primer,499,4006 - JL. KOL. MARHADI
800,0+200,0+300,Lokal Primer,5,4006 - JL. KOL. MARHADI
800,0+300,0+400,Lokal Primer,50,4006 - JL. KOL. MARHADI
800,0+400,0+500,Lokal Primer,500,4006 - JL. KOL. MARHADI
800,0+600,0+695,Lokal Primer,501,4006 - JL. KOL. MARHADI
660,0+500,0+600,Lokal Sekunder,502,4008 - JL. H. AGUS SALIM
660,0+000,0+100,Lokal Sekunder,503,4008 - JL. H. AGUS SALIM
660,0+100,0+200,Lokal Sekunder,504,4008 - JL. H. AGUS SALIM
660,0+200,0+300,Lokal Sekunder,505,4008 - JL. H. AGUS SALIM
660,0+300,0+400,Lokal Sekunder,506,4008 - JL. H. AGUS SALIM
660,0+400,0+500,Lokal Sekunder,507,4008 - JL. H. AGUS SALIM
660,0+600,0+696,Lokal Sekunder,508,4008 - JL. H. AGUS SALIM
700,0+600,0+700,Lokal Sekunder,509,4215 - JL. GEMAH RIPAH
700,0+000,0+100,Lokal Sekunder,51,4215 - JL. GEMAH RIPAH
700,0+100,0+200,Lokal Sekunder,510,4215 - JL. GEMAH RIPAH
700,0+200,0+300,Lokal Sekunder,511,4215 - JL. GEMAH RIPAH
700,0+300,0+400,Lokal Sekunder,512,4215 - JL. GEMAH RIPAH
700,0+400,0+500,Lokal Sekunder,513,4215 - JL. GEMAH RIPAH
700,0+500,0+600,Lokal Sekunder,514,4215 - JL. GEMAH RIPAH
700,0+700,0+712,Lokal Sekunder,515,4215 - JL. GEMAH RIPAH
1000,0+600,0+700,Lokal Sekunder,516,4228 - JL. M.I. BUNGA BANGSA
1000,0+000,0+100,Lokal Sekunder,517,4228 - JL. M.I. BUNGA BANGSA
1000,0+100,0+200,Lokal Sekunder,518,4228 - JL. M.I. BUNGA BANGSA
1000,0+200,0+300,Lokal Sekunder,519,4228 - JL. M.I. BUNGA BANGSA
1000,0+300,0+400,Lokal Sekunder,52,4228 - JL. M.I. BUNGA BANGSA
1000,0+400,0+500,Lokal Sekunder,520,4228 - JL. M.I. BUNGA BANGSA
1000,0+500,0+600,Lokal Sekunder,521,4228 - JL. M.I. BUNGA BANGSA
1000,0+700,0+725,Lokal Sekunder,522,4228 - JL. M.I. BUNGA BANGSA
800,0+600,0+700,Lokal Sekunder,523,4310 - JL. EKA BHAKTI
800,0+000,0+100,Lokal Sekunder,524,4310 - JL. EKA BHAKTI
800,0+100,0+200,Lokal Sekunder,525,4310 - JL. EKA BHAKTI
800,0+200,0+300,Lokal Sekunder,526,4310 - JL. EKA BHAKTI
800,0+300,0+400,Lokal Sekunder,527,4310 - JL. EKA BHAKTI
800,0+400,0+500,Lokal Sekunder,528,4310 - JL. EKA BHAKTI
800,0+500,0+600,Lokal Sekunder,529,4310 - JL. EKA BHAKTI
800,0+700,0+736,Lokal Sekunder,53,4310 - JL. EKA BHAKTI
1000,0+600,0+700,Lokal Sekunder,530,4227 - JL. PERHUTANI
1000,0+000,0+100,Lokal Sekunder,531,4227 - JL. PERHUTANI
1000,0+100,0+200,Lokal Sekunder,532,4227 - JL. PERHUTANI
1000,0+200,0+300,Lokal Sekunder,533,4227 - JL. PERHUTANI
1000,0+300,0+400,Lokal Sekunder,534,4227 - JL. PERHUTANI
1000,0+400,0+500,Lokal Sekunder,535,4227 - JL. PERHUTANI
1000,0+500,0+600,Lokal Sekunder,536,4227 - JL. PERHUTANI
1000,0+700,0+746,Lokal Sekunder,537,4227 - JL. PERHUTANI
1250,0+600,0+700,Lokal Sekunder,538,4219 - JL. SIDOMULYO
1250,0+000,0+100,Lokal Sekunder,539,4219 - JL. SIDOMULYO
1250,0+100,0+200,Lokal Sekunder,54,4219 - JL. SIDOMULYO
1250,0+200,0+300,Lokal Sekunder,540,4219 - JL. SIDOMULYO
1250,0+300,0+400,Lokal Sekunder,541,4219 - JL. SIDOMULYO
1250,0+400,0+500,Lokal Sekunder,542,4219 - JL. SIDOMULYO
1250,0+500,0+600,Lokal Sekunder,543,4219 - JL. SIDOMULYO
1250,0+700,0+748,Lokal Sekunder,544,4219 - JL. SIDOMULYO
850,0+600,0+700,Lokal Primer,545,4002 - JL. LETJEN SUTOYO
850,0+000,0+100,Lokal Primer,546,4002 - JL. LETJEN SUTOYO
850,0+100,0+200,Lokal Primer,547,4002 - JL. LETJEN SUTOYO
850,0+200,0+300,Lokal Primer,548,4002 - JL. LETJEN SUTOYO
850,0+300,0+400,Lokal Primer,549,4002 - JL. LETJEN SUTOYO
850,0+400,0+500,Lokal Primer,55,4002 - JL. LETJEN SUTOYO
850,0+500,0+600,Lokal Primer,550,4002 - JL. LETJEN SUTOYO
850,0+700,0+767,Lokal Primer,551,4002 - JL. LETJEN SUTOYO
750,0+600,0+700,Lokal Sekunder,552,4240 - JL. DIPONEGORO
750,0+000,0+100,Lokal Sekunder,553,4240 - JL. DIPONEGORO
750,0+100,0+200,Lokal Sekunder,554,4240 - JL. DIPONEGORO
750,0+200,0+300,Lokal Sekunder,555,4240 - JL. DIPONEGORO
750,0+300,0+400,Lokal Sekunder,556,4240 - JL. DIPONEGORO
750,0+400,0+500,Lokal Sekunder,557,4240 - JL. DIPONEGORO
750,0+500,0+600,Lokal Sekunder,558,4240 - JL. DIPONEGORO
750,0+700,0+773,Lokal Sekunder,559,4240 - JL. DIPONEGORO
800,0+600,0+700,Lokal Sekunder,56,4058 - JL. PARIKESIT
800,0+000,0+100,Lokal Sekunder,560,4058 - JL. PARIKESIT
800,0+100,0+200,Lokal Sekunder,561,4058 - JL. PARIKESIT
800,0+200,0+300,Lokal Sekunder,562,4058 - JL. PARIKESIT
800,0+300,0+400,Lokal Sekunder,563,4058 - JL. PARIKESIT
800,0+400,0+500,Lokal Sekunder,564,4058 - JL. PARIKESIT
800,0+500,0+600,Lokal Sekunder,565,4058 - JL. PARIKESIT
800,0+700,0+782,Lokal Sekunder,566,4058 - JL. PARIKESIT
900,0+600,0+700,Lokal Sekunder,567,4248 - JL. SAUR
900,0+000,0+100,Lokal Sekunder,568,4248 - JL. SAUR
900,0+100,0+200,Lokal Sekunder,569,4248 - JL. SAUR
900,0+200,0+300,Lokal Sekunder,57,4248 - JL. SAUR
900,0+300,0+400,Lokal Sekunder,570,4248 - JL. SAUR
900,0+400,0+500,Lokal Sekunder,571,4248 - JL. SAUR
900,0+500,0+600,Lokal Sekunder,572,4248 - JL. SAUR
900,0+700,0+782,Lokal Sekunder,573,4248 - JL. SAUR
1300,0+600,0+700,Lokal Sekunder,574,4091 - JL. BETET
1300,0+000,0+100,Lokal Sekunder,575,4091 - JL. BETET
1300,0+100,0+200,Lokal Sekunder,576,4091 - JL. BETET
1300,0+200,0+300,Lokal Sekunder,577,4091 - JL. BETET
1300,0+300,0+400,Lokal Sekunder,578,4091 - JL. BETET
1300,0+400,0+500,Lokal Sekunder,579,4091 - JL. BETET
1300,0+500,0+600,Lokal Sekunder,58,4091 - JL. BETET
1300,0+700,0+797,Lokal Sekunder,580,4091 - JL. BETET
900,0+700,0+800,Lokal Sekunder,581,4209 - JL. KEMANTREN
900,0+000,0+100,Lokal Sekunder,582,4209 - JL. KEMANTREN
900,0+100,0+200,Lokal Sekunder,583,4209 - JL. KEMANTREN
900,0+200,0+300,Lokal Sekunder,584,4209 - JL. KEMANTREN
900,0+300,0+400,Lokal Sekunder,585,4209 - JL. KEMANTREN
900,0+400,0+500,Lokal Sekunder,586,4209 - JL. KEMANTREN
900,0+500,0+600,Lokal Sekunder,587,4209 - JL. KEMANTREN
900,0+600,0+700,Lokal Sekunder,588,4209 - JL. KEMANTREN
900,0+800,0+826,Lokal Sekunder,589,4209 - JL. KEMANTREN
500,0+700,0+800,Lokal Sekunder,59,4033 - JL. BOGO
500,0+000,0+100,Lokal Sekunder,590,4033 - JL. BOGO
500,0+100,0+200,Lokal Sekunder,591,4033 - JL. BOGO
500,0+200,0+300,Lokal Sekunder,592,4033 - JL. BOGO
500,0+300,0+400,Lokal Sekunder,593,4033 - JL. BOGO
500,0+400,0+500,Lokal Sekunder,594,4033 - JL. BOGO
500,0+500,0+600,Lokal Sekunder,595,4033 - JL. BOGO
500,0+600,0+700,Lokal Sekunder,596,4033 - JL. BOGO
500,0+800,0+834,Lokal Sekunder,597,4033 - JL. BOGO
800,0+700,0+800,Lokal Sekunder,598,4229 - JL. M.I. FARHIN
800,0+000,0+100,Lokal Sekunder,599,4229 - JL. M.I. FARHIN
800,0+100,0+200,Lokal Sekunder,6,4229 - JL. M.I. FARHIN
800,0+200,0+300,Lokal Sekunder,60,4229 - JL. M.I. FARHIN
800,0+300,0+400,Lokal Sekunder,600,4229 - JL. M.I. FARHIN
800,0+400,0+500,Lokal Sekunder,601,4229 - JL. M.I. FARHIN
800,0+500,0+600,Lokal Sekunder,602,4229 - JL. M.I. FARHIN
800,0+600,0+700,Lokal Sekunder,603,4229 - JL. M.I. FARHIN
800,0+800,0+834,Lokal Sekunder,604,4229 - JL. M.I. FARHIN
800,0+700,0+800,Lokal Sekunder,605,4232 - JL. TENGKU UMAR
800,0+000,0+100,Lokal Sekunder,606,4232 - JL. TENGKU UMAR
800,0+100,0+200,Lokal Sekunder,607,4232 - JL. TENGKU UMAR
800,0+200,0+300,Lokal Sekunder,608,4232 - JL. TENGKU UMAR
800,0+300,0+400,Lokal Sekunder,609,4232 - JL. TENGKU UMAR
800,0+400,0+500,Lokal Sekunder,61,4232 - JL. TENGKU UMAR
800,0+500,0+600,Lokal Sekunder,610,4232 - JL. TENGKU UMAR
800,0+600,0+700,Lokal Sekunder,611,4232 - JL. TENGKU UMAR
800,0+800,0+844,Lokal Sekunder,612,4232 - JL. TENGKU UMAR
1000,0+700,0+800,Lokal Sekunder,613,4218 - JL. SIDOMUKTI
1000,0+000,0+100,Lokal Sekunder,614,4218 - JL. SIDOMUKTI
1000,0+100,0+200,Lokal Sekunder,615,4218 - JL. SIDOMUKTI
1000,0+200,0+300,Lokal Sekunder,616,4218 - JL. SIDOMUKTI
1000,0+300,0+400,Lokal Sekunder,617,4218 - JL. SIDOMUKTI
1000,0+400,0+500,Lokal Sekunder,618,4218 - JL. SIDOMUKTI
1000,0+500,0+600,Lokal Sekunder,619,4218 - JL. SIDOMUKTI
1000,0+600,0+700,Lokal Sekunder,62,4218 - JL. SIDOMUKTI
1000,0+800,0+858,Lokal Sekunder,620,4218 - JL. SIDOMUKTI
1000,0+700,0+800,Lokal Sekunder,621,4236 - JL. SANGGRAHAN
1000,0+000,0+100,Lokal Sekunder,622,4236 - JL. SANGGRAHAN
1000,0+100,0+200,Lokal Sekunder,623,4236 - JL. SANGGRAHAN
1000,0+200,0+300,Lokal Sekunder,624,4236 - JL. SANGGRAHAN
1000,0+300,0+400,Lokal Sekunder,625,4236 - JL. SANGGRAHAN
1000,0+400,0+500,Lokal Sekunder,626,4236 - JL. SANGGRAHAN
1000,0+500,0+600,Lokal Sekunder,627,4236 - JL. SANGGRAHAN
1000,0+600,0+700,Lokal Sekunder,628,4236 - JL. SANGGRAHAN
1000,0+800,0+863,Lokal Sekunder,629,4236 - JL. SANGGRAHAN
900,0+700,0+800,Lokal Sekunder,63,4057 - JL. BISMO
900,0+000,0+100,Lokal Sekunder,630,4057 - JL. BISMO
900,0+100,0+200,Lokal Sekunder,631,4057 - JL. BISMO
900,0+200,0+300,Lokal Sekunder,632,4057 - JL. BISMO
900,0+300,0+400,Lokal Sekunder,633,4057 - JL. BISMO
900,0+400,0+500,Lokal Sekunder,634,4057 - JL. BISMO
900,0+500,0+600,Lokal Sekunder,635,4057 - JL. BISMO
900,0+600,0+700,Lokal Sekunder,636,4057 - JL. BISMO
900,0+800,0+876,Lokal Sekunder,637,4057 - JL. BISMO
1000,0+800,0+900,Lokal Primer,638,4001 - JL. PATIMURA
1000,0+000,0+100,Lokal Primer,639,4001 - JL. PATIMURA
1000,0+100,0+200,Lokal Primer,64,4001 - JL. PATIMURA
1000,0+200,0+300,Lokal Primer,640,4001 - JL. PATIMURA
1000,0+300,0+400,Lokal Primer,641,4001 - JL. PATIMURA
1000,0+400,0+500,Lokal Primer,642,4001 - JL. PATIMURA
1000,0+500,0+600,Lokal Primer,643,4001 - JL. PATIMURA
1000,0+600,0+700,Lokal Primer,644,4001 - JL. PATIMURA
1000,0+700,0+800,Lokal Primer,645,4001 - JL. PATIMURA
1000,0+900,0+951,Lokal Primer,646,4001 - JL. PATIMURA
1000,0+800,0+900,Lokal Sekunder,647,4211 - JL. PANCA UPAYA
1000,0+000,0+100,Lokal Sekunder,648,4211 - JL. PANCA UPAYA
1000,0+100,0+200,Lokal Sekunder,649,4211 - JL. PANCA UPAYA
1000,0+200,0+300,Lokal Sekunder,65,4211 - JL. PANCA UPAYA
1000,0+300,0+400,Lokal Sekunder,650,4211 - JL. PANCA UPAYA
1000,0+400,0+500,Lokal Sekunder,651,4211 - JL. PANCA UPAYA
1000,0+500,0+600,Lokal Sekunder,652,4211 - JL. PANCA UPAYA
1000,0+600,0+700,Lokal Sekunder,653,4211 - JL. PANCA UPAYA
1000,0+700,0+800,Lokal Sekunder,654,4211 - JL. PANCA UPAYA
1000,0+900,0+961,Lokal Sekunder,655,4211 - JL. PANCA UPAYA
1300,0+800,0+900,Lokal Sekunder,656,4067 - JL. KAKAK TUA
1300,0+000,0+100,Lokal Sekunder,657,4067 - JL. KAKAK TUA
1300,0+100,0+200,Lokal Sekunder,658,4067 - JL. KAKAK TUA
1300,0+200,0+300,Lokal Sekunder,659,4067 - JL. KAKAK TUA
1300,0+300,0+400,Lokal Sekunder,66,4067 - JL. KAKAK TUA
1300,0+400,0+500,Lokal Sekunder,660,4067 - JL. KAKAK TUA
1300,0+500,0+600,Lokal Sekunder,661,4067 - JL. KAKAK TUA
1300,0+600,0+700,Lokal Sekunder,662,4067 - JL. KAKAK TUA
1300,0+700,0+800,Lokal Sekunder,663,4067 - JL. KAKAK TUA
1300,0+900,0+980,Lokal Sekunder,664,4067 - JL. KAKAK TUA
1600,0+000,0+100,Lokal Sekunder,665,4064 - JL. CAKRANINGRAT
1600,0+100,0+200,Lokal Sekunder,666,4064 - JL. CAKRANINGRAT
1600,0+200,0+300,Lokal Sekunder,667,4064 - JL. CAKRANINGRAT
1600,0+300,0+400,Lokal Sekunder,668,4064 - JL. CAKRANINGRAT
1600,0+400,0+500,Lokal Sekunder,669,4064 - JL. CAKRANINGRAT
1600,0+500,0+600,Lokal Sekunder,67,4064 - JL. CAKRANINGRAT
1600,0+600,0+700,Lokal Sekunder,670,4064 - JL. CAKRANINGRAT
1600,0+700,0+800,Lokal Sekunder,671,4064 - JL. CAKRANINGRAT
1600,0+800,0+900,Lokal Sekunder,672,4064 - JL. CAKRANINGRAT
1600,0+900,1+000,Lokal Sekunder,673,4064 - JL. CAKRANINGRAT
1600,1+000,1+026,Lokal Sekunder,674,4064 - JL. CAKRANINGRAT
1400,0+900,1+000,Lokal Primer,675,4005 - JL. SINGOLUDRO
1400,0+000,0+100,Lokal Primer,676,4005 - JL. SINGOLUDRO
1400,0+100,0+200,Lokal Primer,677,4005 - JL. SINGOLUDRO
1400,0+200,0+300,Lokal Primer,678,4005 - JL. SINGOLUDRO
1400,0+300,0+400,Lokal Primer,679,4005 - JL. SINGOLUDRO
1400,0+400,0+500,Lokal Primer,68,4005 - JL. SINGOLUDRO
1400,0+500,0+600,Lokal Primer,680,4005 - JL. SINGOLUDRO
1400,0+600,0+700,Lokal Primer,681,4005 - JL. SINGOLUDRO
1400,0+700,0+800,Lokal Primer,682,4005 - JL. SINGOLUDRO
1400,0+800,0+900,Lokal Primer,683,4005 - JL. SINGOLUDRO
1400,1+000,1+075,Lokal Primer,684,4005 - JL. SINGOLUDRO
1080,0+900,1+000,Lokal Sekunder,685,4314 - JL. KANAL TIMUR
1080,0+000,0+100,Lokal Sekunder,686,4314 - JL. KANAL TIMUR
1080,0+100,0+200,Lokal Sekunder,687,4314 - JL. KANAL TIMUR
1080,0+200,0+300,Lokal Sekunder,688,4314 - JL. KANAL TIMUR
1080,0+300,0+400,Lokal Sekunder,689,4314 - JL. KANAL TIMUR
1080,0+400,0+500,Lokal Sekunder,69,4314 - JL. KANAL TIMUR
1080,0+500,0+600,Lokal Sekunder,690,4314 - JL. KANAL TIMUR
1080,0+600,0+700,Lokal Sekunder,691,4314 - JL. KANAL TIMUR
1080,0+700,0+800,Lokal Sekunder,692,4314 - JL. KANAL TIMUR
1080,0+800,0+900,Lokal Sekunder,693,4314 - JL. KANAL TIMUR
1080,1+000,1+094,Lokal Sekunder,694,4314 - JL. KANAL TIMUR
1300,1+000,1+100,Lokal Sekunder,695,4239 - JL. MONTIKAN
1300,0+000,0+100,Lokal Sekunder,696,4239 - JL. MONTIKAN
1300,0+100,0+200,Lokal Sekunder,697,4239 - JL. MONTIKAN
1300,0+200,0+300,Lokal Sekunder,698,4239 - JL. MONTIKAN
1300,0+300,0+400,Lokal Sekunder,699,4239 - JL. MONTIKAN
1300,0+400,0+500,Lokal Sekunder,7,4239 - JL. MONTIKAN
1300,0+500,0+600,Lokal Sekunder,70,4239 - JL. MONTIKAN
1300,0+600,0+700,Lokal Sekunder,700,4239 - JL. MONTIKAN
1300,0+700,0+800,Lokal Sekunder,701,4239 - JL. MONTIKAN
1300,0+800,0+900,Lokal Sekunder,702,4239 - JL. MONTIKAN
1300,0+900,1+000,Lokal Sekunder,703,4239 - JL. MONTIKAN
1300,1+100,1+105,Lokal Sekunder,704,4239 - JL. MONTIKAN
2500,1+000,1+100,Lokal Sekunder,705,4202 - JL. JANOKO
2500,0+000,0+100,Lokal Sekunder,706,4202 - JL. JANOKO
2500,0+100,0+200,Lokal Sekunder,707,4202 - JL. JANOKO
2500,0+200,0+300,Lokal Sekunder,708,4202 - JL. JANOKO
2500,0+300,0+400,Lokal Sekunder,709,4202 - JL. JANOKO
2500,0+400,0+500,Lokal Sekunder,71,4202 - JL. JANOKO
2500,0+500,0+600,Lokal Sekunder,710,4202 - JL. JANOKO
2500,0+600,0+700,Lokal Sekunder,711,4202 - JL. JANOKO
2500,0+700,0+800,Lokal Sekunder,712,4202 - JL. JANOKO
2500,0+800,0+900,Lokal Sekunder,713,4202 - JL. JANOKO
2500,0+900,1+000,Lokal Sekunder,714,4202 - JL. JANOKO
2500,1+100,1+132,Lokal Sekunder,715,4202 - JL. JANOKO
1600,1+000,1+100,Lokal Sekunder,716,4210 - JL. NGRAWAN I
1600,0+000,0+100,Lokal Sekunder,717,4210 - JL. NGRAWAN I
1600,0+100,0+200,Lokal Sekunder,718,4210 - JL. NGRAWAN I
1600,0+200,0+300,Lokal Sekunder,719,4210 - JL. NGRAWAN I
1600,0+300,0+400,Lokal Sekunder,72,4210 - JL. NGRAWAN I
1600,0+400,0+500,Lokal Sekunder,720,4210 - JL. NGRAWAN I
1600,0+500,0+600,Lokal Sekunder,721,4210 - JL. NGRAWAN I
1600,0+600,0+700,Lokal Sekunder,722,4210 - JL. NGRAWAN I
1600,0+700,0+800,Lokal Sekunder,723,4210 - JL. NGRAWAN I
1600,0+800,0+900,Lokal Sekunder,724,4210 - JL. NGRAWAN I
1600,0+900,1+000,Lokal Sekunder,725,4210 - JL. NGRAWAN I
1600,1+100,1+155,Lokal Sekunder,726,4210 - JL. NGRAWAN I
1150,1+000,1+100,Lokal Primer,727,4004 - JL. DIPONEGORO
1150,0+000,0+100,Lokal Primer,728,4004 - JL. DIPONEGORO
1150,0+100,0+200,Lokal Primer,729,4004 - JL. DIPONEGORO
1150,0+200,0+300,Lokal Primer,73,4004 - JL. DIPONEGORO
1150,0+300,0+400,Lokal Primer,730,4004 - JL. DIPONEGORO
1150,0+400,0+500,Lokal Primer,731,4004 - JL. DIPONEGORO
1150,0+500,0+600,Lokal Primer,732,4004 - JL. DIPONEGORO
1150,0+600,0+700,Lokal Primer,733,4004 - JL. DIPONEGORO
1150,0+700,0+800,Lokal Primer,734,4004 - JL. DIPONEGORO
1150,0+800,0+900,Lokal Primer,735,4004 - JL. DIPONEGORO
1150,0+900,1+000,Lokal Primer,736,4004 - JL. DIPONEGORO
1150,1+100,1+170,Lokal Primer,737,4004 - JL. DIPONEGORO
1500,1+100,1+200,Lokal Sekunder,738,4238 - JL. TEGAL ASRI
1500,0+000,0+100,Lokal Sekunder,739,4238 - JL. TEGAL ASRI
1500,0+100,0+200,Lokal Sekunder,74,4238 - JL. TEGAL ASRI
1500,0+200,0+300,Lokal Sekunder,740,4238 - JL. TEGAL ASRI
1500,0+300,0+400,Lokal Sekunder,741,4238 - JL. TEGAL ASRI
1500,0+400,0+500,Lokal Sekunder,742,4238 - JL. TEGAL ASRI
1500,0+500,0+600,Lokal Sekunder,743,4238 - JL. TEGAL ASRI
1500,0+600,0+700,Lokal Sekunder,744,4238 - JL. TEGAL ASRI
1500,0+700,0+800,Lokal Sekunder,745,4238 - JL. TEGAL ASRI
1500,0+800,0+900,Lokal Sekunder,746,4238 - JL. TEGAL ASRI
1500,0+900,1+000,Lokal Sekunder,747,4238 - JL. TEGAL ASRI
1500,1+000,1+100,Lokal Sekunder,748,4238 - JL. TEGAL ASRI
1500,1+200,1+210,Lokal Sekunder,749,4238 - JL. TEGAL ASRI
1400,1+100,1+200,Lokal Sekunder,75,4247 - JL. NOGO
1400,0+000,0+100,Lokal Sekunder,750,4247 - JL. NOGO
1400,0+100,0+200,Lokal Sekunder,751,4247 - JL. NOGO
1400,0+200,0+300,Lokal Sekunder,752,4247 - JL. NOGO
1400,0+300,0+400,Lokal Sekunder,753,4247 - JL. NOGO
1400,0+400,0+500,Lokal Sekunder,754,4247 - JL. NOGO
1400,0+500,0+600,Lokal Sekunder,755,4247 - JL. NOGO
1400,0+600,0+700,Lokal Sekunder,756,4247 - JL. NOGO
1400,0+700,0+800,Lokal Sekunder,757,4247 - JL. NOGO
1400,0+800,0+900,Lokal Sekunder,758,4247 - JL. NOGO
1400,0+900,1+000,Lokal Sekunder,759,4247 - JL. NOGO
1400,1+000,1+100,Lokal Sekunder,76,4247 - JL. NOGO
1400,1+200,1+240,Lokal Sekunder,760,4247 - JL. NOGO
1200,1+100,1+200,Lokal Sekunder,761,4073 - JL SUHADA HAJI
1200,0+000,0+100,Lokal Sekunder,762,4073 - JL SUHADA HAJI
1200,0+100,0+200,Lokal Sekunder,763,4073 - JL SUHADA HAJI
1200,0+200,0+300,Lokal Sekunder,764,4073 - JL SUHADA HAJI
1200,0+300,0+400,Lokal Sekunder,765,4073 - JL SUHADA HAJI
1200,0+400,0+500,Lokal Sekunder,766,4073 - JL SUHADA HAJI
1200,0+500,0+600,Lokal Sekunder,767,4073 - JL SUHADA HAJI
1200,0+600,0+700,Lokal Sekunder,768,4073 - JL SUHADA HAJI
1200,0+700,0+800,Lokal Sekunder,769,4073 - JL SUHADA HAJI
1200,0+800,0+900,Lokal Sekunder,77,4073 - JL SUHADA HAJI
1200,0+900,1+000,Lokal Sekunder,770,4073 - JL SUHADA HAJI
1200,1+000,1+100,Lokal Sekunder,771,4073 - JL SUHADA HAJI
1200,1+200,1+273,Lokal Sekunder,772,4073 - JL SUHADA HAJI
300,1+100,1+200,Lokal Sekunder,773,4068 - JL. KARANGLO I
300,0+000,0+100,Lokal Sekunder,774,4068 - JL. KARANGLO I
300,0+100,0+200,Lokal Sekunder,775,4068 - JL. KARANGLO I
300,0+200,0+300,Lokal Sekunder,776,4068 - JL. KARANGLO I
300,0+300,0+400,Lokal Sekunder,777,4068 - JL. KARANGLO I
300,0+400,0+500,Lokal Sekunder,778,4068 - JL. KARANGLO I
300,0+500,0+600,Lokal Sekunder,779,4068 - JL. KARANGLO I
300,0+600,0+700,Lokal Sekunder,78,4068 - JL. KARANGLO I
300,0+700,0+800,Lokal Sekunder,780,4068 - JL. KARANGLO I
300,0+800,0+900,Lokal Sekunder,781,4068 - JL. KARANGLO I
300,0+900,1+000,Lokal Sekunder,782,4068 - JL. KARANGLO I
300,1+000,1+100,Lokal Sekunder,783,4068 - JL. KARANGLO I
300,1+200,1+276,Lokal Sekunder,784,4068 - JL. KARANGLO I
1400,0+000,0+100,Lokal Sekunder,785,4212 - JL. JEBLOK
1400,0+100,0+200,Lokal Sekunder,786,4212 - JL. JEBLOK
1400,0+200,0+300,Lokal Sekunder,787,4212 - JL. JEBLOK
1400,0+300,0+400,Lokal Sekunder,788,4212 - JL. JEBLOK
1400,0+400,0+500,Lokal Sekunder,789,4212 - JL. JEBLOK
1400,0+500,0+600,Lokal Sekunder,79,4212 - JL. JEBLOK
1400,0+600,0+700,Lokal Sekunder,790,4212 - JL. JEBLOK
1400,0+700,0+800,Lokal Sekunder,791,4212 - JL. JEBLOK
1400,0+800,0+900,Lokal Sekunder,792,4212 - JL. JEBLOK
1400,0+900,1+000,Lokal Sekunder,793,4212 - JL. JEBLOK
1400,1+000,1+100,Lokal Sekunder,794,4212 - JL. JEBLOK
1400,1+100,1+200,Lokal Sekunder,795,4212 - JL. JEBLOK
1400,1+300,1+306,Lokal Sekunder,796,4212 - JL. JEBLOK
1400,1+200,1+300,Lokal Sekunder,797,4212 - JL. JEBLOK
2000,1+200,1+300,Lokal Sekunder,798,4201 - JL. NGAGEL
2000,0+000,0+100,Lokal Sekunder,799,4201 - JL. NGAGEL
2000,0+100,0+200,Lokal Sekunder,8,4201 - JL. NGAGEL
2000,0+200,0+300,Lokal Sekunder,80,4201 - JL. NGAGEL
2000,0+300,0+400,Lokal Sekunder,800,4201 - JL. NGAGEL
2000,0+400,0+500,Lokal Sekunder,801,4201 - JL. NGAGEL
2000,0+500,0+600,Lokal Sekunder,802,4201 - JL. NGAGEL
2000,0+600,0+700,Lokal Sekunder,803,4201 - JL. NGAGEL
2000,0+700,0+800,Lokal Sekunder,804,4201 - JL. NGAGEL
2000,0+800,0+900,Lokal Sekunder,805,4201 - JL. NGAGEL
2000,0+900,1+000,Lokal Sekunder,806,4201 - JL. NGAGEL
2000,1+000,1+100,Lokal Sekunder,807,4201 - JL. NGAGEL
2000,1+100,1+200,Lokal Sekunder,808,4201 - JL. NGAGEL
2000,1+300,1+325,Lokal Sekunder,809,4201 - JL. NGAGEL
1100,1+300,1+400,Lokal Sekunder,81,4208 - JL. NGRAWAN II
1100,0+000,0+100,Lokal Sekunder,810,4208 - JL. NGRAWAN II
1100,0+100,0+200,Lokal Sekunder,811,4208 - JL. NGRAWAN II
1100,0+200,0+300,Lokal Sekunder,812,4208 - JL. NGRAWAN II
1100,0+300,0+400,Lokal Sekunder,813,4208 - JL. NGRAWAN II
1100,0+400,0+500,Lokal Sekunder,814,4208 - JL. NGRAWAN II
1100,0+500,0+600,Lokal Sekunder,815,4208 - JL. NGRAWAN II
1100,0+600,0+700,Lokal Sekunder,816,4208 - JL. NGRAWAN II
1100,0+700,0+800,Lokal Sekunder,817,4208 - JL. NGRAWAN II
1100,0+800,0+900,Lokal Sekunder,818,4208 - JL. NGRAWAN II
1100,0+900,1+000,Lokal Sekunder,819,4208 - JL. NGRAWAN II
1100,1+000,1+100,Lokal Sekunder,82,4208 - JL. NGRAWAN II
1100,1+100,1+200,Lokal Sekunder,820,4208 - JL. NGRAWAN II
1100,1+200,1+300,Lokal Sekunder,821,4208 - JL. NGRAWAN II
1100,1+400,1+400,Lokal Sekunder,822,4208 - JL. NGRAWAN II
1300,1+300,"1+400
",Lokal Sekunder,823,4244 - JL. AGUS SALIM
1300,0+000,0+100,Lokal Sekunder,824,4244 - JL. AGUS SALIM
