FID;Name;Panjang;STA_AWAL;STA_AKHIR;Kondisi;Tipe_Perke;Lebar_STA
109;4210 - JL. NGRAWAN I;1155,42791786000;1+000;1+100;sedang;aspal;6
110;4211 - JL. PANCA UPAYA;961,61411783500;0+800;0+900;sedang;aspal;6
111;4213 - JL. KERTO RAHARJO;585,99744852400;0+400;0+500;sedang;aspal;6
112;4214 - JL. PANJANG PUNJUNG;2074,50368773000;1+900;2+000;sedang;aspal;6
113;4215 - JL. GEMAH RIPAH;712,50898891000;0+600;0+700;sedang;aspal;6
114;4216 - JL. SIDOASIH;361,34353677800;0+200;0+300;sedang;aspal;6
115;4217 - JL. TEGAL ARUM;1552,15940249000;1+400;1+500;sedang;aspal;6
116;4218 - JL. SIDOMUKTI;858,69791372800;0+700;0+800;sedang;aspal;6
117;4219 - JL. SIDOMULYO;748,63588736900;0+600;0+700;sedang;aspal;6
118;4220 - JL. WAKIDUN;204,66535392100;0+100;0+200;sedang;aspal;6
119;4221 - JL. SIDO AGUNG;444,96372360100;0+300;0+400;sedang;aspal;6
120;4222 - JL. PASIR WUKIR;385,24984704800;0+200;0+300;sedang;aspal;6
121;4223 - JL. TOTO TERTIB;413,51647972500;0+300;0+400;sedang;aspal;6
122;4224 - JL. BERBUDI;485,79429328200;0+300;0+400;sedang;aspal;6
123;4225 - JL. JUWET/SURO;434,43253240900;0+300;0+400;sedang;aspal;6
124;4226 - JL. PUNDEN;622,27962137100;0+500;0+600;sedang;aspal;6
125;4227 - JL. PERHUTANI;746,67467471800;0+600;0+700;sedang;aspal;6
126;4228 - JL. M.I. BUNGA BANGSA;725,51840692900;0+600;0+700;sedang;aspal;6
127;4229 - JL. M.I. FARHIN;834,95945907100;0+700;0+800;sedang;aspal;6
128;4230 - JL. WAHID HASYIM;2271,13715372000;2+100;2+200;sedang;aspal;6
129;4231 - JL. COKRO AMINOTO;602,97421387100;0+500;0+600;sedang;aspal;6
130;4232 - JL. TENGKU UMAR;844,32678304000;0+700;0+800;sedang;aspal;6
131;4233 - JL. SANDANG PANGAN;242,68323260700;0+100;0+200;sedang;aspal;6
132;4234 - JL. TOTO TENTREM;508,59464834900;0+400;0+500;sedang;aspal;6
133;4235 - JL. LOHJINAWI;636,14806304800;0+500;0+600;sedang;aspal;6
134;4236 - JL. SANGGRAHAN;863,08723822400;0+700;0+800;sedang;aspal;6
135;4237 - JL. LAPANGAN BERAN;425,09622046500;0+300;0+400;sedang;aspal;6
136;4238 - JL. TEGAL ASRI;1210,69022402000;1+100;1+200;sedang;aspal;6
137;4239 - JL. MONTIKAN;1105,38157050000;1+000;1+100;sedang;aspal;6
138;4240 - JL. DIPONEGORO;773,58497002300;0+600;0+700;sedang;aspal;6
139;4241 - JL. RADEN PATAH;315,44661654300;0+200;0+300;sedang;aspal;6
140;4242 - JL. K.H. MOJO I;413,39363302100;0+300;0+400;sedang;aspal;6
141;4243 - JL. K.H. MOJO II;270,69605066900;0+100;0+200;sedang;aspal;6
142;4244 - JL. AGUS SALIM;1497,33011671000;1+300;"1+400
";sedang;aspal;6
143;4245 - JL. MELATI;357,98665952100;0+200;0+300;sedang;aspal;6
144;4246 - JL. MENUR;613,40238051800;0+500;0+600;sedang;aspal;6
145;4247 - JL. NOGO;1240,61743196000;1+100;1+200;sedang;aspal;6
146;4248 - JL. SAUR;782,66877475000;0+600;0+700;sedang;aspal;6
147;4301 - JL. SUMBERMORO;499,51708759100;0+300;0+400;sedang;aspal;6
148;4302 - JL. SUMBERSAKTI;242,39656392800;0+100;0+200;sedang;aspal;6
149;4303 - JL. KARYAWAN;383,00097081800;0+200;0+300;sedang;aspal;6
150;4304 - JL. SUMBER MAS;323,47411211600;0+200;0+300;sedang;aspal;6
151;4305 - JL. SENDANG BEJI;326,79403212500;0+200;0+300;sedang;aspal;6
152;4306 - JL. BRANJANGAN I/B;258,10697930000;0+100;0+200;sedang;aspal;6
153;4307 - JL. BRANJANGAN I;326,90905547000;0+200;0+300;sedang;aspal;6
154;4308 - JL. SETYA RUKUN;499,86503043400;0+300;0+400;sedang;aspal;6
155;4309 - JL. SERBA GUNA;187,76493032000;0+100;0+187;sedang;aspal;6
156;4310 - JL. EKA BHAKTI;736,05812977500;0+600;0+700;sedang;aspal;6
157;4311 - JL. SWAKARYA;317,36517683600;0+200;0+300;sedang;aspal;6
158;4312 - JL. SWANARDIPA;194,83354163100;0+100;0+194;sedang;aspal;6
159;4313 - JL. SWASEMBADA;263,43414567200;0+100;0+200;sedang;aspal;6
160;4314 - JL. KANAL TIMUR;1094,12449977000;0+900;1+000;sedang;aspal;6
161;4315 - JL. SETYA DARMA;667,64032957900;0+500;0+600;sedang;aspal;6
162;4001 - JL. PATIMURA;951,29985818500;0+000;0+100;sedang;aspal;6
163;4001 - JL. PATIMURA;951,29985818500;0+100;0+200;sedang;aspal;6
164;4001 - JL. PATIMURA;951,29985818500;0+200;0+300;sedang;aspal;6
165;4001 - JL. PATIMURA;951,29985818500;0+300;0+400;sedang;aspal;6
166;4001 - JL. PATIMURA;951,29985818500;0+400;0+500;sedang;aspal;6
167;4001 - JL. PATIMURA;951,29985818500;0+500;0+600;sedang;aspal;6
168;4001 - JL. PATIMURA;951,29985818500;0+600;0+700;sedang;aspal;6
169;4001 - JL. PATIMURA;951,29985818500;0+700;0+800;sedang;aspal;6
170;4001 - JL. PATIMURA;951,29985818500;0+900;0+951;sedang;aspal;6
171;4002 - JL. LETJEN SUTOYO;767,04205801200;0+000;0+100;sedang;aspal;6
172;4002 - JL. LETJEN SUTOYO;767,04205801200;0+100;0+200;sedang;aspal;6
173;4002 - JL. LETJEN SUTOYO;767,04205801200;0+200;0+300;sedang;aspal;6
174;4002 - JL. LETJEN SUTOYO;767,04205801200;0+300;0+400;sedang;aspal;6
175;4002 - JL. LETJEN SUTOYO;767,04205801200;0+400;0+500;sedang;aspal;6
176;4002 - JL. LETJEN SUTOYO;767,04205801200;0+500;0+600;sedang;aspal;6
177;4002 - JL. LETJEN SUTOYO;767,04205801200;0+700;0+767;sedang;aspal;6
178;4003 - JL. S. TENDEAN;1577,94351783000;0+000;0+100;sedang;aspal;6
179;4003 - JL. S. TENDEAN;1577,94351783000;0+100;0+200;sedang;aspal;6
180;4003 - JL. S. TENDEAN;1577,94351783000;0+200;0+300;sedang;aspal;6
181;4003 - JL. S. TENDEAN;1577,94351783000;0+300;0+400;sedang;aspal;6
182;4003 - JL. S. TENDEAN;1577,94351783000;0+400;0+500;sedang;aspal;6
183;4003 - JL. S. TENDEAN;1577,94351783000;0+500;0+600;sedang;aspal;6
184;4003 - JL. S. TENDEAN;1577,94351783000;0+600;0+700;sedang;aspal;6
185;4003 - JL. S. TENDEAN;1577,94351783000;0+700;0+800;sedang;aspal;6
186;4003 - JL. S. TENDEAN;1577,94351783000;0+800;0+900;sedang;aspal;6
187;4003 - JL. S. TENDEAN;1577,94351783000;0+900;1+000;sedang;aspal;6
188;4003 - JL. S. TENDEAN;1577,94351783000;1+000;1+100;sedang;aspal;6
189;4003 - JL. S. TENDEAN;1577,94351783000;1+100;1+200;sedang;aspal;6
190;4003 - JL. S. TENDEAN;1577,94351783000;1+200;1+300;sedang;aspal;6
191;4003 - JL. S. TENDEAN;1577,94351783000;1+300;1+400;sedang;aspal;6
192;4003 - JL. S. TENDEAN;1577,94351783000;1+500;1+577;sedang;aspal;6
193;4004 - JL. DIPONEGORO;1170,07889407000;0+000;0+100;sedang;aspal;6
194;4004 - JL. DIPONEGORO;1170,07889407000;0+100;0+200;sedang;aspal;6
195;4004 - JL. DIPONEGORO;1170,07889407000;0+200;0+300;sedang;aspal;6
196;4004 - JL. DIPONEGORO;1170,07889407000;0+300;0+400;sedang;aspal;6
197;4004 - JL. DIPONEGORO;1170,07889407000;0+400;0+500;sedang;aspal;6
198;4004 - JL. DIPONEGORO;1170,07889407000;0+500;0+600;sedang;aspal;6
199;4004 - JL. DIPONEGORO;1170,07889407000;0+600;0+700;sedang;aspal;6
200;4004 - JL. DIPONEGORO;1170,07889407000;0+700;0+800;sedang;aspal;6
201;4004 - JL. DIPONEGORO;1170,07889407000;0+800;0+900;sedang;aspal;6
202;4004 - JL. DIPONEGORO;1170,07889407000;0+900;1+000;sedang;aspal;6
203;4004 - JL. DIPONEGORO;1170,07889407000;1+100;1+170;sedang;aspal;6
204;4005 - JL. SINGOLUDRO;1075,21828042000;0+000;0+100;sedang;aspal;6
205;4005 - JL. SINGOLUDRO;1075,21828042000;0+100;0+200;sedang;aspal;6
206;4005 - JL. SINGOLUDRO;1075,21828042000;0+200;0+300;sedang;aspal;6
207;4005 - JL. SINGOLUDRO;1075,21828042000;0+300;0+400;sedang;aspal;6
208;4005 - JL. SINGOLUDRO;1075,21828042000;0+400;0+500;sedang;aspal;6
209;4005 - JL. SINGOLUDRO;1075,21828042000;0+500;0+600;sedang;aspal;6
210;4005 - JL. SINGOLUDRO;1075,21828042000;0+600;0+700;sedang;aspal;6
211;4005 - JL. SINGOLUDRO;1075,21828042000;0+700;0+800;sedang;aspal;6
212;4005 - JL. SINGOLUDRO;1075,21828042000;0+800;0+900;sedang;aspal;6
213;4005 - JL. SINGOLUDRO;1075,21828042000;1+000;1+075;sedang;aspal;6
214;4006 - JL. KOL. MARHADI;695,28340880500;0+000;0+100;sedang;aspal;6
215;4006 - JL. KOL. MARHADI;695,28340880500;0+100;0+200;sedang;aspal;6
216;4006 - JL. KOL. MARHADI;695,28340880500;0+200;0+300;sedang;aspal;6
217;4006 - JL. KOL. MARHADI;695,28340880500;0+300;0+400;sedang;aspal;6
218;4006 - JL. KOL. MARHADI;695,28340880500;0+400;0+500;sedang;aspal;6
219;4006 - JL. KOL. MARHADI;695,28340880500;0+600;0+695;sedang;aspal;6
220;4007 - JL. MT. HARYONO;1625,38510805000;0+000;0+100;sedang;aspal;6
221;4007 - JL. MT. HARYONO;1625,38510805000;0+100;0+200;sedang;aspal;6
222;4007 - JL. MT. HARYONO;1625,38510805000;0+200;0+300;sedang;aspal;6
223;4007 - JL. MT. HARYONO;1625,38510805000;0+300;0+400;sedang;aspal;6
224;4007 - JL. MT. HARYONO;1625,38510805000;0+400;0+500;sedang;aspal;6
225;4007 - JL. MT. HARYONO;1625,38510805000;0+500;0+600;sedang;aspal;6
226;4007 - JL. MT. HARYONO;1625,38510805000;0+600;0+700;sedang;aspal;6
227;4007 - JL. MT. HARYONO;1625,38510805000;0+700;0+800;sedang;aspal;6
228;4007 - JL. MT. HARYONO;1625,38510805000;0+800;0+900;sedang;aspal;6
229;4007 - JL. MT. HARYONO;1625,38510805000;0+900;1+000;sedang;aspal;6
230;4007 - JL. MT. HARYONO;1625,38510805000;1+000;1+100;sedang;aspal;6
231;4007 - JL. MT. HARYONO;1625,38510805000;1+100;1+200;sedang;aspal;6
232;4007 - JL. MT. HARYONO;1625,38510805000;1+200;1+300;sedang;aspal;6
233;4007 - JL. MT. HARYONO;1625,38510805000;1+300;1+400;sedang;aspal;6
234;4007 - JL. MT. HARYONO;1625,38510805000;1+400;1+500;sedang;aspal;6
235;4007 - JL. MT. HARYONO;1625,38510805000;1+600;1+625;sedang;aspal;6
236;4008 - JL. H. AGUS SALIM;696,67154366900;0+000;0+100;sedang;aspal;6
237;4008 - JL. H. AGUS SALIM;696,67154366900;0+100;0+200;sedang;aspal;6
238;4008 - JL. H. AGUS SALIM;696,67154366900;0+200;0+300;sedang;aspal;6
239;4008 - JL. H. AGUS SALIM;696,67154366900;0+300;0+400;sedang;aspal;6
240;4008 - JL. H. AGUS SALIM;696,67154366900;0+400;0+500;sedang;aspal;6
241;4008 - JL. H. AGUS SALIM;696,67154366900;0+600;0+696;sedang;aspal;6
242;4009 - JL. FLAMBOYAN;444,84859355300;0+000;0+100;sedang;aspal;6
243;4009 - JL. FLAMBOYAN;444,84859355300;0+100;0+200;sedang;aspal;6
244;4009 - JL. FLAMBOYAN;444,84859355300;0+200;0+300;sedang;aspal;6
245;4009 - JL. FLAMBOYAN;444,84859355300;0+400;0+444;sedang;aspal;6
246;4010 - JL. DAHLIA;118,46596733600;0+000;0+100;sedang;aspal;6
247;4011 - JL. NUSA INDAH;436,39962923100;0+000;0+100;sedang;aspal;6
248;4011 - JL. NUSA INDAH;436,39962923100;0+100;0+200;sedang;aspal;6
249;4011 - JL. NUSA INDAH;436,39962923100;0+200;0+300;sedang;aspal;6
250;4011 - JL. NUSA INDAH;436,39962923100;0+400;0+436;sedang;aspal;6
251;4012 - JL. KENANGA;430,16901950000;0+000;0+100;sedang;aspal;6
252;4012 - JL. KENANGA;430,16901950000;0+100;0+200;sedang;aspal;6
253;4012 - JL. KENANGA;430,16901950000;0+200;0+300;sedang;aspal;6
254;4012 - JL. KENANGA;430,16901950000;0+400;0+430;sedang;aspal;6
255;4013 - JL. ANGGREK;455,82925345400;0+000;0+100;sedang;aspal;6
256;4013 - JL. ANGGREK;455,82925345400;0+100;0+200;sedang;aspal;6
257;4013 - JL. ANGGREK;455,82925345400;0+200;0+300;sedang;aspal;6
258;4013 - JL. ANGGREK;455,82925345400;0+400;0+455;sedang;aspal;6
259;4014 - JL. CEMPAKA;648,53833525500;0+000;0+100;sedang;aspal;6
260;4014 - JL. CEMPAKA;648,53833525500;0+100;0+200;sedang;aspal;6
261;4014 - JL. CEMPAKA;648,53833525500;0+200;0+300;sedang;aspal;6
262;4014 - JL. CEMPAKA;648,53833525500;0+300;0+400;sedang;aspal;6
263;4014 - JL. CEMPAKA;648,53833525500;0+400;0+500;sedang;aspal;6
264;4014 - JL. CEMPAKA;648,53833525500;0+600;0+648;sedang;aspal;6
265;4015 - JL. TANJUNG;205,79138812700;0+000;0+100;sedang;aspal;6
266;4015 - JL. TANJUNG;205,79138812700;0+200;0+205;sedang;aspal;6
267;4016 - JL. MELATI;262,26581516300;0+000;0+100;sedang;aspal;6
268;4016 - JL. MELATI;262,26581516300;0+200;0+262;sedang;aspal;6
269;4017 - JL. KEMUNING;553,06629999800;0+000;0+100;sedang;aspal;6
270;4017 - JL. KEMUNING;553,06629999800;0+100;0+200;sedang;aspal;6
271;4017 - JL. KEMUNING;553,06629999800;0+200;0+300;sedang;aspal;6
272;4017 - JL. KEMUNING;553,06629999800;0+300;0+400;sedang;aspal;6
273;4017 - JL. KEMUNING;553,06629999800;0+500;0+553;sedang;aspal;6
274;4018 - JL. SERUNI;386,64964338000;0+000;0+100;sedang;aspal;6
275;4018 - JL. SERUNI;386,64964338000;0+100;0+200;sedang;aspal;6
276;4018 - JL. SERUNI;386,64964338000;0+300;0+386;sedang;aspal;6
277;4019 - JL. GARUDA;161,76861117900;0+000;0+100;sedang;aspal;6
278;4020 - JL. DR. SUTOMO;665,14385003500;0+000;0+100;sedang;aspal;6
279;4020 - JL. DR. SUTOMO;665,14385003500;0+100;0+200;sedang;aspal;6
280;4020 - JL. DR. SUTOMO;665,14385003500;0+200;0+300;sedang;aspal;6
281;4020 - JL. DR. SUTOMO;665,14385003500;0+300;0+400;sedang;aspal;6
282;4020 - JL. DR. SUTOMO;665,14385003500;0+400;0+500;sedang;aspal;6
283;4020 - JL. DR. SUTOMO;665,14385003500;0+600;0+685;sedang;aspal;6
284;4021 - JL. PENANGGUNGAN;234,47697718200;0+000;0+100;sedang;aspal;6
285;4021 - JL. PENANGGUNGAN;234,47697718200;0+200;0+234;sedang;aspal;6
286;4022 - JL. PANDAN;244,76979559900;0+000;0+100;sedang;aspal;6
287;4022 - JL. PANDAN;244,76979559900;0+200;0+244;sedang;aspal;6
288;4023 - JL. SEMERU;270,75358416200;0+000;0+100;sedang;aspal;6
289;4023 - JL. SEMERU;270,75358416200;0+200;0+270;sedang;aspal;6
290;4024 - JL. RINJANI;205,55865545300;0+000;0+100;sedang;aspal;6
291;4024 - JL. RINJANI;205,55865545300;0+200;0+205;sedang;aspal;6
292;4025 - JL. DIENG;375,20757709400;0+000;0+100;sedang;aspal;6
293;4025 - JL. DIENG;375,20757709400;0+100;0+200;sedang;aspal;6
294;4025 - JL. DIENG;375,20757709400;0+300;0+375;sedang;aspal;6
295;4026 - JL. SERAYU;127,20048371000;0+000;0+100;sedang;aspal;6
296;4027 - JL. CISADANE;122,91038172000;0+000;0+100;sedang;aspal;6
297;4028 - JL. MUSI;369,66270448100;0+000;0+100;sedang;aspal;6
298;4028 - JL. MUSI;369,66270448100;0+100;0+200;sedang;aspal;6
299;4028 - JL. MUSI;369,66270448100;0+300;0+369;sedang;aspal;6
300;4029 - JL. CITARUM;129,89632832300;0+000;0+100;sedang;aspal;6
301;4030 - JL. ANJASMORO;247,23504242600;0+000;0+100;sedang;aspal;6
302;4030 - JL. ANJASMORO;247,23504242600;0+200;0+247;sedang;aspal;6
303;4031 - JL. CILIWUNG;377,66743090000;0+000;0+100;sedang;aspal;6
304;4031 - JL. CILIWUNG;377,66743090000;0+100;0+200;sedang;aspal;6
305;4031 - JL. CILIWUNG;377,66743090000;0+300;0+377;sedang;aspal;6
306;4032 - JL. SINGOLUDRO II;599,56119156300;0+000;0+100;sedang;aspal;6
307;4032 - JL. SINGOLUDRO II;599,56119156300;0+100;0+200;sedang;aspal;6
308;4032 - JL. SINGOLUDRO II;599,56119156300;0+200;0+300;sedang;aspal;6
309;4032 - JL. SINGOLUDRO II;599,56119156300;0+300;0+400;sedang;aspal;6
310;4032 - JL. SINGOLUDRO II;599,56119156300;0+500;0+599;sedang;aspal;6
311;4033 - JL. BOGO;834,24218159800;0+000;0+100;sedang;aspal;6
312;4033 - JL. BOGO;834,24218159800;0+100;0+200;sedang;aspal;6
313;4033 - JL. BOGO;834,24218159800;0+200;0+300;sedang;aspal;6
314;4033 - JL. BOGO;834,24218159800;0+300;0+400;sedang;aspal;6
315;4033 - JL. BOGO;834,24218159800;0+400;0+500;sedang;aspal;6
316;4033 - JL. BOGO;834,24218159800;0+500;0+600;sedang;aspal;6
317;4033 - JL. BOGO;834,24218159800;0+600;0+700;sedang;aspal;6
318;4033 - JL. BOGO;834,24218159800;0+800;0+834;sedang;aspal;6
319;4034 - JL. BOGO II;386,53061591800;0+000;0+100;sedang;aspal;6
320;4034 - JL. BOGO II;386,53061591800;0+100;0+200;sedang;aspal;6
321;4034 - JL. BOGO II;386,53061591800;0+300;0+386;sedang;aspal;6
322;4035 - JL. KAMBOJA;565,32962159700;0+000;0+100;sedang;aspal;6
323;4035 - JL. KAMBOJA;565,32962159700;0+100;0+200;sedang;aspal;6
324;4035 - JL. KAMBOJA;565,32962159700;0+200;0+300;sedang;aspal;6
325;4035 - JL. KAMBOJA;565,32962159700;0+300;0+400;sedang;aspal;6
