FID;Shape *;Nm_Ruas;Kd_Inf;Panjang;STA_AWAL;STA_AKHIR;Kondisi;Tipe_Perke;Lebar_STA
74;Polyline ZM;Jl. Klitik-Dimong;001;8.100;8+000;8+100;baik ;aspal;6
165;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+000;0+100;baik ;aspal;6
166;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+100;0+200;baik ;aspal;6
167;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+200;0+300;baik ;aspal;6
168;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+300;0+400;baik ;aspal;6
169;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+400;0+500;baik ;aspal;6
170;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+500;0+600;baik ;aspal;6
171;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+600;0+700;baik ;aspal;6
172;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+700;0+800;baik ;aspal;6
173;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+800;0+900;baik ;aspal;6
174;Polyline ZM;Jl. Klitik-Dimong;001;8.100;0+900;1+000;baik ;aspal;6
175;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+000;1+100;baik ;aspal;6
176;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+100;1+200;baik ;aspal;6
177;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+200;1+300;baik ;aspal;6
178;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+300;1+400;baik ;aspal;6
179;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+400;1+500;baik ;aspal;6
180;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+500;1+600;baik ;aspal;6
181;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+600;1+700;baik ;aspal;6
182;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+700;1+800;baik ;aspal;6
183;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+800;1+900;baik ;aspal;6
184;Polyline ZM;Jl. Klitik-Dimong;001;8.100;1+900;2+000;baik ;aspal;6
185;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+000;2+100;baik ;aspal;6
186;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+100;2+200;baik ;aspal;6
187;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+200;2+300;baik ;aspal;6
188;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+300;2+400;baik ;aspal;6
189;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+400;2+500;baik ;aspal;6
190;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+500;2+600;baik ;aspal;6
191;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+600;2+700;baik ;aspal;6
192;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+700;2+800;baik ;aspal;6
193;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+800;2+900;baik ;aspal;6
194;Polyline ZM;Jl. Klitik-Dimong;001;8.100;2+900;3+000;baik ;aspal;6
195;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+000;3+100;baik ;aspal;6
196;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+100;3+200;baik ;aspal;6
197;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+200;3+300;baik ;aspal;6
198;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+300;3+400;baik ;aspal;6
199;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+400;3+500;baik ;aspal;6
200;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+500;3+600;baik ;aspal;6
201;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+600;3+700;baik ;aspal;6
202;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+700;3+800;baik ;aspal;6
203;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+800;3+900;baik ;aspal;6
204;Polyline ZM;Jl. Klitik-Dimong;001;8.100;3+900;4+000;baik ;aspal;6
205;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+000;4+100;baik ;aspal;6
206;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+100;4+200;baik ;aspal;6
207;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+200;4+300;baik ;aspal;6
208;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+300;4+400;baik ;aspal;6
209;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+400;4+500;baik ;aspal;6
210;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+500;4+600;baik ;aspal;6
211;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+600;4+700;baik ;aspal;6
212;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+700;4+800;baik ;aspal;6
213;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+800;4+900;baik ;aspal;6
214;Polyline ZM;Jl. Klitik-Dimong;001;8.100;4+900;5+000;baik ;aspal;6
215;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+000;5+100;baik ;aspal;6
216;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+100;5+200;baik ;aspal;6
217;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+200;5+300;baik ;aspal;6
218;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+300;5+400;baik ;aspal;6
219;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+400;5+500;baik ;aspal;6
220;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+500;5+600;baik ;aspal;6
221;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+600;5+700;baik ;aspal;6
222;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+700;5+800;baik ;aspal;6
223;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+800;5+900;baik ;aspal;6
224;Polyline ZM;Jl. Klitik-Dimong;001;8.100;5+900;6+000;baik ;aspal;6
225;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+000;6+100;baik ;aspal;6
226;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+100;6+200;baik ;aspal;6
227;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+200;6+300;baik ;aspal;6
228;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+300;6+400;baik ;aspal;6
229;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+400;6+500;baik ;aspal;6
230;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+500;6+600;baik ;aspal;6
231;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+600;6+700;baik ;aspal;6
232;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+700;6+800;baik ;aspal;6
233;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+800;6+900;baik ;aspal;6
234;Polyline ZM;Jl. Klitik-Dimong;001;8.100;6+900;7+000;baik ;aspal;6
235;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+000;7+100;baik ;aspal;6
236;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+100;7+200;baik ;aspal;6
237;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+200;7+300;baik ;aspal;6
238;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+300;7+400;baik ;aspal;6
239;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+400;7+500;baik ;aspal;6
240;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+500;7+600;baik ;aspal;6
241;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+600;7+700;baik ;aspal;6
242;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+700;7+800;baik ;aspal;6
243;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+800;7+900;baik ;aspal;6
244;Polyline ZM;Jl. Klitik-Dimong;001;8.100;7+900;8+000;baik ;aspal;6
245;Polyline ZM;Jl. Klitik-Dimong;001;8.100;8+100;8+127;baik ;aspal;6
